Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]",left,2
2,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4]",right,4
3,4,"[2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,4
4,4,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 2]",down,4
5,8,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 4, 0, 0, 0]",left,4
6,16,"[2, 0, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,8
7,20,"[4, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left,8
8,24,"[4, 0, 0, 0, 8, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0]",up,8
9,24,"[0, 0, 0, 4, 0, 0, 8, 2, 0, 0, 0, 4, 0, 2, 0, 0]",right,8
10,24,"[0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 2, 8, 4]",down,8
11,24,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 2, 2, 0, 2, 8, 4]",right,8
12,28,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 0, 4, 0, 2, 8, 4]",right,8
13,40,"[0, 4, 8, 2, 0, 4, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0]",up,8
14,48,"[0, 8, 8, 2, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0]",up,8
15,64,"[2, 0, 16, 2, 0, 0, 2, 8, 0, 0, 0, 4, 0, 0, 0, 0]",right,16
16,64,"[2, 16, 2, 0, 2, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2]",left,16
17,66,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 2, 0, 4, 8, 2, 2]",down,16
18,72,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 16, 0, 0, 8, 8, 4, 2]",down,16
19,88,"[0, 0, 0, 0, 2, 0, 0, 0, 16, 0, 0, 2, 16, 4, 2, 0]",left,16
20,104,"[0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 32, 4, 2, 2]",down,32
21,108,"[2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 32, 4, 4, 0]",left,32
22,116,"[0, 0, 0, 2, 0, 4, 0, 2, 0, 0, 0, 2, 0, 0, 32, 8]",right,32
23,120,"[0, 4, 32, 4, 0, 0, 0, 2, 0, 2, 0, 8, 0, 0, 0, 0]",up,32
24,120,"[0, 4, 32, 4, 0, 2, 0, 2, 0, 2, 0, 8, 0, 0, 0, 0]",up,32
25,124,"[0, 4, 32, 4, 2, 4, 0, 2, 0, 0, 0, 8, 0, 0, 0, 0]",up,32
26,132,"[2, 8, 32, 4, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 2, 0]",up,32
27,132,"[2, 8, 32, 4, 0, 4, 0, 2, 0, 0, 0, 8, 0, 0, 0, 2]",right,32
28,132,"[2, 8, 32, 4, 4, 2, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0]",left,32
29,136,"[2, 8, 32, 4, 0, 0, 4, 4, 0, 0, 2, 8, 0, 0, 0, 2]",right,32
30,140,"[0, 2, 0, 0, 0, 0, 32, 8, 0, 0, 4, 8, 2, 8, 2, 2]",down,32
31,148,"[0, 0, 2, 0, 0, 0, 32, 0, 0, 2, 4, 16, 2, 8, 2, 2]",down,32
32,152,"[2, 0, 0, 0, 32, 0, 0, 0, 2, 4, 16, 0, 2, 8, 4, 2]",left,32
33,156,"[2, 4, 16, 2, 32, 8, 4, 0, 4, 0, 0, 0, 0, 0, 2, 0]",up,32
34,156,"[2, 4, 16, 2, 32, 8, 4, 0, 4, 0, 2, 0, 2, 0, 0, 0]",left,32
35,156,"[2, 4, 16, 2, 0, 32, 8, 4, 2, 0, 4, 2, 0, 0, 0, 2]",right,32
36,164,"[4, 4, 16, 2, 0, 32, 8, 4, 0, 0, 4, 4, 2, 0, 0, 0]",up,32
37,180,"[8, 16, 2, 0, 32, 8, 4, 0, 8, 2, 0, 0, 2, 0, 0, 0]",left,32
38,180,"[2, 8, 16, 2, 0, 32, 8, 4, 0, 0, 8, 2, 0, 0, 0, 2]",right,32
39,200,"[2, 8, 16, 2, 2, 32, 16, 4, 0, 0, 0, 4, 0, 0, 0, 0]",up,32
40,222,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 4, 32, 32, 8]",down,32
41,286,"[2, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 2, 4, 64, 8, 0]",left,64
42,290,"[2, 0, 0, 2, 0, 0, 0, 0, 8, 4, 0, 0, 4, 64, 8, 0]",left,64
43,294,"[4, 0, 0, 0, 0, 0, 2, 0, 8, 4, 0, 0, 4, 64, 8, 0]",left,64
44,294,"[4, 0, 0, 4, 2, 0, 0, 0, 8, 4, 0, 0, 4, 64, 8, 0]",left,64
45,302,"[0, 0, 0, 8, 0, 2, 0, 2, 0, 0, 8, 4, 0, 4, 64, 8]",right,64
46,306,"[0, 0, 2, 8, 0, 0, 0, 4, 0, 0, 8, 4, 0, 4, 64, 8]",right,64
47,310,"[0, 0, 0, 2, 0, 0, 2, 8, 0, 0, 8, 8, 0, 4, 64, 8]",down,64
48,326,"[0, 0, 0, 2, 0, 2, 2, 8, 0, 0, 0, 16, 0, 4, 64, 8]",right,64
49,330,"[2, 0, 0, 0, 4, 8, 2, 0, 16, 0, 0, 0, 4, 64, 8, 0]",left,64
50,330,"[2, 0, 0, 0, 4, 2, 0, 0, 16, 8, 2, 0, 4, 64, 8, 0]",down,64
51,330,"[2, 2, 2, 0, 4, 8, 8, 0, 16, 64, 0, 0, 4, 0, 2, 0]",up,64
