Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left,4
2,0,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 2, 0, 0]",right,4
3,0,"[0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 2]",right,4
4,2,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 2, 0, 0, 4]",down,4
5,10,"[2, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,8
6,14,"[0, 0, 4, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]",right,8
7,14,"[4, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2]",left,8
8,18,"[4, 8, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0]",left,8
9,18,"[0, 0, 4, 8, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 4]",right,8
10,20,"[0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 4, 0, 2, 4, 4]",down,8
11,24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 2, 2, 4, 8]",down,8
12,28,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 8, 0, 4, 4, 8]",right,8
13,36,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 4, 4, 4, 16]",down,16
14,44,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 0, 4, 8, 16]",right,16
15,48,"[2, 4, 8, 4, 0, 0, 0, 16, 0, 0, 0, 0, 2, 0, 0, 0]",up,16
16,52,"[4, 4, 8, 4, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2]",up,16
17,60,"[0, 8, 8, 4, 0, 2, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
18,76,"[16, 4, 0, 0, 2, 16, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",left,16
19,78,"[0, 0, 0, 0, 0, 4, 0, 0, 16, 4, 0, 0, 4, 16, 0, 2]",down,16
20,86,"[16, 8, 0, 2, 4, 16, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,16
21,88,"[0, 2, 0, 0, 0, 0, 0, 0, 16, 8, 0, 0, 4, 16, 0, 4]",down,16
22,88,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 16, 8, 2, 4, 16, 4]",right,16
23,104,"[0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 2, 4, 32, 4]",down,32
24,104,"[0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 8, 2, 4, 32, 4]",right,32
25,108,"[2, 4, 2, 4, 0, 0, 32, 8, 0, 0, 2, 4, 0, 0, 0, 0]",up,32
26,108,"[2, 4, 2, 4, 32, 8, 0, 0, 2, 4, 0, 0, 0, 2, 0, 0]",left,32
27,108,"[2, 4, 2, 4, 0, 0, 32, 8, 0, 4, 2, 4, 0, 0, 0, 2]",right,32
28,112,"[0, 2, 0, 4, 0, 0, 2, 8, 0, 0, 32, 4, 2, 8, 2, 2]",down,32
29,116,"[0, 2, 2, 4, 0, 0, 2, 8, 0, 0, 32, 4, 0, 2, 8, 4]",right,32
30,124,"[0, 0, 0, 0, 0, 2, 4, 4, 0, 0, 32, 8, 0, 4, 8, 8]",down,32
31,148,"[0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 32, 8, 0, 2, 4, 16]",right,32
32,156,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 32, 16, 0, 2, 4, 16]",down,32
33,188,"[2, 2, 2, 32, 0, 0, 32, 0, 0, 0, 4, 0, 0, 2, 0, 0]",up,32
34,192,"[0, 2, 4, 32, 0, 0, 0, 32, 2, 0, 0, 4, 0, 0, 0, 2]",right,32
35,224,"[0, 0, 0, 0, 0, 2, 0, 64, 0, 0, 0, 4, 2, 2, 4, 2]",down,64
36,228,"[0, 0, 0, 0, 2, 64, 0, 2, 4, 0, 0, 0, 4, 4, 2, 0]",left,64
37,236,"[2, 64, 2, 2, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up,64
38,238,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 64, 0, 0, 8, 4, 4, 2]",down,64
39,240,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 64, 0, 0, 8, 4, 4, 2]",down,64
40,242,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 64, 0, 0, 8, 4, 4, 4]",down,64
41,250,"[2, 0, 0, 0, 0, 0, 2, 0, 4, 64, 0, 0, 8, 8, 4, 0]",left,64
42,266,"[2, 0, 0, 0, 2, 0, 0, 2, 4, 64, 0, 0, 16, 4, 0, 0]",left,64
43,268,"[0, 2, 0, 0, 4, 0, 0, 0, 4, 64, 0, 0, 16, 4, 0, 2]",down,64
44,272,"[0, 0, 0, 0, 0, 2, 0, 0, 8, 64, 2, 0, 16, 4, 0, 2]",down,64
45,272,"[0, 0, 0, 0, 0, 2, 0, 0, 8, 64, 2, 0, 16, 4, 2, 2]",down,64
46,276,"[0, 0, 0, 2, 2, 0, 0, 0, 8, 64, 2, 0, 16, 4, 4, 0]",left,64
47,284,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 8, 64, 2, 0, 4, 16, 8]",right,64
48,286,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 8, 64, 4, 0, 4, 16, 8]",down,64
49,290,"[0, 0, 0, 0, 4, 2, 0, 0, 8, 64, 4, 0, 4, 16, 8, 0]",left,64
50,290,"[4, 2, 4, 0, 8, 64, 8, 0, 4, 16, 0, 0, 2, 0, 0, 0]",up,64
51,290,"[4, 0, 0, 2, 8, 2, 0, 0, 4, 64, 4, 0, 2, 16, 8, 0]",down,64
52,290,"[2, 0, 4, 2, 0, 0, 8, 2, 0, 4, 64, 4, 0, 2, 16, 8]",right,64
53,292,"[0, 0, 4, 0, 0, 0, 8, 4, 2, 4, 64, 4, 2, 2, 16, 8]",down,64
54,298,"[0, 0, 4, 0, 0, 0, 8, 2, 0, 4, 64, 8, 4, 2, 16, 8]",down,64
55,314,"[4, 4, 4, 2, 0, 2, 8, 16, 0, 2, 64, 0, 0, 0, 16, 0]",up,64
56,322,"[0, 4, 8, 2, 2, 2, 8, 16, 0, 0, 2, 64, 0, 0, 0, 16]",right,64
57,330,"[2, 0, 0, 2, 0, 0, 0, 16, 0, 4, 16, 64, 2, 2, 2, 16]",down,64
58,338,"[0, 0, 0, 4, 2, 0, 0, 16, 0, 4, 16, 64, 0, 2, 4, 16]",right,64
59,338,"[4, 0, 0, 0, 2, 16, 0, 0, 4, 16, 64, 0, 2, 4, 16, 2]",left,64
60,370,"[4, 32, 64, 2, 2, 4, 16, 0, 4, 0, 0, 0, 2, 0, 2, 0]",up,64
61,374,"[4, 32, 64, 2, 2, 4, 16, 0, 4, 2, 0, 0, 4, 0, 0, 0]",left,64
62,382,"[4, 32, 64, 2, 2, 4, 16, 0, 8, 2, 0, 0, 0, 2, 0, 0]",up,64
63,386,"[4, 32, 64, 2, 2, 4, 16, 0, 8, 4, 0, 0, 0, 0, 2, 0]",up,64
64,394,"[4, 32, 64, 2, 2, 8, 16, 0, 8, 0, 2, 2, 0, 0, 0, 0]",up,64
65,398,"[4, 32, 64, 2, 0, 2, 8, 16, 0, 2, 8, 4, 0, 0, 0, 0]",right,64
66,408,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 32, 64, 16, 4, 4, 16, 4]",down,64
67,420,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 32, 64, 16, 0, 8, 16, 4]",right,64
68,420,"[0, 32, 64, 2, 0, 8, 16, 4, 2, 0, 0, 16, 0, 0, 0, 4]",up,64
69,420,"[2, 32, 64, 2, 0, 8, 16, 4, 0, 2, 0, 16, 0, 0, 0, 4]",up,64
70,420,"[0, 0, 0, 2, 0, 32, 0, 4, 2, 8, 64, 16, 2, 2, 16, 4]",down,64
71,422,"[2, 0, 0, 2, 0, 32, 0, 4, 0, 8, 64, 16, 4, 2, 16, 4]",down,64
72,426,"[0, 0, 0, 4, 2, 0, 32, 4, 0, 8, 64, 16, 4, 2, 16, 4]",right,64
73,434,"[2, 8, 32, 8, 4, 2, 64, 16, 0, 2, 16, 4, 0, 0, 0, 0]",up,64
74,436,"[0, 0, 0, 0, 0, 2, 32, 8, 2, 8, 64, 16, 4, 4, 16, 4]",down,64
75,444,"[0, 0, 0, 2, 2, 32, 8, 0, 2, 8, 64, 16, 8, 16, 4, 0]",left,64
76,448,"[4, 32, 8, 2, 8, 8, 64, 16, 0, 16, 4, 0, 2, 0, 0, 0]",up,64
77,464,"[4, 32, 8, 2, 16, 64, 16, 0, 16, 4, 0, 0, 2, 0, 2, 0]",left,64
78,480,"[2, 0, 0, 0, 4, 32, 8, 0, 32, 64, 16, 0, 2, 4, 2, 2]",down,64
79,484,"[2, 0, 0, 2, 0, 4, 32, 8, 0, 32, 64, 16, 0, 2, 4, 4]",right,64
80,496,"[0, 0, 2, 4, 0, 4, 32, 8, 0, 32, 64, 16, 0, 0, 2, 8]",right,64
81,496,"[0, 0, 2, 4, 2, 0, 32, 8, 0, 4, 64, 16, 0, 32, 2, 8]",down,64
82,496,"[0, 2, 2, 4, 0, 2, 32, 8, 0, 4, 64, 16, 0, 32, 2, 8]",right,64
83,498,"[0, 0, 2, 4, 0, 4, 32, 8, 4, 4, 64, 16, 0, 32, 2, 8]",down,64
84,506,"[4, 8, 2, 4, 0, 32, 32, 8, 2, 0, 64, 16, 0, 0, 2, 8]",up,64
85,570,"[4, 8, 2, 4, 2, 0, 64, 8, 0, 2, 64, 16, 0, 0, 2, 8]",right,64
86,698,"[4, 8, 2, 4, 2, 2, 128, 8, 0, 0, 2, 16, 0, 2, 0, 8]",up,128
87,702,"[4, 8, 2, 4, 2, 4, 128, 8, 4, 0, 2, 16, 0, 0, 0, 8]",up,128
88,702,"[4, 8, 2, 4, 2, 4, 128, 8, 4, 2, 16, 0, 8, 0, 0, 2]",left,128
89,702,"[4, 8, 2, 4, 2, 4, 128, 8, 4, 2, 16, 0, 8, 2, 2, 0]",left,128
90,706,"[4, 8, 2, 4, 2, 4, 128, 8, 2, 4, 2, 16, 0, 0, 8, 4]",right,128
91,718,"[4, 8, 2, 4, 4, 8, 128, 8, 2, 0, 2, 16, 0, 0, 8, 4]",up,128
92,742,"[8, 16, 2, 4, 2, 0, 128, 8, 0, 0, 2, 16, 4, 0, 8, 4]",up,128
93,742,"[8, 16, 2, 4, 0, 2, 128, 8, 2, 0, 2, 16, 0, 4, 8, 4]",right,128
94,746,"[8, 16, 2, 4, 2, 128, 8, 2, 4, 16, 0, 0, 4, 8, 4, 0]",left,128
95,754,"[8, 16, 2, 4, 2, 128, 8, 2, 8, 16, 4, 0, 0, 8, 0, 2]",up,128
96,758,"[8, 16, 2, 4, 2, 128, 8, 4, 8, 16, 4, 2, 0, 8, 0, 0]",up,128
97,766,"[8, 16, 2, 8, 2, 128, 8, 2, 8, 16, 4, 2, 0, 8, 0, 0]",up,128
98,768,"[0, 16, 2, 0, 8, 128, 2, 0, 2, 16, 8, 8, 8, 8, 4, 4]",down,128
99,808,"[16, 2, 0, 0, 8, 128, 2, 0, 2, 16, 16, 0, 16, 8, 2, 0]",left,128
100,840,"[0, 0, 16, 2, 0, 8, 128, 2, 0, 2, 2, 32, 0, 16, 8, 2]",right,128
101,844,"[0, 8, 16, 4, 0, 2, 128, 32, 0, 16, 2, 2, 0, 0, 8, 2]",up,128
102,848,"[0, 8, 16, 4, 0, 2, 128, 32, 2, 16, 2, 4, 0, 0, 8, 0]",up,128
103,848,"[0, 0, 16, 0, 0, 8, 128, 4, 2, 2, 2, 32, 2, 16, 8, 4]",down,128
104,852,"[16, 0, 0, 2, 8, 128, 4, 0, 4, 2, 32, 0, 2, 16, 8, 4]",left,128
105,852,"[16, 128, 4, 2, 8, 2, 32, 4, 4, 16, 8, 0, 2, 0, 0, 2]",up,128
106,856,"[16, 128, 4, 2, 8, 2, 32, 4, 0, 4, 16, 8, 4, 0, 0, 4]",right,128
107,864,"[16, 128, 4, 2, 8, 2, 32, 4, 0, 4, 16, 8, 2, 0, 0, 8]",right,128
108,880,"[16, 128, 4, 2, 8, 2, 32, 4, 2, 4, 16, 16, 2, 0, 0, 0]",up,128
109,912,"[16, 128, 4, 2, 8, 2, 32, 4, 0, 2, 4, 32, 0, 2, 0, 2]",right,128
110,916,"[16, 128, 4, 2, 8, 4, 32, 4, 2, 2, 4, 32, 0, 0, 0, 2]",up,128
111,920,"[16, 128, 4, 2, 8, 4, 32, 4, 4, 4, 32, 0, 2, 0, 2, 0]",left,128
112,932,"[16, 128, 4, 2, 8, 4, 32, 4, 8, 32, 0, 0, 4, 0, 4, 0]",left,128
113,940,"[0, 0, 0, 2, 16, 128, 4, 0, 16, 4, 32, 2, 4, 32, 4, 4]",down,128
114,958,"[0, 0, 2, 0, 0, 128, 4, 0, 32, 4, 32, 4, 4, 32, 4, 4]",down,128
115,966,"[2, 2, 0, 0, 128, 4, 0, 0, 32, 4, 32, 4, 4, 32, 8, 0]",left,128
116,974,"[2, 2, 32, 4, 128, 8, 8, 0, 32, 32, 0, 0, 4, 0, 0, 2]",up,128
117,1058,"[0, 4, 32, 4, 0, 0, 128, 16, 0, 2, 0, 64, 0, 0, 4, 2]",right,128
118,1058,"[0, 0, 0, 4, 2, 0, 32, 16, 0, 4, 128, 64, 0, 2, 4, 2]",down,128
119,1058,"[0, 0, 2, 4, 0, 0, 32, 16, 0, 4, 128, 64, 2, 2, 4, 2]",down,128
120,1062,"[2, 4, 0, 0, 32, 16, 0, 0, 4, 128, 64, 2, 4, 4, 2, 0]",left,128
121,1070,"[2, 4, 2, 0, 32, 16, 0, 0, 4, 128, 64, 2, 8, 2, 0, 0]",left,128
122,1070,"[2, 4, 2, 2, 32, 16, 64, 2, 4, 128, 0, 0, 8, 2, 0, 0]",up,128
123,1074,"[0, 2, 4, 4, 32, 16, 64, 2, 2, 0, 4, 128, 0, 0, 8, 2]",right,128
124,1082,"[0, 0, 2, 8, 32, 16, 64, 2, 0, 2, 4, 128, 0, 2, 8, 2]",right,128
125,1084,"[0, 0, 2, 8, 0, 0, 64, 2, 2, 16, 4, 128, 32, 4, 8, 2]",down,128
126,1084,"[2, 8, 0, 2, 64, 2, 0, 0, 2, 16, 4, 128, 32, 4, 8, 2]",left,128
127,1084,"[2, 8, 2, 2, 64, 2, 0, 0, 2, 16, 4, 128, 32, 4, 8, 2]",left,128
128,1088,"[0, 2, 8, 4, 0, 2, 64, 2, 2, 16, 4, 128, 32, 4, 8, 2]",right,128
129,1092,"[2, 4, 8, 4, 32, 16, 64, 2, 2, 4, 4, 128, 0, 0, 8, 2]",up,128
130,1100,"[2, 4, 8, 4, 32, 16, 64, 2, 0, 2, 8, 128, 2, 0, 8, 2]",right,128
131,1108,"[0, 0, 2, 4, 2, 4, 8, 2, 32, 16, 64, 128, 2, 2, 16, 2]",down,128
132,1112,"[2, 4, 0, 0, 2, 4, 8, 2, 32, 16, 64, 128, 4, 16, 2, 2]",left,128
133,1134,"[2, 0, 0, 0, 4, 0, 8, 2, 32, 8, 64, 128, 4, 32, 2, 2]",down,128
134,1138,"[2, 0, 2, 0, 4, 8, 2, 0, 32, 8, 64, 128, 4, 32, 4, 0]",left,128
135,1158,"[2, 16, 4, 128, 4, 32, 64, 0, 32, 0, 4, 4, 4, 0, 0, 0]",up,128
136,1166,"[2, 16, 4, 128, 0, 4, 32, 64, 2, 0, 32, 8, 0, 0, 0, 4]",right,128
137,1234,"[4, 16, 4, 128, 0, 4, 64, 64, 0, 0, 2, 8, 0, 0, 0, 4]",up,128
138,1362,"[4, 16, 4, 128, 2, 0, 4, 128, 0, 0, 2, 8, 0, 0, 0, 4]",right,128
139,1626,"[4, 16, 8, 256, 2, 0, 2, 8, 0, 0, 0, 4, 0, 0, 2, 0]",up,256
140,1630,"[4, 16, 8, 256, 0, 2, 4, 8, 0, 0, 0, 4, 0, 0, 0, 2]",right,256
141,1630,"[0, 2, 0, 256, 0, 0, 0, 8, 0, 16, 8, 4, 4, 2, 4, 2]",down,256
142,1630,"[0, 0, 2, 256, 2, 0, 0, 8, 0, 16, 8, 4, 4, 2, 4, 2]",right,256
143,1630,"[0, 0, 2, 256, 2, 0, 2, 8, 0, 16, 8, 4, 4, 2, 4, 2]",right,256
144,1634,"[2, 16, 4, 256, 4, 2, 8, 8, 0, 0, 4, 4, 0, 2, 0, 2]",up,256
145,1662,"[2, 16, 4, 256, 4, 2, 16, 0, 8, 0, 0, 0, 4, 0, 0, 2]",left,256
