Move,Score,Matrix,Direction
57,468,"[0, 0, 0, 0, 0, 0, 64, 4, 2, 0, 4, 8, 2, 32, 2, 8]",down
58,468,"[0, 0, 2, 0, 64, 4, 0, 0, 2, 4, 8, 0, 2, 32, 2, 8]",left
59,468,"[2, 0, 0, 2, 0, 0, 64, 4, 0, 2, 4, 8, 2, 32, 2, 8]",right
60,488,"[4, 2, 64, 2, 4, 32, 4, 4, 0, 0, 2, 16, 0, 0, 0, 0]",up
61,496,"[4, 2, 64, 2, 4, 32, 8, 0, 2, 16, 0, 0, 0, 0, 0, 2]",left
62,496,"[4, 2, 64, 2, 0, 4, 32, 8, 0, 0, 2, 16, 2, 0, 0, 2]",right
63,496,"[4, 2, 64, 2, 2, 4, 32, 8, 2, 0, 2, 16, 0, 0, 0, 2]",up
64,500,"[0, 0, 0, 2, 2, 0, 64, 8, 4, 2, 32, 16, 4, 4, 2, 2]",down
65,512,"[2, 0, 0, 0, 2, 64, 8, 0, 4, 2, 32, 16, 8, 4, 0, 2]",left
66,516,"[4, 64, 8, 16, 4, 2, 32, 2, 8, 4, 0, 2, 0, 0, 0, 0]",up
67,516,"[4, 64, 8, 16, 4, 2, 32, 2, 0, 8, 4, 2, 2, 0, 0, 0]",right
68,528,"[0, 0, 0, 0, 0, 64, 8, 2, 8, 2, 32, 16, 2, 8, 4, 4]",down
69,536,"[2, 0, 0, 0, 64, 8, 2, 0, 8, 2, 32, 16, 2, 8, 8, 0]",left
70,536,"[2, 8, 2, 16, 64, 2, 32, 2, 8, 8, 8, 0, 2, 0, 0, 0]",up
71,552,"[2, 8, 2, 16, 64, 2, 32, 2, 2, 0, 8, 16, 0, 0, 0, 2]",right
72,552,"[0, 2, 0, 16, 2, 0, 2, 2, 64, 8, 32, 16, 2, 2, 8, 2]",down
73,560,"[2, 16, 0, 2, 4, 2, 0, 0, 64, 8, 32, 16, 4, 8, 2, 0]",left
74,560,"[0, 2, 16, 2, 0, 2, 4, 2, 64, 8, 32, 16, 0, 4, 8, 2]",right
75,568,"[0, 4, 16, 0, 0, 4, 4, 4, 0, 8, 32, 16, 64, 4, 8, 2]",down
76,576,"[4, 16, 0, 0, 8, 4, 2, 0, 8, 32, 16, 0, 64, 4, 8, 2]",left
77,576,"[0, 0, 4, 16, 0, 8, 4, 2, 2, 8, 32, 16, 64, 4, 8, 2]",right
78,592,"[2, 16, 4, 16, 64, 4, 4, 2, 2, 0, 32, 16, 0, 0, 8, 2]",up
79,600,"[2, 16, 4, 16, 64, 8, 2, 0, 2, 32, 16, 0, 8, 2, 0, 2]",left
80,600,"[2, 16, 0, 2, 64, 8, 4, 0, 2, 32, 2, 16, 8, 2, 16, 2]",down
81,600,"[0, 2, 16, 2, 2, 64, 8, 4, 2, 32, 2, 16, 8, 2, 16, 2]",right
82,600,"[2, 16, 2, 2, 2, 64, 8, 4, 2, 32, 2, 16, 8, 2, 16, 2]",left
83,604,"[2, 16, 2, 2, 4, 64, 8, 4, 2, 32, 2, 16, 8, 2, 16, 2]",down
84,608,"[2, 2, 16, 4, 4, 64, 8, 4, 2, 32, 2, 16, 8, 2, 16, 2]",right
85,612,"[4, 16, 4, 2, 4, 64, 8, 4, 2, 32, 2, 16, 8, 2, 16, 2]",left
86,620,"[8, 16, 4, 2, 2, 64, 8, 4, 8, 32, 2, 16, 2, 2, 16, 2]",up
87,624,"[8, 16, 4, 2, 2, 64, 8, 4, 8, 32, 2, 16, 4, 16, 2, 2]",left
88,628,"[8, 16, 4, 2, 2, 64, 8, 4, 8, 32, 2, 16, 4, 16, 4, 2]",left
1,0,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up
2,0,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]",right
3,0,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0]",left
4,4,"[4, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up
5,4,"[0, 0, 4, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2]",right
6,4,"[4, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2]",left
7,8,"[4, 2, 0, 2, 4, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",up
8,12,"[4, 4, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left
9,24,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 2, 0, 4, 2, 0, 0]",down
10,24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 2, 0, 2, 4, 2]",right
11,24,"[0, 0, 0, 2, 0, 0, 0, 0, 8, 4, 2, 0, 2, 4, 2, 0]",left
12,36,"[8, 8, 4, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up
1,0,"[8, 8, 4, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up
2,20,"[0, 16, 4, 2, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2]",right
3,20,"[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 16, 4, 2]",down
1,0,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
2,0,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",right
3,4,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 2]",down
4,4,"[0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0]",left
5,4,"[2, 0, 0, 2, 4, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0]",up
6,8,"[0, 0, 0, 4, 2, 0, 0, 4, 0, 0, 2, 4, 0, 0, 0, 0]",right
7,8,"[4, 0, 0, 0, 2, 4, 0, 0, 2, 4, 0, 0, 0, 0, 2, 0]",left
8,20,"[4, 8, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",left
2,0,"[2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
3,4,"[4, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",right
4,4,"[4, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",left
5,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 2, 4, 2]",down
6,4,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 4, 2, 4, 2]",left
7,4,"[0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4, 2, 4, 2]",right
8,4,"[2, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 4, 2, 4, 2]",left
9,12,"[4, 2, 4, 4, 2, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0]",up
10,20,"[0, 4, 2, 8, 0, 0, 0, 2, 0, 0, 4, 2, 0, 0, 0, 2]",right
11,20,"[4, 2, 8, 0, 2, 0, 0, 0, 4, 2, 2, 0, 2, 0, 0, 0]",left
12,24,"[4, 0, 0, 0, 2, 0, 0, 2, 4, 0, 8, 0, 2, 4, 2, 0]",down
13,28,"[0, 2, 0, 4, 0, 0, 0, 4, 0, 0, 4, 8, 0, 2, 4, 2]",right
14,28,"[2, 4, 0, 0, 4, 0, 0, 0, 4, 8, 2, 0, 2, 4, 2, 0]",left
1,12,"[2, 4, 4, 0, 8, 8, 0, 2, 2, 4, 0, 0, 0, 0, 0, 0]",up
2,20,"[2, 8, 0, 0, 8, 8, 2, 0, 2, 4, 0, 2, 0, 0, 0, 0]",left
3,36,"[0, 2, 2, 8, 0, 0, 16, 2, 0, 2, 4, 2, 0, 0, 0, 0]",right
4,44,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 16, 8, 0, 4, 4, 4]",down
5,56,"[2, 0, 0, 0, 4, 0, 0, 0, 16, 8, 0, 0, 8, 4, 0, 0]",left
6,56,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 16, 8, 4, 0, 8, 4]",right
7,56,"[4, 4, 16, 2, 0, 0, 8, 4, 0, 0, 0, 8, 0, 0, 0, 4]",up
8,64,"[0, 8, 16, 2, 0, 0, 8, 4, 0, 0, 0, 8, 0, 0, 2, 4]",right
9,64,"[8, 16, 2, 0, 8, 4, 2, 0, 8, 0, 0, 0, 2, 4, 0, 0]",left
10,64,"[0, 8, 16, 2, 0, 8, 4, 2, 2, 0, 0, 8, 0, 0, 2, 4]",right
11,84,"[2, 16, 16, 4, 0, 0, 4, 8, 0, 0, 2, 4, 0, 0, 0, 2]",up
12,116,"[0, 2, 32, 4, 0, 0, 4, 8, 0, 0, 2, 4, 4, 0, 0, 2]",right
13,116,"[2, 32, 4, 0, 4, 8, 0, 0, 2, 4, 2, 0, 4, 2, 0, 0]",left
14,116,"[0, 2, 32, 4, 4, 0, 4, 8, 0, 2, 4, 2, 0, 0, 4, 2]",right
1,8,"[0, 2, 32, 4, 0, 0, 8, 8, 0, 2, 4, 2, 2, 0, 4, 2]",right
