Move,Score,Matrix,Direction
8,108,"[0, 0, 0, 2, 0, 0, 4, 2, 0, 32, 16, 2, 2, 2, 8, 8]",down
9,128,"[2, 0, 0, 0, 4, 2, 2, 0, 32, 16, 2, 0, 4, 16, 0, 0]",left
10,132,"[0, 0, 0, 2, 0, 0, 4, 4, 2, 32, 16, 2, 0, 0, 4, 16]",right
11,140,"[2, 0, 0, 0, 8, 0, 4, 0, 2, 32, 16, 2, 4, 16, 0, 0]",left
12,140,"[2, 32, 4, 2, 8, 16, 16, 0, 2, 0, 0, 0, 4, 0, 0, 4]",up
13,180,"[2, 32, 4, 2, 0, 0, 8, 32, 0, 0, 0, 2, 0, 2, 0, 8]",right
14,180,"[0, 0, 0, 2, 0, 0, 0, 32, 2, 32, 4, 2, 2, 2, 8, 8]",down
15,200,"[2, 0, 2, 0, 32, 0, 0, 0, 2, 32, 4, 2, 4, 16, 0, 0]",left
16,204,"[0, 0, 2, 4, 0, 0, 0, 32, 2, 32, 4, 2, 0, 0, 4, 16]",right
17,212,"[2, 32, 2, 4, 0, 0, 8, 32, 0, 0, 0, 2, 0, 0, 2, 16]",up
18,212,"[2, 32, 2, 4, 8, 32, 0, 0, 2, 0, 0, 0, 2, 16, 2, 0]",left
19,284,"[2, 64, 4, 4, 8, 16, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0]",up
20,292,"[0, 2, 64, 8, 0, 0, 8, 16, 2, 0, 4, 2, 0, 0, 0, 0]",right
21,292,"[2, 64, 8, 0, 8, 16, 0, 0, 2, 4, 2, 0, 0, 0, 2, 0]",left
22,296,"[0, 0, 0, 0, 2, 64, 0, 0, 8, 16, 8, 0, 2, 4, 4, 4]",down
23,304,"[0, 0, 2, 0, 0, 0, 2, 64, 0, 8, 16, 8, 0, 2, 4, 8]",right
24,304,"[2, 0, 2, 0, 2, 64, 0, 0, 8, 16, 8, 0, 2, 4, 8, 0]",left
25,324,"[4, 64, 2, 0, 8, 16, 16, 0, 2, 4, 2, 0, 0, 0, 0, 0]",up
26,356,"[0, 4, 64, 2, 0, 0, 8, 32, 0, 2, 4, 2, 0, 0, 2, 0]",right
27,356,"[0, 2, 64, 0, 0, 0, 8, 2, 0, 4, 4, 32, 0, 2, 2, 2]",down
28,356,"[0, 0, 64, 2, 0, 2, 8, 2, 0, 4, 4, 32, 0, 2, 2, 2]",down
29,360,"[0, 0, 64, 0, 2, 2, 8, 4, 0, 4, 4, 32, 0, 2, 2, 2]",down
30,360,"[0, 2, 64, 0, 0, 2, 8, 4, 0, 4, 4, 32, 2, 2, 2, 2]",down
31,372,"[0, 0, 64, 2, 0, 0, 8, 4, 0, 8, 4, 32, 2, 2, 2, 2]",down
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",up
2,0,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2]",down
3,4,"[4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",left
4,4,"[0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4]",right
5,4,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 2, 2, 0, 0, 4]",down
6,8,"[0, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0, 2, 4, 0, 0]",left
7,8,"[0, 0, 0, 2, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 2, 4]",right
8,20,"[0, 0, 4, 2, 0, 0, 0, 8, 2, 0, 0, 4, 0, 0, 0, 0]",up
9,20,"[0, 0, 4, 2, 0, 0, 0, 8, 0, 0, 2, 4, 0, 0, 0, 2]",right
10,20,"[0, 2, 0, 2, 0, 0, 0, 8, 0, 0, 4, 4, 0, 0, 2, 2]",down
11,36,"[4, 0, 4, 0, 8, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0]",left
12,44,"[0, 0, 0, 8, 0, 0, 0, 8, 0, 0, 0, 8, 0, 0, 2, 4]",right
13,44,"[8, 0, 0, 0, 8, 0, 0, 0, 8, 2, 0, 0, 2, 4, 0, 0]",left
14,60,"[0, 2, 0, 0, 16, 0, 0, 0, 8, 2, 0, 0, 2, 4, 0, 0]",down
15,60,"[2, 0, 0, 2, 0, 0, 0, 16, 0, 0, 8, 2, 0, 0, 2, 4]",right
16,60,"[0, 0, 2, 2, 0, 0, 0, 16, 0, 0, 8, 2, 2, 0, 2, 4]",down
17,64,"[4, 0, 0, 0, 16, 0, 0, 2, 8, 2, 0, 0, 2, 2, 4, 0]",left
18,68,"[0, 0, 0, 4, 0, 0, 16, 2, 0, 0, 8, 2, 2, 0, 4, 4]",right
19,76,"[4, 0, 2, 0, 16, 2, 0, 0, 8, 2, 0, 0, 2, 8, 0, 0]",left
20,80,"[4, 4, 2, 0, 16, 8, 0, 0, 8, 2, 0, 0, 2, 0, 0, 0]",up
21,88,"[0, 0, 8, 2, 4, 0, 16, 8, 0, 0, 8, 2, 0, 0, 0, 2]",right
1,12,"[8, 2, 8, 2, 0, 0, 16, 8, 0, 0, 8, 4, 0, 0, 0, 0]",up
2,12,"[8, 2, 8, 2, 16, 8, 0, 0, 8, 4, 2, 0, 0, 0, 0, 0]",left
3,12,"[8, 2, 8, 2, 0, 2, 16, 8, 0, 8, 4, 2, 0, 0, 0, 0]",right
4,16,"[0, 0, 0, 0, 0, 0, 8, 2, 2, 4, 16, 8, 8, 8, 4, 2]",down
5,32,"[2, 0, 0, 0, 8, 2, 0, 0, 2, 4, 16, 8, 16, 4, 2, 0]",left
6,32,"[0, 0, 0, 2, 0, 0, 8, 2, 2, 4, 16, 8, 2, 16, 4, 2]",right
7,32,"[2, 4, 0, 0, 8, 2, 0, 0, 2, 4, 16, 8, 2, 16, 4, 2]",left
8,36,"[0, 4, 0, 0, 2, 2, 0, 2, 8, 4, 16, 8, 4, 16, 4, 2]",down
9,40,"[0, 2, 0, 4, 0, 0, 2, 4, 8, 4, 16, 8, 4, 16, 4, 2]",right
10,48,"[8, 2, 2, 8, 4, 4, 16, 8, 2, 16, 4, 2, 0, 0, 0, 0]",up
11,60,"[2, 8, 4, 8, 0, 8, 16, 8, 2, 16, 4, 2, 0, 0, 0, 0]",right
12,112,"[0, 0, 0, 2, 0, 0, 4, 8, 0, 0, 16, 8, 4, 32, 4, 2]",down
1,0,"[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up
2,0,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",right
3,0,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]",left
4,4,"[0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4]",right
5,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 8]",down
6,20,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8]",right
7,20,"[2, 0, 4, 2, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up
1,0,"[2, 4, 2, 0, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",left
2,0,"[2, 4, 2, 2, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up
3,4,"[0, 2, 4, 4, 0, 4, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2]",right
4,4,"[2, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 8, 0, 4, 4, 2]",down
5,12,"[2, 0, 0, 2, 4, 0, 0, 0, 2, 8, 0, 0, 8, 2, 0, 0]",left
6,16,"[0, 0, 0, 4, 0, 0, 0, 4, 0, 2, 2, 8, 0, 0, 8, 2]",right
7,20,"[4, 0, 0, 0, 4, 0, 0, 0, 4, 8, 2, 0, 8, 2, 0, 0]",left
8,28,"[8, 8, 2, 0, 4, 2, 0, 0, 8, 0, 0, 0, 0, 2, 0, 0]",up
1,16,"[0, 0, 16, 2, 2, 0, 4, 2, 0, 0, 0, 8, 0, 0, 0, 2]",right
2,16,"[16, 2, 4, 0, 2, 4, 2, 0, 8, 0, 0, 0, 2, 0, 0, 0]",left
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up
2,0,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left
3,0,"[0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",right
4,0,"[2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2]",left
5,4,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 4]",right
6,4,"[2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 2, 4, 0, 0]",left
7,12,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 4, 0, 2]",down
8,20,"[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 8, 2]",right
9,20,"[0, 0, 2, 2, 0, 0, 8, 4, 0, 0, 0, 2, 0, 0, 2, 0]",up
10,24,"[0, 0, 0, 4, 0, 0, 8, 4, 0, 2, 0, 2, 0, 0, 0, 2]",right
11,28,"[4, 0, 2, 0, 8, 4, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left
12,28,"[4, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 2, 4, 2, 0]",down
1,4,"[4, 2, 2, 4, 8, 4, 0, 0, 4, 0, 0, 4, 2, 0, 0, 0]",up
2,16,"[0, 4, 4, 4, 0, 2, 8, 4, 0, 0, 0, 8, 0, 0, 0, 2]",right
3,24,"[8, 4, 0, 0, 2, 8, 4, 0, 8, 0, 0, 0, 2, 0, 0, 2]",left
4,24,"[8, 0, 2, 0, 2, 0, 0, 0, 8, 4, 0, 0, 2, 8, 4, 2]",down
5,24,"[0, 0, 8, 2, 0, 0, 2, 2, 0, 0, 8, 4, 2, 8, 4, 2]",right
6,28,"[8, 2, 0, 0, 4, 0, 0, 0, 8, 4, 2, 0, 2, 8, 4, 2]",left
7,28,"[8, 2, 2, 2, 4, 4, 4, 0, 8, 8, 0, 0, 2, 2, 0, 0]",up
8,60,"[0, 8, 2, 4, 0, 0, 4, 8, 0, 0, 0, 16, 4, 0, 0, 4]",right
9,60,"[0, 0, 0, 4, 0, 0, 0, 8, 2, 0, 2, 16, 4, 8, 4, 4]",down
10,72,"[4, 0, 0, 0, 8, 0, 0, 2, 4, 16, 0, 0, 4, 8, 8, 0]",left
11,88,"[0, 0, 0, 4, 0, 2, 8, 2, 0, 0, 4, 16, 0, 0, 4, 16]",right
12,88,"[4, 0, 0, 0, 2, 8, 2, 0, 4, 16, 2, 0, 4, 16, 0, 0]",left
13,128,"[4, 8, 2, 0, 2, 32, 2, 0, 8, 2, 0, 0, 0, 0, 0, 0]",up
14,128,"[0, 4, 8, 2, 0, 2, 32, 2, 0, 2, 8, 2, 0, 0, 0, 0]",right
15,136,"[0, 4, 8, 4, 0, 4, 32, 2, 0, 0, 8, 0, 0, 2, 0, 0]",up
16,136,"[0, 4, 8, 4, 0, 4, 32, 2, 2, 0, 0, 8, 0, 0, 0, 2]",right
1,0,"[4, 8, 4, 0, 2, 4, 32, 2, 2, 8, 0, 0, 2, 2, 0, 0]",left
2,4,"[0, 4, 8, 4, 2, 4, 32, 2, 0, 0, 2, 8, 0, 2, 0, 4]",right
3,4,"[4, 8, 4, 2, 2, 4, 32, 2, 2, 8, 0, 0, 2, 4, 0, 0]",left
4,8,"[4, 8, 4, 2, 4, 4, 32, 2, 2, 8, 2, 0, 0, 4, 0, 0]",up
5,16,"[4, 8, 4, 2, 0, 8, 32, 2, 0, 2, 8, 2, 0, 0, 2, 4]",right
6,16,"[4, 8, 4, 2, 8, 32, 2, 4, 2, 8, 2, 0, 2, 4, 0, 0]",left
7,20,"[0, 8, 4, 0, 4, 32, 4, 0, 8, 8, 2, 2, 4, 4, 2, 4]",down
8,48,"[2, 0, 8, 4, 0, 4, 32, 4, 0, 0, 16, 4, 0, 8, 2, 4]",right
9,64,"[2, 4, 8, 8, 0, 8, 32, 8, 0, 0, 16, 0, 2, 0, 2, 0]",up
10,84,"[0, 2, 4, 16, 0, 8, 32, 8, 0, 0, 0, 16, 0, 2, 0, 4]",right
11,84,"[2, 4, 16, 4, 8, 32, 8, 0, 16, 0, 0, 0, 2, 4, 0, 0]",left
12,84,"[2, 0, 0, 0, 8, 4, 0, 0, 16, 32, 16, 2, 2, 4, 8, 4]",down
13,84,"[0, 0, 0, 2, 0, 2, 8, 4, 16, 32, 16, 2, 2, 4, 8, 4]",right
14,84,"[2, 0, 0, 0, 2, 8, 4, 2, 16, 32, 16, 2, 2, 4, 8, 4]",left
15,92,"[4, 8, 4, 4, 16, 32, 16, 4, 2, 4, 8, 2, 0, 0, 0, 0]",up
16,100,"[0, 4, 8, 8, 16, 32, 16, 4, 2, 4, 8, 2, 0, 0, 0, 4]",right
17,100,"[2, 0, 0, 8, 0, 4, 8, 4, 16, 32, 16, 2, 2, 4, 8, 4]",down
18,100,"[0, 2, 2, 8, 0, 4, 8, 4, 16, 32, 16, 2, 2, 4, 8, 4]",right
19,100,"[16, 2, 2, 8, 2, 4, 8, 4, 2, 32, 16, 2, 0, 4, 8, 4]",up
20,104,"[0, 16, 4, 8, 2, 4, 8, 4, 2, 32, 16, 2, 2, 4, 8, 4]",right
21,108,"[4, 16, 4, 8, 2, 4, 8, 4, 2, 32, 16, 2, 0, 4, 8, 4]",up
1,0,"[0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
2,0,"[0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right
3,4,"[2, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
4,4,"[0, 0, 2, 2, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right
5,8,"[4, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",left
6,20,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 0]",down
7,20,"[0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4]",right
8,28,"[2, 2, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
9,48,"[4, 16, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
10,48,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 16, 0, 2]",down
11,48,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 4, 16, 2]",right
12,48,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 4, 4, 16, 2, 0]",left
13,52,"[4, 16, 2, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up
14,52,"[4, 16, 2, 4, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 0]",right
15,56,"[4, 16, 2, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 2]",right
16,56,"[4, 16, 2, 4, 4, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left
1,12,"[4, 16, 2, 4, 8, 0, 0, 0, 4, 0, 0, 2, 4, 0, 0, 0]",left
2,20,"[4, 16, 2, 4, 8, 0, 0, 2, 8, 0, 0, 2, 0, 0, 0, 0]",up
3,20,"[4, 16, 2, 4, 2, 0, 8, 2, 0, 0, 8, 2, 0, 0, 0, 0]",right
4,20,"[4, 16, 2, 4, 2, 8, 2, 0, 8, 2, 0, 2, 0, 0, 0, 0]",left
5,24,"[0, 2, 0, 0, 4, 16, 0, 0, 2, 8, 0, 4, 8, 2, 4, 2]",down
6,24,"[0, 0, 0, 2, 0, 2, 4, 16, 0, 2, 8, 4, 8, 2, 4, 2]",right
7,24,"[2, 0, 2, 0, 2, 4, 16, 0, 2, 8, 4, 0, 8, 2, 4, 2]",left
8,36,"[0, 0, 0, 0, 4, 4, 2, 0, 2, 8, 16, 2, 8, 2, 8, 2]",down
9,44,"[0, 2, 0, 0, 8, 2, 0, 0, 2, 8, 16, 2, 8, 2, 8, 2]",left
10,44,"[2, 0, 0, 2, 0, 0, 8, 2, 2, 8, 16, 2, 8, 2, 8, 2]",right
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",right
2,0,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",left
3,0,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2]",right
4,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 4]",down
5,8,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 2, 4, 0, 0]",left
6,8,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 2, 0, 0, 2, 4]",right
7,8,"[2, 2, 4, 2, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up
8,12,"[4, 4, 2, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
9,20,"[0, 0, 8, 2, 0, 2, 4, 2, 0, 0, 0, 4, 0, 0, 0, 0]",right
10,20,"[8, 2, 0, 0, 2, 4, 2, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left
11,20,"[8, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 2, 2, 4, 2, 0]",down
12,24,"[8, 0, 0, 0, 2, 0, 0, 0, 4, 4, 0, 0, 2, 4, 2, 2]",left
13,36,"[0, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0, 8, 0, 2, 4, 4]",right
14,36,"[2, 2, 2, 8, 0, 0, 4, 2, 0, 0, 0, 8, 0, 0, 0, 4]",up
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]",up
2,0,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",right
3,4,"[4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0]",left
4,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 8, 2, 0, 0]",down
5,12,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 8, 2, 0, 0]",left
6,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 8, 2]",right
7,16,"[0, 0, 2, 4, 0, 0, 8, 2, 2, 0, 0, 0, 0, 0, 0, 0]",up
8,16,"[0, 0, 2, 4, 0, 0, 8, 2, 4, 0, 0, 2, 0, 0, 0, 0]",right
9,16,"[2, 4, 0, 0, 8, 2, 0, 0, 4, 2, 0, 2, 0, 0, 0, 0]",left
10,20,"[0, 0, 2, 4, 0, 0, 8, 2, 0, 2, 4, 4, 0, 0, 0, 0]",right
11,20,"[0, 2, 2, 4, 0, 0, 8, 2, 0, 0, 4, 4, 2, 0, 0, 0]",up
12,32,"[4, 4, 0, 0, 8, 2, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0]",left
1,16,"[0, 0, 2, 0, 4, 0, 0, 0, 16, 4, 0, 0, 2, 2, 2, 2]",down
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",left
2,0,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up
3,4,"[0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",right
4,4,"[4, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left
5,8,"[0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 4, 2, 0, 0]",down
6,8,"[0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 4, 2]",right
7,8,"[2, 0, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0, 4, 2, 0, 0]",left
8,12,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 0, 4, 0, 0, 4, 2]",right
9,20,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 8, 0, 2, 4, 2]",down
10,20,"[0, 2, 2, 2, 0, 0, 4, 8, 2, 0, 0, 2, 0, 0, 0, 0]",up
11,28,"[0, 0, 2, 4, 0, 0, 4, 8, 4, 0, 0, 4, 0, 0, 0, 0]",right
12,36,"[2, 4, 0, 2, 4, 8, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0]",left
13,36,"[0, 0, 0, 2, 2, 0, 0, 0, 4, 4, 0, 0, 8, 8, 0, 2]",down
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up
2,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]",right
3,4,"[2, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",left
4,4,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 4, 0, 0, 2]",down
5,8,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 2]",right
6,8,"[0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 0, 4, 2, 0, 0]",left
7,8,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 4, 2, 0, 0, 4, 2]",right
8,24,"[0, 0, 8, 4, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0]",up
9,32,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 8, 8]",down
1,0,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]",right
2,0,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",left
3,4,"[4, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
4,4,"[0, 0, 4, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]",right
5,4,"[4, 2, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left
6,8,"[0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 4, 2, 0, 2]",down
7,12,"[0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 4, 4]",right
8,20,"[0, 2, 4, 2, 0, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]",left
2,0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0]",down
3,0,"[0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4]",right
4,0,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4, 0, 0]",left
5,4,"[4, 4, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up
6,12,"[0, 0, 2, 8, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 2]",right
7,16,"[0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 4, 0, 0, 4, 2]",down
8,16,"[0, 0, 0, 0, 8, 0, 0, 0, 2, 4, 0, 0, 4, 2, 0, 2]",left
9,20,"[0, 0, 2, 0, 0, 0, 0, 8, 0, 0, 2, 4, 0, 0, 4, 4]",right
10,32,"[0, 0, 4, 8, 0, 0, 4, 8, 0, 0, 0, 0, 0, 2, 0, 0]",up
11,32,"[0, 0, 4, 8, 0, 0, 4, 8, 0, 0, 0, 2, 0, 0, 0, 2]",right
12,32,"[4, 8, 0, 0, 4, 8, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left
13,60,"[0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 0, 0, 4, 16, 2, 0]",down
14,60,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 8, 0, 4, 16, 2]",right
15,60,"[2, 0, 0, 0, 2, 0, 0, 0, 8, 2, 0, 0, 4, 16, 2, 0]",left
16,64,"[4, 2, 2, 0, 8, 16, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0]",up
17,68,"[0, 0, 4, 4, 0, 8, 16, 2, 0, 2, 0, 4, 0, 0, 0, 0]",right
18,68,"[0, 0, 2, 0, 0, 0, 0, 4, 0, 8, 4, 2, 0, 2, 16, 4]",down
19,68,"[2, 0, 0, 0, 4, 0, 2, 0, 8, 4, 2, 0, 2, 16, 4, 0]",left
20,68,"[0, 0, 2, 2, 0, 0, 4, 2, 0, 8, 4, 2, 0, 2, 16, 4]",right
21,72,"[4, 0, 0, 0, 4, 2, 0, 0, 8, 4, 2, 0, 2, 16, 4, 2]",left
22,96,"[0, 0, 4, 0, 0, 2, 0, 0, 16, 4, 2, 0, 2, 16, 4, 2]",down
23,96,"[4, 0, 0, 4, 0, 0, 0, 2, 0, 16, 4, 2, 2, 16, 4, 2]",right
24,140,"[4, 32, 8, 4, 2, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 0]",up
25,144,"[4, 32, 8, 4, 0, 0, 2, 4, 0, 2, 0, 4, 0, 0, 0, 0]",right
1,0,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
2,4,"[0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",right
3,4,"[2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",left
4,4,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 2]",down
5,4,"[0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4, 2]",right
6,4,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 4, 2, 0]",left
7,8,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 4, 2]",right
8,8,"[2, 2, 4, 2, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 2, 0]",up
9,12,"[4, 4, 2, 2, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left
10,24,"[0, 0, 4, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 4, 2, 2]",down
11,36,"[0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8, 4]",right
1,0,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",left
2,0,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2]",right
3,4,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0]",left
4,4,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 4]",down
5,12,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 8]",right
6,12,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 2, 8, 0, 0]",left
7,16,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 4, 0, 0, 2, 8]",right
