Move,mean,max,min
173,1924.7236180904522,2120,1666
174,1931.929648241206,2122,1670
175,1940.1608040201006,2222,1706
176,1947.5879396984924,2228,1722
177,1953.8090452261306,2236,1722
178,1962.140703517588,2236,1746
179,1970.7638190954774,2238,1750
180,1981.4472361809046,2326,1782
181,1991.8994974874372,2326,1786
182,2005.3366834170854,2330,1786
183,2020.0904522613066,2330,1786
184,2033.608040201005,2404,1814
185,2050.211055276382,2404,1814
186,2071.7989949748744,2404,1818
187,2087.788944723618,2404,1822
188,2103.407035175879,2404,1838
189,2122.0,2420,1838
190,2142.452261306533,2428,1848
191,2167.145728643216,2448,1888
192,2183.21608040201,2452,1914
193,2202.502512562814,2472,1918
194,2217.427135678392,2472,1918
195,2230.140703517588,2486,1934
196,2240.8643216080404,2516,1936
197,2252.040201005025,2532,1942
198,2263.105527638191,2536,1944
199,2273.7989949748744,2536,1986
200,2283.045226130653,2536,1986
201,2293.0552763819096,2536,1986
202,2303.105527638191,2540,2004
203,2313.778894472362,2540,2042
204,2321.3467336683416,2556,2042
205,2330.4924623115576,2592,2050
206,2338.170854271357,2592,2058
207,2346.4924623115576,2616,2060
208,2355.075376884422,2622,2096
209,2363.477386934673,2622,2104
210,2371.577889447236,2630,2128
211,2379.929648241206,2634,2128
212,2390.854271356784,2702,2128
213,2401.688442211055,2702,2128
214,2412.391959798995,2704,2148
215,2422.241206030151,2710,2164
216,2432.824120603015,2710,2168
217,2442.321608040201,2714,2184
218,2453.9195979899496,2734,2224
219,2464.3718592964824,2734,2248
220,2475.246231155779,2742,2248
221,2486.542713567839,2762,2248
222,2497.527638190955,2766,2288
223,2505.527638190955,2774,2290
224,2513.688442211055,2774,2314
225,2522.0100502512564,2778,2322
226,2531.577889447236,2786,2322
227,2538.6231155778896,2796,2330
228,2546.422110552764,2828,2330
229,2555.2763819095476,2840,2330
230,2563.477386934673,2840,2330
231,2572.753768844221,2848,2334
232,2581.0552763819096,2848,2334
233,2587.9899497487436,2852,2342
234,2595.2763819095476,2860,2378
235,2602.6532663316584,2860,2380
236,2611.9396984924624,2906,2384
237,2624.2311557788944,3170,2388
238,2633.396984924623,3170,2388
239,2645.859296482412,3174,2400
240,2656.7236180904524,3406,2400
241,2674.291457286432,3548,2400
242,2694.190954773869,3704,2400
243,2711.185929648241,3720,2402
244,2738.8040201005024,3722,2406
245,2769.4371859296484,3850,2426
246,2802.5125628140704,3850,2444
247,2838.1306532663316,3850,2458
248,2865.527638190955,3854,2462
249,2906.4120603015076,3854,2462
250,2963.407035175879,3854,2470
251,3006.7939698492464,3854,2472
252,3062.808080808081,3866,2488
253,3107.848484848485,3886,2492
254,3159.686868686869,3926,2504
255,3208.3636363636365,3930,2528
256,3255.2626262626263,3942,2548
257,3293.6969696969695,3958,2580
258,3331.868686868687,3962,2580
259,3369.818181818182,3962,2622
260,3416.5353535353534,3964,2630
261,3462.808080808081,3972,2676
262,3484.6969696969695,3972,2680
263,3510.7979797979797,3976,2692
264,3542.939393939394,3976,2692
265,3566.939393939394,3980,2694
266,3590.959595959596,4016,2698
267,3611.686868686869,4018,2706
268,3633.89898989899,4018,2712
269,3655.030303030303,4030,2732
270,3669.757575757576,4030,2736
271,3685.343434343434,4054,2736
272,3701.6969696969695,4056,2736
273,3717.717171717172,4120,2752
274,3729.848484848485,4120,2756
275,3743.969696969697,4124,2756
276,3754.717171717172,4132,2760
277,3766.0,4140,2768
278,3778.222222222222,4156,2792
279,3788.030303030303,4164,2810
