Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]",down,2
2,0,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,2
3,0,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 2]",down,2
4,0,"[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",up,4
5,8,"[0, 0, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4]",right,4
6,16,"[8, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",left,8
7,16,"[2, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0]",down,8
8,16,"[2, 2, 0, 0, 8, 0, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0]",up,8
9,16,"[2, 0, 0, 0, 8, 0, 2, 0, 2, 0, 0, 0, 4, 2, 2, 0]",down,8
10,20,"[2, 2, 4, 0, 8, 0, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0]",up,8
11,20,"[2, 0, 2, 0, 8, 0, 0, 0, 2, 0, 4, 0, 4, 2, 2, 0]",down,8
12,20,"[2, 2, 2, 0, 8, 2, 4, 0, 2, 0, 2, 0, 4, 0, 0, 0]",up,8
13,24,"[2, 4, 2, 0, 8, 4, 4, 0, 2, 0, 2, 0, 4, 0, 0, 0]",up,8
14,36,"[2, 2, 4, 2, 0, 0, 8, 8, 0, 0, 0, 4, 0, 0, 0, 4]",right,8
15,40,"[0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 4, 8, 2, 2, 8, 8]",down,8
16,60,"[0, 0, 0, 0, 0, 0, 4, 2, 2, 0, 4, 8, 0, 0, 4, 16]",right,16
17,68,"[2, 0, 8, 2, 0, 0, 4, 8, 0, 0, 0, 16, 0, 0, 0, 2]",up,16
18,68,"[0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 8, 16, 2, 2, 4, 2]",down,16
19,72,"[2, 0, 0, 2, 8, 0, 0, 0, 8, 16, 0, 0, 4, 4, 2, 0]",left,16
20,88,"[2, 16, 2, 2, 16, 4, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0]",up,16
21,90,"[0, 0, 0, 0, 2, 0, 0, 0, 16, 16, 0, 2, 4, 4, 4, 2]",down,16
22,92,"[0, 0, 0, 0, 2, 0, 0, 0, 16, 16, 0, 2, 4, 4, 4, 4]",down,16
23,140,"[0, 0, 0, 0, 2, 0, 2, 0, 32, 2, 0, 0, 8, 8, 0, 0]",left,32
24,140,"[2, 2, 2, 0, 32, 8, 0, 0, 8, 0, 0, 0, 0, 2, 0, 0]",up,32
25,144,"[0, 0, 2, 4, 0, 0, 32, 8, 0, 0, 2, 8, 0, 0, 0, 2]",right,32
26,152,"[0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 32, 16, 0, 2, 2, 2]",down,32
27,152,"[0, 2, 2, 4, 0, 0, 32, 16, 0, 0, 2, 2, 0, 0, 0, 2]",up,32
28,156,"[0, 2, 2, 4, 0, 4, 32, 16, 0, 0, 2, 4, 0, 0, 0, 0]",up,32
29,160,"[4, 4, 0, 0, 4, 32, 16, 0, 2, 4, 2, 0, 0, 0, 0, 0]",left,32
30,168,"[8, 4, 16, 0, 2, 32, 2, 2, 0, 4, 0, 0, 0, 0, 0, 0]",up,32
