Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",right,2
2,0,"[0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,2
3,4,"[0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,4
4,4,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 2]",down,4
5,4,"[2, 4, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
6,8,"[0, 2, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",right,4
7,16,"[0, 0, 2, 8, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2]",right,8
8,16,"[0, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 2]",right,8
9,20,"[2, 8, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 2]",left,8
10,22,"[0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0, 4, 8, 0, 2]",down,8
11,26,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 8, 8, 2, 2]",down,8
12,26,"[2, 2, 2, 2, 8, 8, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
13,30,"[2, 2, 2, 4, 8, 8, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,8
14,50,"[4, 2, 4, 0, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2]",left,16
15,50,"[0, 4, 2, 4, 0, 0, 0, 16, 2, 0, 0, 2, 0, 0, 0, 2]",right,16
16,52,"[0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 16, 2, 4, 2, 4]",down,16
17,56,"[2, 4, 4, 4, 0, 0, 0, 16, 0, 0, 0, 4, 2, 0, 0, 0]",up,16
18,64,"[2, 8, 4, 0, 16, 0, 0, 0, 4, 0, 0, 0, 2, 0, 2, 0]",left,16
19,64,"[2, 8, 4, 0, 16, 0, 2, 0, 4, 0, 2, 0, 2, 0, 0, 0]",up,16
