Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,2
2,0,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",up,2
3,4,"[4, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left,4
4,4,"[4, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left,4
5,4,"[0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 2, 2, 0, 2]",down,4
6,6,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 2, 4, 0, 2]",down,4
7,6,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 2, 4, 2]",right,4
8,10,"[0, 2, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 4, 4, 2, 0]",left,4
9,18,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 8, 2]",right,8
10,22,"[0, 2, 8, 4, 0, 0, 0, 4, 0, 0, 0, 2, 4, 0, 0, 0]",up,8
11,22,"[0, 2, 8, 4, 0, 0, 0, 4, 0, 0, 4, 2, 0, 0, 0, 4]",right,8
12,22,"[2, 8, 4, 0, 4, 2, 0, 0, 4, 2, 0, 0, 4, 0, 0, 0]",left,8
13,22,"[0, 2, 8, 4, 2, 0, 4, 2, 0, 0, 4, 2, 0, 0, 0, 4]",right,8
14,28,"[0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 8, 4, 2, 2, 8, 4]",down,8
15,52,"[2, 2, 2, 8, 0, 0, 16, 4, 0, 0, 0, 0, 2, 0, 0, 0]",up,16
16,56,"[0, 2, 4, 8, 2, 0, 16, 4, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
17,56,"[2, 2, 4, 8, 0, 0, 16, 4, 4, 0, 0, 2, 0, 0, 0, 0]",up,16
18,60,"[4, 4, 8, 0, 16, 4, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0]",left,16
19,64,"[0, 0, 0, 0, 4, 0, 0, 2, 16, 8, 0, 0, 4, 2, 8, 2]",down,16
20,68,"[4, 8, 8, 4, 16, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2]",up,16
21,68,"[4, 8, 8, 4, 16, 2, 0, 2, 4, 0, 0, 0, 0, 2, 0, 0]",up,16
22,70,"[0, 0, 0, 0, 4, 0, 0, 0, 16, 8, 4, 4, 4, 4, 8, 2]",down,16
23,70,"[4, 8, 4, 4, 16, 4, 8, 2, 4, 2, 0, 0, 0, 0, 0, 0]",up,16
24,78,"[0, 4, 8, 8, 16, 4, 8, 2, 0, 0, 4, 2, 0, 0, 2, 0]",right,16
25,94,"[0, 0, 4, 16, 16, 4, 8, 2, 0, 0, 4, 2, 0, 0, 2, 2]",right,16
26,98,"[4, 16, 2, 0, 16, 4, 8, 2, 4, 2, 0, 0, 4, 0, 0, 0]",left,16
27,106,"[4, 16, 2, 2, 16, 4, 8, 0, 8, 2, 0, 0, 0, 0, 0, 2]",up,16
28,110,"[4, 16, 2, 4, 16, 4, 8, 2, 8, 2, 0, 0, 0, 0, 0, 0]",up,16
29,110,"[4, 16, 2, 4, 16, 4, 8, 2, 2, 0, 8, 2, 0, 0, 0, 0]",right,16
30,110,"[4, 16, 2, 4, 16, 4, 8, 2, 2, 8, 2, 2, 0, 0, 0, 0]",left,16
31,112,"[0, 0, 2, 0, 4, 16, 2, 0, 16, 4, 8, 4, 2, 8, 2, 4]",down,16
32,112,"[2, 0, 0, 0, 4, 16, 2, 2, 16, 4, 8, 4, 2, 8, 2, 4]",left,16
33,120,"[2, 16, 2, 2, 4, 4, 8, 8, 16, 8, 2, 0, 2, 0, 2, 0]",up,16
34,124,"[2, 16, 2, 2, 4, 4, 8, 8, 16, 8, 4, 0, 2, 0, 0, 2]",up,16
35,124,"[2, 0, 0, 2, 4, 16, 2, 2, 16, 4, 8, 8, 2, 8, 4, 2]",down,16
36,148,"[4, 0, 0, 0, 4, 16, 4, 2, 16, 4, 16, 0, 2, 8, 4, 2]",left,16
37,160,"[8, 16, 4, 4, 16, 4, 16, 0, 2, 8, 4, 0, 0, 0, 2, 0]",up,16
38,168,"[0, 8, 16, 8, 0, 16, 4, 16, 2, 2, 8, 4, 0, 0, 0, 2]",right,16
39,168,"[0, 0, 0, 8, 0, 8, 16, 16, 2, 16, 4, 4, 2, 2, 8, 2]",down,16
40,212,"[0, 0, 0, 8, 0, 0, 8, 32, 0, 2, 16, 8, 2, 4, 8, 2]",right,32
