Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0]",right,4
2,0,"[0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",up,4
3,4,"[0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0]",up,4
4,4,"[4, 0, 0, 0, 4, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",left,4
5,8,"[2, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0]",right,4
6,8,"[0, 0, 2, 4, 0, 0, 0, 4, 2, 0, 0, 4, 0, 0, 0, 0]",right,4
7,12,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 2, 8]",down,8
8,16,"[0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 4, 8, 2, 0]",left,8
9,16,"[0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 4, 8, 2]",right,8
10,16,"[4, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 4, 8, 2, 2]",left,8
11,20,"[0, 0, 0, 0, 4, 0, 0, 0, 2, 2, 0, 0, 8, 8, 2, 2]",down,8
12,44,"[0, 0, 0, 0, 4, 2, 0, 0, 4, 0, 0, 0, 16, 4, 0, 0]",left,16
13,48,"[0, 0, 0, 0, 2, 0, 0, 0, 8, 2, 0, 0, 16, 4, 0, 0]",down,16
14,48,"[2, 2, 0, 0, 8, 4, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0]",up,16
15,52,"[4, 0, 0, 0, 8, 4, 2, 0, 16, 0, 0, 0, 0, 0, 0, 2]",left,16
16,52,"[0, 2, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 16, 4, 2, 2]",down,16
17,56,"[0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0, 8, 0, 16, 4, 4]",right,16
18,64,"[0, 2, 0, 2, 0, 0, 0, 4, 0, 0, 2, 8, 0, 0, 16, 8]",right,16
19,68,"[4, 0, 0, 0, 4, 2, 0, 0, 2, 8, 0, 0, 16, 8, 0, 0]",left,16
20,68,"[0, 2, 0, 4, 0, 0, 4, 2, 0, 0, 2, 8, 0, 0, 16, 8]",right,16
21,76,"[0, 0, 0, 4, 0, 0, 4, 4, 0, 0, 2, 2, 0, 2, 16, 16]",down,16
22,80,"[0, 0, 0, 0, 0, 0, 4, 8, 2, 0, 2, 2, 0, 2, 16, 16]",down,16
23,80,"[0, 0, 0, 0, 4, 0, 4, 8, 0, 0, 2, 2, 2, 2, 16, 16]",down,16
24,80,"[4, 2, 4, 8, 2, 2, 2, 2, 0, 0, 16, 16, 0, 0, 0, 0]",up,16
25,120,"[4, 2, 4, 8, 4, 4, 0, 0, 32, 4, 0, 0, 0, 0, 0, 0]",left,32
26,128,"[4, 2, 4, 8, 8, 0, 0, 0, 32, 4, 0, 2, 0, 0, 0, 0]",left,32
27,128,"[4, 2, 4, 8, 8, 0, 0, 0, 32, 4, 2, 0, 0, 2, 0, 0]",left,32
28,128,"[4, 2, 4, 8, 0, 0, 0, 8, 0, 32, 4, 2, 0, 2, 0, 2]",right,32
29,142,"[0, 0, 0, 2, 0, 2, 0, 0, 0, 32, 0, 16, 4, 2, 8, 4]",down,32
30,142,"[0, 0, 0, 0, 0, 2, 0, 2, 2, 32, 0, 16, 4, 2, 8, 4]",down,32
31,142,"[2, 2, 8, 2, 4, 32, 0, 16, 0, 2, 0, 4, 0, 0, 2, 0]",up,32
32,146,"[0, 4, 8, 2, 0, 4, 32, 16, 2, 0, 2, 4, 0, 0, 0, 2]",right,32
33,154,"[2, 8, 8, 2, 2, 0, 32, 16, 0, 0, 2, 4, 0, 0, 0, 2]",up,32
34,158,"[4, 8, 8, 2, 0, 0, 32, 16, 2, 0, 2, 4, 0, 0, 0, 2]",up,32
35,178,"[0, 4, 16, 2, 0, 0, 32, 16, 2, 0, 4, 4, 0, 0, 0, 2]",right,32
36,178,"[0, 0, 0, 2, 0, 0, 16, 16, 2, 0, 32, 4, 2, 4, 4, 2]",down,32
37,180,"[0, 0, 0, 2, 4, 0, 16, 16, 0, 0, 32, 4, 4, 4, 4, 2]",down,32
38,220,"[2, 0, 0, 0, 4, 32, 4, 0, 32, 4, 0, 0, 8, 4, 2, 0]",left,32
39,228,"[2, 32, 4, 2, 4, 8, 2, 0, 32, 0, 0, 0, 8, 0, 0, 0]",up,32
40,228,"[2, 0, 0, 0, 4, 0, 0, 2, 32, 32, 4, 0, 8, 8, 2, 2]",down,32
41,232,"[2, 32, 4, 4, 4, 8, 2, 0, 32, 0, 0, 2, 8, 0, 0, 0]",up,32
42,232,"[2, 0, 0, 0, 4, 0, 0, 2, 32, 32, 4, 4, 8, 8, 2, 2]",down,32
43,324,"[0, 0, 0, 2, 0, 2, 4, 2, 0, 0, 64, 8, 0, 0, 16, 4]",right,64
44,328,"[0, 2, 4, 4, 0, 0, 64, 8, 0, 0, 16, 4, 0, 0, 2, 0]",up,64
45,328,"[0, 0, 4, 0, 2, 0, 64, 4, 0, 0, 16, 8, 0, 2, 2, 4]",down,64
