Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",down,2
2,0,"[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,2
3,0,"[2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left,2
4,0,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 2]",right,2
5,8,"[0, 2, 0, 4, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
6,8,"[0, 0, 2, 4, 0, 0, 2, 4, 0, 0, 0, 0, 0, 2, 0, 0]",right,4
7,8,"[2, 4, 0, 0, 2, 4, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0]",left,4
8,16,"[0, 0, 2, 4, 0, 0, 2, 8, 0, 0, 0, 0, 2, 0, 0, 2]",right,8
9,20,"[2, 4, 0, 0, 2, 8, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0]",left,8
10,24,"[4, 4, 2, 0, 4, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up,8
11,28,"[2, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 0, 2, 8, 2, 0]",down,8
12,28,"[2, 4, 2, 0, 8, 8, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
13,32,"[2, 4, 4, 0, 8, 8, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]",up,8
14,56,"[2, 8, 0, 0, 16, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0]",left,16
15,60,"[0, 0, 2, 8, 0, 0, 0, 16, 0, 0, 0, 4, 4, 0, 0, 2]",right,16
16,60,"[0, 0, 2, 8, 0, 0, 0, 16, 0, 0, 0, 4, 2, 0, 4, 2]",right,16
17,60,"[2, 8, 0, 2, 16, 0, 0, 0, 4, 0, 0, 0, 2, 4, 2, 0]",left,16
18,60,"[2, 8, 2, 2, 16, 4, 0, 0, 4, 0, 0, 0, 2, 0, 2, 0]",up,16
19,68,"[2, 8, 4, 0, 16, 4, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0]",left,16
20,72,"[0, 0, 0, 0, 2, 0, 0, 2, 16, 8, 0, 0, 8, 4, 4, 2]",down,16
21,76,"[2, 8, 4, 4, 16, 4, 0, 0, 8, 0, 0, 0, 0, 0, 2, 0]",up,16
