Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",left,2
2,0,"[0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",right,2
3,2,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4]",down,4
4,2,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4]",right,4
5,2,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 4, 0, 0]",left,4
6,6,"[4, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",up,4
7,14,"[0, 0, 8, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 4]",right,8
8,14,"[0, 2, 8, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4]",right,8
9,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 4, 0, 2, 2, 4]",down,8
10,28,"[0, 4, 8, 8, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
11,28,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 2, 4, 2, 8]",down,8
12,28,"[2, 2, 8, 8, 0, 4, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
13,30,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 8, 0, 4, 4, 2, 8]",down,8
14,30,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 8, 2, 4, 4, 2, 8]",down,8
15,32,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 8, 4, 4, 4, 2, 8]",down,8
16,40,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 8, 4, 0, 8, 2, 8]",right,8
17,44,"[0, 2, 8, 4, 0, 8, 2, 4, 0, 0, 0, 8, 4, 0, 0, 0]",up,8
18,52,"[4, 2, 8, 8, 0, 8, 2, 8, 0, 0, 0, 0, 0, 0, 2, 0]",up,8
19,62,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 8, 0, 4, 8, 4, 16]",down,16
20,62,"[0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 8, 4, 8, 4, 16]",right,16
21,62,"[0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 2, 8, 4, 8, 4, 16]",right,16
22,66,"[4, 2, 2, 4, 0, 8, 4, 8, 2, 0, 0, 16, 0, 0, 0, 0]",up,16
23,70,"[4, 4, 4, 2, 8, 4, 8, 0, 2, 16, 0, 0, 0, 0, 0, 0]",left,16
24,74,"[0, 0, 0, 0, 4, 2, 0, 0, 8, 8, 4, 0, 2, 16, 8, 2]",down,16
25,90,"[2, 0, 0, 0, 4, 2, 0, 0, 16, 4, 0, 0, 2, 16, 8, 2]",left,16
