Move,mean,max,min
257,3159.134020618557,3922,2654
258,3210.7083333333335,3974,2670
259,3260.1473684210528,3990,2686
260,3288.863157894737,3992,2690
261,3318.378947368421,3996,2736
262,3357.8105263157895,4028,2744
263,3389.8526315789472,4028,2746
264,3410.757894736842,4032,2762
265,3448.6736842105265,4104,2762
266,3466.0421052631577,4108,2794
267,3492.2526315789473,4124,2844
268,3537.5789473684213,4124,2844
269,3566.468085106383,4128,2856
270,3596.255319148936,4132,2862
271,3626.3617021276596,4144,2862
272,3651.3829787234044,4144,2862
273,3674.936170212766,4178,2864
274,3696.2978723404253,4182,2864
275,3712.9148936170213,4186,2864
276,3724.7872340425533,4202,2880
277,3741.31914893617,4202,2932
278,3773.6774193548385,4210,2936
279,3795.7419354838707,4210,2948
280,3808.494623655914,4214,2948
281,3830.494623655914,4226,2950
282,3843.032258064516,4226,2950
283,3865.7849462365593,4228,2950
284,3890.3870967741937,4232,2954
285,3912.559139784946,4232,2962
286,3923.8494623655915,4252,2982
287,3937.5913978494623,4260,3022
288,3950.064516129032,4280,3022
289,3959.935483870968,4296,3046
290,3970.3440860215055,4306,3046
291,3986.2580645161293,4310,3046
292,3995.2473118279568,4314,3110
293,4005.032258064516,4320,3174
294,4016.6236559139784,4328,3230
295,4043.8260869565215,4348,3230
296,4062.8695652173915,4354,3238
297,4079.391304347826,4356,3238
298,4086.5434782608695,4356,3242
299,4100.586956521739,4492,3246
300,4113.652173913043,4496,3254
301,4127.195652173913,4496,3258
302,4148.527472527472,4506,3472
303,4159.824175824176,4514,3480
304,4173.120879120879,4514,3496
305,4185.208791208791,4568,3500
306,4201.428571428572,4602,3500
307,4212.505494505494,4602,3502
308,4223.2967032967035,4602,3502
309,4237.714285714285,4602,3506
310,4249.56043956044,4636,3506
311,4266.417582417583,4648,3510
312,4282.6373626373625,4664,3514
313,4295.340659340659,4664,3518
314,4313.802197802198,4668,3526
315,4329.846153846154,4672,3530
316,4353.311111111111,4680,3898
317,4363.866666666667,4680,3942
318,4377.888888888889,4684,3942
319,4391.022222222222,4688,3954
320,4402.666666666667,4696,3954
321,4410.444444444444,4704,3974
322,4420.488888888889,4720,3974
323,4430.955555555555,4720,3974
324,4441.133333333333,4728,3976
325,4452.044444444445,4768,3984
326,4462.733333333334,4768,3988
327,4473.422222222222,4772,3992
328,4488.6,4830,4000
329,4500.066666666667,4830,4032
330,4511.022222222222,4830,4034
331,4523.511111111111,4834,4066
332,4533.466666666666,4838,4100
333,4543.444444444444,4866,4100
334,4554.688888888889,4870,4100
335,4566.044444444445,4870,4104
336,4576.266666666666,4872,4108
337,4584.222222222223,4900,4112
338,4595.044444444445,4904,4120
339,4605.822222222222,4912,4136
340,4617.155555555555,4916,4136
341,4629.4,4916,4172
342,4639.844444444445,4924,4184
343,4648.688888888889,4924,4184
344,4658.688888888889,4926,4188
345,4666.177777777778,4932,4196
346,4674.022222222222,4936,4216
347,4682.133333333333,4954,4216
348,4691.111111111111,4962,4216
349,4698.8,4962,4220
350,4710.777777777777,4984,4232
351,4721.955555555555,5240,4240
352,4733.577777777778,5244,4256
353,4745.0,5252,4260
354,4754.733333333334,5260,4260
355,4763.511111111111,5276,4260
356,4774.777777777777,5276,4272
357,4784.533333333334,5276,4272
358,4801.066666666667,5412,4272
359,4812.888888888889,5416,4276
360,4829.577777777778,5424,4284
361,4846.266666666666,5432,4284
362,4860.066666666667,5452,4292
363,4876.511111111111,5484,4300
364,4894.777777777777,5488,4316
365,4910.355555555556,5488,4320
366,4936.9111111111115,5492,4360
367,4965.355555555556,5548,4364
368,4984.666666666667,5550,4428
369,5002.7555555555555,5550,4508
370,5018.222222222223,5550,4528
371,5042.466666666666,5550,4528
372,5057.822222222222,5552,4528
373,5084.288888888889,5560,4536
374,5110.177777777778,5560,4544
375,5120.6,5578,4548
376,5137.977777777778,5578,4572
377,5154.866666666667,5594,4572
378,5175.355555555556,5604,4572
379,5200.311111111111,5604,4572
380,5219.155555555555,5612,4572
381,5240.533333333334,5666,4576
382,5255.577777777778,5686,4580
383,5270.577777777778,5694,4584
384,5292.4,5698,4592
385,5309.022222222222,5730,4600
386,5328.422222222222,5734,4632
387,5342.822222222222,5738,4704
388,5361.8,5738,4716
389,5373.155555555555,5818,4716
390,5391.133333333333,5828,4720
391,5404.977777777778,5828,4720
392,5416.2,5832,4720
393,5425.977777777778,5840,4720
394,5446.777777777777,5844,4722
395,5459.222222222223,5852,4726
396,5470.177777777778,5868,4738
397,5485.8,5868,4762
398,5501.4,5872,4762
399,5517.422222222222,5876,4764
400,5530.111111111111,5886,4772
401,5540.355555555556,5890,4774
402,5549.888888888889,5890,4782
403,5566.577777777778,5892,4782
404,5576.0,5912,4784
405,5585.644444444444,5920,4800
406,5597.955555555555,5924,4802
407,5606.555555555556,5952,4814
408,5613.888888888889,5952,4822
409,5627.955555555555,5952,4838
410,5639.444444444444,5954,4842
411,5647.844444444445,5986,4846
412,5655.844444444445,6020,4846
413,5666.111111111111,6036,4854
414,5678.888888888889,6100,4870
415,5687.044444444445,6104,4874
416,5701.533333333334,6108,4882
417,5714.898876404494,6124,4914
418,5732.08988764045,6132,4982
419,5743.483146067416,6132,4982
420,5755.730337078651,6136,4986
421,5770.0224719101125,6192,5122
422,5782.0224719101125,6192,5138
423,5798.727272727273,6192,5270
424,5814.136363636364,6192,5278
425,5829.477272727273,6196,5326
426,5842.090909090909,6196,5326
427,5853.113636363636,6198,5330
428,5868.704545454545,6292,5366
429,5883.25,6292,5366
430,5893.340909090909,6308,5378
431,5906.252873563219,6312,5378
432,5916.919540229885,6318,5378
433,5930.183908045977,6320,5382
434,5946.2558139534885,6324,5382
435,5956.0,6324,5386
436,5970.988235294118,6328,5386
437,5981.952941176471,6352,5394
438,5996.941176470588,6368,5410
439,6004.894117647059,6370,5426
440,6015.764705882353,6374,5430
441,6027.64705882353,6392,5510
442,6037.976470588235,6404,5518
443,6049.623529411765,6416,5530
444,6061.882352941177,6448,5530
445,6068.070588235294,6448,5530
446,6077.8117647058825,6456,5538
447,6091.317647058823,6456,5538
448,6100.729411764706,6464,5542
449,6112.235294117647,6528,5550
450,6122.84705882353,6532,5566
451,6129.835294117647,6532,5566
452,6141.694117647059,6532,5614
453,6152.941176470588,6536,5614
454,6166.0,6540,5654
455,6178.380952380952,6540,5674
456,6189.357142857143,6544,5674
457,6198.857142857143,6544,5674
458,6207.952380952381,6572,5676
459,6218.0,6572,5688
460,6229.119047619048,6574,5688
461,6240.309523809524,6586,5696
462,6249.8536585365855,6586,5712
463,6260.246913580247,6590,5748
464,6271.086419753086,6614,5792
465,6278.775,6666,5816
466,6286.725,6666,5822
467,6296.860759493671,6666,5822
468,6305.974683544304,6670,5822
469,6315.316455696203,6678,5826
470,6325.822784810127,6678,5838
471,6335.873417721519,6678,5854
472,6345.025641025641,6680,5854
473,6353.506493506494,6680,5858
474,6372.311688311688,7006,5862
475,6385.631578947368,7026,5866
476,6400.684210526316,7026,5878
477,6417.9473684210525,7034,5894
478,6442.131578947368,7488,5898
479,6488.48,8512,5898
480,6520.675675675676,8514,5898
481,6556.657534246576,8546,5902
482,6587.916666666667,8558,5910
483,6603.492957746479,8562,5910
484,6632.169014084507,8570,5930
485,6655.408450704225,8578,5932
486,6684.942857142857,8578,5940
487,6714.6,8578,5944
488,6760.828571428571,8578,5952
489,6791.171428571429,8582,5952
490,6851.478260869565,8586,5960
491,6928.882352941177,8594,5964
492,6990.235294117647,8594,5972
493,7045.880597014925,8598,5972
