Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",left,2
2,0,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",down,4
3,4,"[0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]",right,4
4,12,"[0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up,8
5,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 8]",down,8
6,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 4, 8]",right,8
7,20,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 4, 8]",right,8
8,20,"[0, 0, 0, 0, 2, 2, 0, 0, 4, 0, 0, 0, 4, 8, 0, 0]",left,8
9,28,"[2, 2, 2, 0, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
10,48,"[0, 0, 2, 4, 0, 0, 0, 16, 0, 0, 2, 0, 0, 0, 0, 0]",right,16
11,52,"[0, 0, 4, 4, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
12,60,"[0, 0, 0, 8, 0, 0, 2, 16, 0, 0, 2, 0, 0, 0, 0, 0]",right,16
13,64,"[0, 0, 4, 8, 0, 0, 0, 16, 0, 2, 0, 0, 0, 0, 0, 0]",up,16
14,64,"[0, 2, 4, 8, 0, 0, 0, 16, 0, 0, 0, 2, 0, 0, 0, 0]",right,16
15,64,"[0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 16, 4, 2, 4, 2]",down,16
16,64,"[0, 0, 0, 0, 8, 0, 2, 0, 16, 0, 0, 0, 4, 2, 4, 2]",left,16
17,64,"[0, 0, 0, 0, 8, 2, 0, 0, 16, 2, 0, 0, 4, 2, 4, 2]",left,16
18,68,"[8, 4, 4, 2, 16, 2, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0]",up,16
19,84,"[0, 8, 8, 2, 0, 2, 16, 2, 0, 0, 0, 8, 0, 0, 0, 0]",right,16
20,100,"[0, 2, 16, 2, 0, 2, 16, 2, 0, 0, 0, 8, 0, 0, 0, 0]",right,16
21,140,"[0, 4, 32, 4, 0, 0, 0, 8, 0, 2, 0, 0, 0, 0, 0, 0]",up,32
22,140,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 2, 32, 8]",down,32
23,148,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 2, 2, 32, 8]",right,32
24,164,"[2, 2, 32, 2, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 0, 0]",up,32
25,168,"[2, 4, 32, 2, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0]",up,32
26,168,"[2, 4, 32, 2, 2, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",left,32
27,172,"[4, 4, 32, 2, 0, 16, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0]",up,32
28,184,"[0, 8, 32, 2, 0, 0, 0, 16, 0, 0, 0, 4, 0, 0, 2, 0]",right,32
29,184,"[0, 8, 32, 2, 0, 0, 2, 16, 0, 0, 0, 4, 0, 0, 2, 0]",up,32
30,188,"[0, 8, 32, 2, 0, 0, 4, 16, 0, 0, 2, 4, 0, 0, 0, 0]",up,32
31,188,"[8, 32, 2, 0, 4, 16, 0, 0, 2, 4, 2, 0, 0, 0, 0, 0]",left,32
32,192,"[8, 32, 4, 0, 4, 16, 4, 0, 2, 4, 0, 0, 0, 0, 0, 0]",up,32
33,200,"[8, 32, 8, 0, 4, 16, 0, 0, 2, 4, 0, 0, 0, 2, 0, 0]",up,32
34,200,"[0, 8, 32, 8, 0, 0, 4, 16, 0, 2, 2, 4, 0, 0, 0, 2]",right,32
35,204,"[0, 8, 32, 8, 0, 0, 4, 16, 0, 2, 4, 4, 0, 0, 0, 2]",right,32
36,212,"[2, 8, 32, 8, 0, 2, 8, 16, 0, 0, 0, 4, 0, 0, 0, 2]",up,32
37,212,"[2, 8, 32, 8, 2, 8, 16, 0, 4, 0, 0, 0, 2, 0, 2, 0]",left,32
38,222,"[0, 0, 0, 0, 4, 2, 32, 0, 4, 0, 16, 0, 2, 16, 2, 8]",down,32
39,230,"[8, 2, 32, 8, 2, 16, 16, 0, 0, 0, 2, 0, 2, 0, 0, 0]",up,32
40,262,"[8, 2, 32, 8, 0, 0, 2, 32, 0, 0, 2, 2, 0, 0, 0, 2]",right,32
41,270,"[8, 2, 32, 8, 0, 0, 4, 32, 0, 0, 0, 4, 0, 2, 0, 0]",up,32
42,274,"[8, 4, 32, 8, 0, 2, 4, 32, 0, 0, 0, 4, 0, 0, 0, 0]",up,32
43,274,"[8, 4, 32, 8, 2, 4, 32, 0, 4, 2, 0, 0, 0, 0, 0, 0]",left,32
44,346,"[8, 8, 64, 8, 2, 2, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0]",up,64
45,366,"[0, 16, 64, 8, 0, 0, 0, 4, 2, 0, 0, 4, 0, 0, 0, 2]",right,64
46,374,"[2, 16, 64, 8, 0, 0, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0]",up,64
47,394,"[4, 16, 64, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2]",up,64
48,398,"[4, 16, 64, 16, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0]",up,64
49,398,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 16, 4, 2, 64, 4]",down,64
50,398,"[0, 0, 4, 0, 0, 0, 0, 0, 16, 4, 16, 0, 4, 2, 64, 4]",left,64
51,398,"[0, 0, 0, 4, 0, 0, 2, 0, 0, 16, 4, 16, 4, 2, 64, 4]",right,64
52,398,"[0, 0, 2, 4, 0, 0, 0, 2, 0, 16, 4, 16, 4, 2, 64, 4]",right,64
53,398,"[2, 4, 0, 0, 2, 2, 0, 0, 16, 4, 16, 0, 4, 2, 64, 4]",left,64
54,402,"[4, 4, 16, 4, 16, 2, 64, 0, 4, 4, 0, 2, 0, 2, 0, 0]",up,64
55,418,"[0, 8, 16, 4, 0, 16, 2, 64, 0, 2, 8, 2, 0, 0, 0, 2]",right,64
56,422,"[0, 8, 16, 4, 0, 16, 2, 64, 0, 2, 8, 4, 0, 0, 2, 0]",up,64
57,422,"[0, 8, 16, 4, 0, 16, 2, 64, 0, 2, 8, 4, 0, 2, 0, 2]",right,64
58,426,"[0, 8, 16, 4, 0, 16, 2, 64, 0, 4, 8, 4, 0, 0, 2, 2]",up,64
59,430,"[0, 8, 16, 4, 2, 16, 2, 64, 0, 4, 8, 4, 0, 0, 0, 4]",right,64
60,438,"[2, 8, 16, 4, 0, 16, 2, 64, 0, 4, 8, 8, 0, 0, 2, 0]",up,64
61,454,"[2, 8, 16, 4, 0, 16, 2, 64, 0, 0, 4, 16, 2, 0, 0, 2]",right,64
62,458,"[4, 8, 16, 4, 0, 16, 2, 64, 0, 0, 4, 16, 2, 0, 0, 2]",up,64
63,462,"[4, 8, 16, 4, 0, 16, 2, 64, 0, 0, 4, 16, 2, 0, 0, 4]",right,64
64,462,"[4, 8, 16, 4, 16, 2, 64, 0, 4, 16, 0, 2, 2, 4, 0, 0]",left,64
65,462,"[4, 8, 0, 4, 16, 2, 0, 0, 4, 16, 16, 4, 2, 4, 64, 2]",down,64
66,494,"[0, 4, 8, 4, 0, 0, 16, 2, 2, 4, 32, 4, 2, 4, 64, 2]",right,64
67,506,"[4, 8, 8, 4, 0, 4, 16, 2, 0, 0, 32, 4, 0, 2, 64, 2]",up,64
68,522,"[0, 4, 16, 4, 0, 4, 16, 2, 2, 0, 32, 4, 0, 2, 64, 2]",right,64
69,542,"[0, 0, 0, 4, 2, 0, 32, 2, 0, 8, 32, 4, 2, 2, 64, 2]",down,64
70,576,"[0, 0, 0, 4, 2, 0, 0, 2, 0, 8, 64, 4, 4, 2, 64, 2]",down,64
71,704,"[2, 8, 128, 4, 4, 2, 0, 2, 0, 2, 0, 4, 0, 0, 0, 2]",up,128
72,708,"[2, 8, 128, 4, 4, 4, 0, 2, 0, 0, 2, 4, 0, 0, 0, 2]",up,128
73,716,"[2, 8, 128, 4, 0, 0, 8, 2, 0, 0, 2, 4, 2, 0, 0, 2]",right,128
74,720,"[4, 8, 128, 4, 0, 0, 8, 2, 0, 0, 2, 4, 0, 0, 2, 2]",up,128
75,724,"[4, 8, 128, 4, 0, 0, 8, 2, 0, 0, 4, 4, 0, 0, 2, 2]",up,128
76,736,"[4, 8, 128, 4, 2, 0, 8, 2, 0, 0, 0, 8, 0, 0, 0, 4]",right,128
77,736,"[4, 8, 128, 4, 2, 8, 2, 0, 8, 0, 0, 0, 4, 2, 0, 0]",left,128
78,752,"[4, 16, 128, 4, 2, 2, 2, 0, 8, 0, 0, 0, 4, 0, 2, 0]",up,128
79,756,"[4, 16, 128, 4, 2, 2, 4, 2, 8, 0, 0, 0, 4, 0, 0, 0]",up,128
80,760,"[4, 16, 128, 4, 0, 4, 4, 2, 2, 0, 0, 8, 0, 0, 0, 4]",right,128
81,768,"[4, 16, 128, 4, 0, 0, 8, 2, 2, 0, 2, 8, 0, 0, 0, 4]",right,128
82,772,"[4, 16, 128, 4, 0, 2, 8, 2, 0, 0, 4, 8, 0, 0, 0, 4]",right,128
83,772,"[0, 0, 0, 4, 0, 2, 128, 2, 0, 16, 8, 8, 4, 2, 4, 4]",down,128
84,796,"[0, 0, 0, 4, 0, 2, 128, 2, 2, 0, 16, 16, 0, 4, 2, 8]",right,128
85,828,"[0, 0, 0, 4, 2, 2, 128, 2, 0, 0, 2, 32, 0, 4, 2, 8]",right,128
86,832,"[2, 2, 128, 4, 0, 4, 4, 2, 0, 0, 0, 32, 0, 2, 0, 8]",up,128
87,844,"[0, 4, 128, 4, 0, 0, 8, 2, 0, 0, 2, 32, 0, 0, 2, 8]",right,128
88,848,"[0, 4, 128, 4, 2, 0, 8, 2, 0, 0, 4, 32, 0, 0, 0, 8]",up,128
89,848,"[0, 4, 128, 4, 0, 2, 8, 2, 0, 0, 4, 32, 0, 2, 0, 8]",right,128
90,852,"[0, 4, 128, 4, 0, 4, 8, 2, 0, 0, 4, 32, 2, 0, 0, 8]",up,128
91,860,"[2, 8, 128, 4, 4, 0, 8, 2, 0, 0, 4, 32, 0, 0, 0, 8]",up,128
92,860,"[0, 0, 0, 4, 0, 0, 128, 2, 2, 2, 8, 32, 4, 8, 4, 8]",down,128
93,864,"[0, 0, 0, 4, 0, 0, 128, 2, 4, 4, 8, 32, 4, 8, 4, 8]",right,128
94,872,"[8, 4, 128, 4, 0, 8, 8, 2, 0, 0, 4, 32, 0, 2, 0, 8]",up,128
95,888,"[8, 4, 128, 4, 0, 0, 16, 2, 0, 0, 4, 32, 0, 2, 2, 8]",right,128
96,892,"[8, 4, 128, 4, 0, 0, 16, 2, 4, 0, 4, 32, 0, 0, 4, 8]",right,128
97,900,"[8, 4, 128, 4, 4, 0, 16, 2, 2, 0, 8, 32, 0, 0, 0, 8]",up,128
98,900,"[8, 4, 128, 4, 0, 4, 16, 2, 0, 2, 8, 32, 0, 0, 2, 8]",right,128
99,908,"[8, 8, 128, 4, 2, 2, 16, 2, 0, 0, 8, 32, 0, 0, 2, 8]",up,128
100,928,"[0, 16, 128, 4, 2, 4, 16, 2, 0, 0, 8, 32, 0, 0, 2, 8]",right,128
101,928,"[16, 128, 4, 0, 2, 4, 16, 2, 8, 32, 0, 2, 2, 8, 0, 0]",left,128
102,932,"[16, 128, 4, 4, 2, 4, 16, 4, 8, 32, 0, 0, 2, 8, 0, 0]",up,128
