Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",right,4
2,0,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4]",down,4
3,4,"[0, 0, 4, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
4,12,"[0, 0, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right,8
5,16,"[0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0]",right,8
6,16,"[0, 0, 0, 0, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 2]",down,8
7,16,"[0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 2, 4, 0, 0, 0, 2]",right,8
8,20,"[0, 0, 4, 8, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 0]",up,8
9,24,"[0, 0, 4, 8, 0, 0, 0, 4, 0, 4, 0, 4, 0, 0, 0, 0]",right,8
10,32,"[0, 4, 4, 8, 0, 0, 0, 8, 0, 2, 0, 0, 0, 0, 0, 0]",up,8
11,48,"[0, 4, 4, 16, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up,16
12,56,"[0, 0, 8, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 2]",right,16
13,60,"[0, 0, 8, 16, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 2]",up,16
14,68,"[0, 0, 8, 16, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
15,68,"[0, 0, 8, 16, 0, 0, 2, 8, 0, 4, 0, 0, 0, 0, 0, 2]",right,16
16,68,"[0, 4, 8, 16, 0, 0, 2, 8, 0, 0, 0, 2, 0, 2, 0, 0]",up,16
17,68,"[0, 4, 8, 16, 0, 2, 2, 8, 0, 2, 0, 2, 0, 0, 0, 0]",up,16
18,76,"[0, 4, 8, 16, 0, 0, 4, 8, 0, 0, 4, 4, 0, 0, 0, 0]",right,16
19,84,"[0, 4, 8, 16, 0, 0, 8, 8, 0, 0, 2, 4, 0, 0, 0, 0]",up,16
20,100,"[0, 4, 16, 16, 0, 2, 2, 8, 0, 0, 0, 4, 0, 0, 0, 0]",up,16
21,136,"[0, 0, 4, 32, 0, 0, 4, 8, 0, 0, 0, 4, 2, 0, 0, 0]",right,32
22,144,"[2, 0, 8, 32, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 2, 0]",up,32
23,144,"[0, 0, 0, 0, 0, 0, 0, 32, 2, 0, 8, 8, 2, 0, 2, 4]",down,32
24,164,"[0, 0, 0, 0, 0, 0, 2, 32, 0, 0, 2, 16, 0, 0, 4, 4]",right,32
25,166,"[0, 0, 0, 0, 2, 0, 0, 32, 0, 0, 4, 16, 0, 0, 4, 4]",down,32
26,174,"[2, 0, 8, 32, 0, 0, 0, 16, 0, 0, 0, 4, 0, 0, 0, 2]",up,32
27,174,"[0, 0, 2, 32, 0, 0, 0, 16, 0, 0, 0, 4, 2, 0, 8, 2]",down,32
28,174,"[2, 0, 2, 32, 0, 0, 8, 16, 2, 0, 0, 4, 0, 0, 0, 2]",up,32
29,178,"[4, 0, 2, 32, 0, 2, 8, 16, 0, 0, 0, 4, 0, 0, 0, 2]",up,32
30,178,"[2, 4, 2, 32, 0, 2, 8, 16, 0, 0, 0, 4, 0, 0, 0, 2]",right,32
31,178,"[0, 2, 0, 32, 0, 0, 0, 16, 0, 4, 2, 4, 2, 2, 8, 2]",down,32
32,182,"[0, 2, 2, 32, 0, 0, 0, 16, 0, 4, 2, 4, 0, 4, 8, 2]",right,32
33,194,"[0, 2, 4, 32, 0, 8, 8, 16, 0, 0, 0, 4, 0, 2, 0, 2]",up,32
34,214,"[0, 2, 4, 32, 0, 0, 16, 16, 0, 0, 2, 4, 0, 0, 0, 4]",right,32
35,246,"[0, 2, 4, 32, 0, 0, 0, 32, 4, 0, 2, 4, 0, 0, 0, 4]",right,32
36,318,"[4, 2, 4, 64, 0, 0, 2, 8, 0, 0, 2, 0, 0, 0, 0, 0]",up,64
37,322,"[4, 2, 4, 64, 2, 0, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,64
38,330,"[4, 2, 8, 64, 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 0]",up,64
39,330,"[4, 2, 8, 64, 2, 2, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,64
40,334,"[4, 4, 8, 64, 2, 0, 2, 8, 0, 0, 0, 0, 2, 0, 0, 0]",up,64
41,346,"[0, 8, 8, 64, 0, 0, 4, 8, 0, 0, 0, 0, 0, 2, 0, 2]",right,64
42,366,"[0, 0, 16, 64, 2, 0, 4, 8, 0, 0, 0, 0, 0, 0, 0, 4]",right,64
43,366,"[2, 0, 16, 64, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 2, 0]",up,64
44,366,"[0, 2, 16, 64, 0, 0, 4, 8, 0, 0, 0, 4, 0, 2, 0, 2]",right,64
45,370,"[0, 4, 16, 64, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 2, 2]",up,64
46,374,"[0, 4, 16, 64, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 4, 4]",right,64
47,390,"[0, 4, 16, 64, 2, 0, 8, 8, 0, 0, 0, 8, 0, 0, 0, 0]",up,64
48,406,"[2, 4, 16, 64, 0, 0, 8, 16, 0, 0, 0, 0, 0, 0, 0, 2]",up,64
49,406,"[2, 4, 16, 64, 8, 16, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0]",left,64
50,406,"[2, 4, 16, 64, 8, 16, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left,64
51,410,"[2, 4, 16, 64, 8, 16, 2, 0, 4, 0, 0, 0, 2, 0, 0, 0]",up,64
52,410,"[2, 0, 2, 0, 8, 0, 0, 0, 4, 4, 16, 0, 2, 16, 2, 64]",down,64
53,422,"[2, 0, 0, 4, 0, 0, 0, 8, 0, 0, 8, 16, 2, 16, 2, 64]",right,64
54,426,"[4, 16, 8, 4, 0, 2, 2, 8, 0, 0, 0, 16, 0, 0, 0, 64]",up,64
55,430,"[4, 16, 8, 4, 0, 0, 4, 8, 2, 0, 0, 16, 0, 0, 0, 64]",right,64
56,430,"[2, 0, 0, 4, 0, 0, 0, 8, 4, 0, 8, 16, 2, 16, 4, 64]",down,64
57,430,"[2, 16, 8, 4, 4, 0, 4, 8, 2, 0, 0, 16, 0, 0, 2, 64]",up,64
58,438,"[2, 16, 8, 4, 0, 0, 8, 8, 2, 0, 2, 16, 0, 0, 2, 64]",right,64
59,462,"[4, 16, 16, 4, 0, 2, 4, 8, 0, 0, 0, 16, 0, 0, 0, 64]",up,64
60,494,"[0, 4, 32, 4, 2, 2, 4, 8, 0, 0, 0, 16, 0, 0, 0, 64]",right,64
61,498,"[0, 4, 32, 4, 2, 4, 4, 8, 0, 0, 0, 16, 0, 0, 0, 64]",right,64
62,506,"[2, 8, 32, 4, 0, 0, 4, 8, 0, 0, 0, 16, 2, 0, 0, 64]",up,64
63,510,"[4, 8, 32, 4, 0, 0, 4, 8, 0, 2, 0, 16, 0, 0, 0, 64]",up,64
64,510,"[4, 8, 32, 4, 4, 8, 0, 0, 2, 16, 0, 2, 64, 0, 0, 0]",left,64
65,522,"[0, 0, 2, 0, 8, 0, 0, 0, 2, 16, 0, 4, 64, 16, 32, 2]",down,64
66,554,"[8, 32, 2, 4, 2, 2, 32, 2, 64, 0, 0, 0, 0, 0, 0, 0]",up,64
67,558,"[8, 32, 2, 4, 0, 4, 32, 2, 0, 0, 2, 64, 0, 0, 0, 0]",right,64
68,558,"[2, 0, 0, 0, 0, 0, 2, 4, 0, 32, 32, 2, 8, 4, 2, 64]",down,64
69,622,"[0, 0, 0, 2, 0, 0, 2, 4, 0, 2, 64, 2, 8, 4, 2, 64]",right,64
70,622,"[2, 0, 0, 0, 2, 4, 0, 2, 2, 64, 2, 0, 8, 4, 2, 64]",left,64
71,630,"[4, 4, 4, 2, 2, 64, 0, 64, 8, 4, 0, 0, 2, 0, 0, 0]",up,64
