Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",down,2
2,0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",down,2
3,4,"[2, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
4,4,"[2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",left,4
5,8,"[4, 4, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,4
6,16,"[0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 0]",right,8
7,20,"[4, 0, 0, 8, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
8,20,"[0, 0, 4, 8, 0, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0]",right,8
9,20,"[0, 0, 4, 8, 2, 0, 2, 4, 0, 0, 0, 2, 0, 0, 0, 0]",right,8
10,24,"[0, 0, 4, 8, 0, 2, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0]",right,8
11,32,"[0, 2, 8, 8, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 2, 0]",up,8
12,48,"[0, 0, 2, 16, 0, 0, 0, 4, 0, 2, 0, 2, 0, 0, 0, 2]",right,16
13,52,"[0, 2, 2, 16, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0, 0]",up,16
14,64,"[0, 2, 4, 16, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0]",up,16
15,64,"[2, 4, 16, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left,16
16,64,"[0, 2, 4, 16, 0, 0, 8, 2, 0, 0, 4, 2, 0, 0, 0, 0]",right,16
17,68,"[0, 2, 4, 16, 0, 0, 8, 4, 0, 2, 4, 0, 0, 0, 0, 0]",up,16
18,72,"[2, 4, 4, 16, 0, 0, 8, 4, 0, 0, 4, 0, 0, 0, 0, 0]",up,16
19,80,"[0, 2, 8, 16, 2, 0, 8, 4, 0, 0, 0, 4, 0, 0, 0, 0]",right,16
20,104,"[2, 2, 16, 16, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 0]",up,16
21,140,"[0, 0, 4, 32, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2]",right,32
22,144,"[0, 0, 4, 32, 0, 0, 0, 8, 2, 0, 0, 4, 0, 0, 0, 0]",up,32
23,144,"[2, 0, 4, 32, 0, 2, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0]",up,32
24,144,"[2, 4, 32, 0, 2, 8, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0]",left,32
25,146,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 32, 0, 4, 8, 2, 2]",down,32
26,158,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32, 2, 4, 8, 4]",right,32
27,174,"[2, 4, 16, 32, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0]",up,32
28,174,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 32, 2, 2, 16, 4]",down,32
29,182,"[2, 8, 16, 32, 0, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0]",up,32
30,182,"[2, 8, 16, 32, 2, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",left,32
31,186,"[4, 8, 16, 32, 2, 4, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,32
32,190,"[4, 8, 16, 32, 2, 4, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0]",up,32
33,198,"[4, 8, 16, 32, 2, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0, 0]",right,32
34,202,"[4, 8, 16, 32, 0, 0, 4, 8, 0, 0, 0, 2, 0, 0, 0, 2]",right,32
35,206,"[4, 8, 16, 32, 0, 0, 4, 8, 0, 0, 2, 4, 0, 0, 0, 0]",up,32
36,206,"[4, 8, 16, 32, 4, 8, 0, 2, 2, 4, 0, 0, 0, 0, 0, 0]",left,32
37,230,"[8, 16, 16, 32, 2, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",up,32
38,262,"[0, 8, 32, 32, 0, 2, 4, 2, 0, 0, 0, 2, 0, 2, 0, 0]",right,32
39,326,"[0, 0, 8, 64, 2, 2, 4, 2, 0, 0, 0, 2, 0, 0, 0, 2]",right,64
40,330,"[2, 2, 8, 64, 0, 0, 4, 4, 0, 0, 0, 2, 2, 0, 0, 0]",up,64
41,342,"[0, 4, 8, 64, 2, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2]",right,64
42,346,"[2, 4, 8, 64, 0, 0, 0, 8, 2, 0, 0, 4, 0, 0, 0, 0]",up,64
43,350,"[4, 4, 8, 64, 0, 0, 0, 8, 0, 0, 0, 4, 0, 2, 0, 0]",up,64
44,358,"[0, 8, 8, 64, 0, 0, 0, 8, 2, 0, 0, 4, 0, 0, 0, 2]",right,64
45,374,"[0, 0, 16, 64, 0, 0, 0, 8, 0, 0, 2, 4, 2, 0, 0, 2]",right,64
46,378,"[0, 0, 16, 64, 0, 0, 2, 8, 0, 0, 2, 4, 0, 0, 0, 4]",right,64
47,390,"[0, 0, 16, 64, 0, 0, 4, 8, 0, 0, 0, 8, 0, 2, 0, 0]",up,64
48,406,"[0, 2, 16, 64, 4, 0, 4, 16, 0, 0, 0, 0, 0, 0, 0, 0]",up,64
49,414,"[0, 2, 16, 64, 0, 0, 8, 16, 0, 2, 0, 0, 0, 0, 0, 0]",right,64
50,418,"[0, 4, 16, 64, 0, 0, 8, 16, 2, 0, 0, 0, 0, 0, 0, 0]",up,64
51,418,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 16, 64, 2, 4, 8, 16]",down,64
52,418,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 16, 64, 2, 4, 8, 16]",down,64
53,418,"[2, 0, 0, 0, 0, 0, 0, 2, 2, 16, 64, 0, 2, 4, 8, 16]",left,64
54,422,"[4, 16, 64, 2, 2, 4, 8, 16, 0, 0, 0, 0, 0, 0, 0, 2]",up,64
55,422,"[4, 16, 64, 2, 2, 4, 8, 16, 2, 0, 0, 0, 2, 0, 0, 0]",left,64
56,426,"[4, 16, 64, 2, 4, 4, 8, 16, 2, 2, 0, 0, 0, 0, 0, 0]",up,64
57,438,"[4, 16, 64, 2, 0, 8, 8, 16, 0, 2, 0, 4, 0, 0, 0, 0]",right,64
58,454,"[4, 16, 64, 2, 0, 0, 16, 16, 0, 0, 2, 4, 2, 0, 0, 0]",right,64
59,486,"[4, 16, 64, 2, 0, 0, 0, 32, 0, 2, 2, 4, 0, 0, 0, 2]",right,64
60,490,"[4, 16, 64, 2, 0, 0, 2, 32, 0, 0, 4, 4, 0, 0, 0, 2]",right,64
61,498,"[4, 16, 64, 2, 2, 0, 2, 32, 0, 0, 0, 8, 0, 0, 0, 2]",right,64
62,502,"[4, 16, 64, 2, 0, 0, 4, 32, 0, 0, 2, 8, 0, 0, 0, 2]",right,64
63,502,"[4, 16, 64, 2, 4, 32, 0, 2, 2, 8, 0, 0, 2, 0, 0, 0]",left,64
64,518,"[8, 16, 64, 4, 4, 32, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0]",up,64
65,518,"[8, 16, 64, 4, 0, 4, 32, 2, 0, 2, 0, 8, 0, 0, 0, 0]",right,64
66,518,"[0, 0, 0, 0, 0, 16, 0, 4, 4, 4, 64, 2, 8, 2, 32, 8]",down,64
67,526,"[4, 0, 0, 0, 0, 0, 16, 4, 0, 8, 64, 2, 8, 2, 32, 8]",right,64
68,526,"[4, 8, 16, 4, 8, 2, 64, 2, 0, 0, 32, 8, 2, 0, 0, 0]",up,64
69,526,"[4, 8, 16, 4, 8, 2, 64, 2, 2, 2, 32, 8, 0, 0, 0, 0]",up,64
70,530,"[4, 8, 16, 4, 8, 4, 64, 2, 2, 0, 32, 8, 0, 0, 0, 2]",up,64
71,530,"[4, 8, 16, 4, 8, 4, 64, 2, 2, 2, 32, 8, 0, 0, 0, 2]",right,64
72,534,"[4, 8, 16, 4, 8, 4, 64, 2, 0, 4, 32, 8, 2, 0, 0, 2]",right,64
73,542,"[4, 8, 16, 4, 8, 8, 64, 2, 2, 0, 32, 8, 2, 0, 0, 2]",up,64
74,562,"[4, 16, 16, 4, 8, 2, 64, 2, 4, 0, 32, 8, 0, 0, 0, 2]",up,64
75,594,"[0, 4, 32, 4, 8, 2, 64, 2, 0, 4, 32, 8, 0, 0, 2, 2]",right,64
76,598,"[0, 4, 32, 4, 8, 2, 64, 2, 0, 4, 32, 8, 0, 2, 0, 4]",right,64
77,598,"[4, 32, 4, 0, 8, 2, 64, 2, 4, 32, 8, 0, 2, 4, 0, 2]",left,64
78,602,"[4, 32, 4, 4, 8, 2, 64, 0, 4, 32, 8, 0, 2, 4, 0, 2]",up,64
79,610,"[0, 4, 32, 8, 0, 8, 2, 64, 0, 4, 32, 8, 2, 2, 4, 2]",right,64
80,614,"[0, 4, 32, 8, 0, 8, 2, 64, 0, 4, 32, 8, 2, 4, 4, 2]",right,64
81,622,"[2, 4, 32, 8, 0, 8, 2, 64, 0, 8, 32, 8, 0, 2, 4, 2]",up,64
82,638,"[2, 4, 32, 8, 0, 16, 2, 64, 2, 2, 32, 8, 0, 0, 4, 2]",up,64
83,642,"[4, 4, 32, 8, 0, 16, 2, 64, 0, 2, 32, 8, 0, 2, 4, 2]",up,64
84,650,"[2, 8, 32, 8, 0, 16, 2, 64, 0, 2, 32, 8, 0, 2, 4, 2]",right,64
85,654,"[2, 8, 32, 8, 0, 16, 2, 64, 0, 4, 32, 8, 2, 0, 4, 2]",up,64
86,658,"[4, 8, 32, 8, 0, 16, 2, 64, 0, 4, 32, 8, 0, 2, 4, 2]",up,64
87,658,"[0, 8, 32, 8, 0, 16, 2, 64, 2, 4, 32, 8, 4, 2, 4, 2]",down,64
88,658,"[8, 32, 8, 2, 16, 2, 64, 0, 2, 4, 32, 8, 4, 2, 4, 2]",left,64
89,658,"[8, 32, 8, 2, 2, 16, 2, 64, 2, 4, 32, 8, 4, 2, 4, 2]",right,64
90,660,"[2, 32, 8, 2, 8, 16, 2, 64, 4, 4, 32, 8, 4, 2, 4, 2]",down,64
91,668,"[2, 32, 8, 2, 8, 16, 2, 64, 8, 4, 32, 8, 2, 2, 4, 2]",up,64
92,684,"[2, 32, 8, 2, 16, 16, 2, 64, 2, 4, 32, 8, 2, 2, 4, 2]",up,64
93,720,"[2, 32, 8, 2, 2, 32, 2, 64, 2, 4, 32, 8, 0, 4, 4, 2]",right,64
94,796,"[4, 64, 8, 2, 2, 8, 2, 64, 0, 2, 32, 8, 0, 0, 4, 2]",up,64
95,796,"[0, 2, 8, 2, 0, 64, 2, 64, 4, 8, 32, 8, 2, 2, 4, 2]",down,64
96,800,"[2, 2, 8, 2, 0, 64, 2, 64, 4, 8, 32, 8, 0, 4, 4, 2]",right,64
97,812,"[0, 4, 8, 2, 0, 64, 2, 64, 4, 8, 32, 8, 0, 2, 8, 2]",right,64
98,812,"[4, 8, 2, 2, 64, 2, 64, 0, 4, 8, 32, 8, 2, 8, 2, 0]",left,64
99,828,"[4, 8, 2, 2, 64, 2, 64, 8, 4, 16, 32, 2, 2, 0, 2, 0]",up,64
100,836,"[0, 4, 8, 4, 64, 2, 64, 8, 4, 16, 32, 2, 4, 0, 0, 4]",right,64
101,844,"[64, 4, 8, 4, 8, 2, 64, 8, 0, 16, 32, 2, 0, 2, 0, 4]",up,64
102,844,"[64, 4, 8, 4, 8, 2, 64, 8, 2, 16, 32, 2, 0, 0, 2, 4]",right,64
103,844,"[64, 4, 8, 4, 8, 2, 64, 8, 2, 16, 32, 2, 2, 4, 0, 2]",left,64
104,852,"[64, 4, 8, 4, 8, 2, 64, 8, 4, 16, 32, 4, 0, 4, 2, 0]",up,64
105,852,"[0, 4, 8, 4, 64, 2, 64, 4, 8, 16, 32, 8, 4, 4, 2, 4]",down,64
106,856,"[0, 4, 8, 2, 64, 2, 64, 8, 8, 16, 32, 8, 4, 4, 2, 4]",down,64
107,872,"[64, 4, 8, 2, 8, 2, 64, 16, 4, 16, 32, 4, 0, 4, 2, 2]",up,64
108,876,"[64, 4, 8, 2, 8, 2, 64, 16, 4, 16, 32, 4, 0, 2, 4, 4]",right,64
109,884,"[64, 4, 8, 2, 8, 2, 64, 16, 4, 16, 32, 8, 2, 2, 4, 0]",up,64
110,888,"[64, 4, 8, 2, 8, 2, 64, 16, 4, 16, 32, 8, 0, 4, 4, 4]",right,64
111,896,"[64, 4, 8, 2, 8, 2, 64, 16, 4, 16, 32, 8, 2, 0, 4, 8]",right,64
112,912,"[64, 4, 8, 2, 8, 2, 64, 16, 4, 16, 32, 16, 2, 2, 4, 0]",up,64
113,944,"[64, 4, 8, 2, 8, 2, 64, 32, 4, 16, 32, 2, 2, 2, 4, 0]",up,64
114,948,"[64, 4, 8, 2, 8, 2, 64, 32, 4, 16, 32, 2, 0, 2, 4, 4]",right,64
115,956,"[64, 4, 8, 2, 8, 2, 64, 32, 4, 16, 32, 2, 2, 0, 2, 8]",right,64
116,960,"[64, 4, 8, 2, 8, 2, 64, 32, 4, 16, 32, 2, 0, 2, 4, 8]",right,64
117,960,"[64, 4, 8, 2, 8, 2, 64, 32, 4, 16, 32, 2, 2, 4, 8, 2]",left,64
118,964,"[64, 4, 8, 2, 8, 2, 64, 32, 4, 16, 32, 4, 2, 4, 8, 2]",up,64
