Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,2
2,0,"[2, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
3,0,"[2, 4, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,4
4,0,"[2, 4, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,4
5,8,"[4, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
6,16,"[8, 4, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,8
7,16,"[0, 8, 4, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right,8
8,20,"[8, 4, 2, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",left,8
9,20,"[8, 4, 2, 2, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left,8
10,24,"[8, 4, 4, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]",left,8
11,32,"[8, 8, 0, 0, 4, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0]",left,8
12,52,"[16, 0, 0, 0, 4, 0, 2, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left,16
13,60,"[16, 0, 2, 0, 8, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",up,16
14,64,"[16, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2]",left,16
15,64,"[16, 2, 0, 2, 8, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0]",up,16
16,68,"[16, 4, 0, 0, 8, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2]",left,16
17,76,"[16, 8, 0, 2, 8, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]",up,16
18,76,"[16, 8, 2, 2, 8, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0]",up,16
19,80,"[16, 8, 2, 4, 8, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0]",up,16
20,80,"[16, 8, 2, 4, 0, 2, 8, 2, 0, 0, 0, 4, 0, 0, 0, 0]",right,16
21,80,"[16, 8, 2, 4, 2, 8, 2, 0, 4, 0, 0, 0, 0, 4, 0, 0]",left,16
22,100,"[16, 16, 4, 4, 2, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0]",up,16
23,140,"[32, 8, 0, 0, 2, 4, 0, 0, 4, 2, 0, 0, 0, 2, 0, 0]",left,32
24,144,"[32, 8, 0, 0, 2, 4, 0, 0, 4, 4, 0, 0, 0, 2, 0, 0]",up,32
25,152,"[32, 8, 0, 0, 2, 8, 0, 0, 4, 2, 2, 0, 0, 0, 0, 0]",up,32
26,168,"[32, 16, 2, 0, 2, 2, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0]",up,32
27,172,"[32, 16, 4, 0, 2, 2, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0]",up,32
28,176,"[32, 16, 4, 0, 4, 2, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0]",left,32
29,188,"[32, 16, 4, 0, 8, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,32
30,188,"[0, 32, 16, 4, 0, 0, 8, 4, 0, 2, 0, 2, 0, 0, 0, 0]",right,32
31,192,"[32, 16, 4, 0, 8, 4, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0]",left,32
32,192,"[32, 16, 4, 0, 8, 4, 0, 0, 4, 2, 0, 0, 0, 0, 0, 2]",left,32
33,192,"[32, 16, 4, 2, 8, 4, 0, 0, 4, 2, 4, 0, 0, 0, 0, 0]",up,32
34,200,"[32, 16, 8, 2, 8, 4, 0, 0, 4, 2, 2, 0, 0, 0, 0, 0]",up,32
35,204,"[32, 16, 8, 2, 0, 0, 8, 4, 0, 0, 4, 4, 0, 0, 0, 2]",right,32
36,228,"[32, 16, 16, 2, 0, 0, 4, 8, 0, 0, 0, 2, 2, 0, 0, 0]",up,32
37,260,"[32, 32, 2, 0, 4, 8, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0]",left,32
38,328,"[64, 2, 0, 0, 4, 8, 0, 0, 4, 0, 0, 0, 2, 2, 0, 0]",left,64
39,336,"[64, 2, 0, 0, 8, 8, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0]",up,64
40,356,"[64, 2, 0, 0, 16, 0, 0, 0, 4, 0, 0, 0, 2, 0, 2, 0]",left,64
41,360,"[64, 2, 2, 0, 16, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0]",left,64
42,364,"[64, 4, 0, 0, 16, 0, 0, 0, 4, 0, 2, 0, 4, 0, 0, 0]",left,64
43,372,"[64, 4, 2, 0, 16, 0, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0]",up,64
44,372,"[64, 4, 2, 0, 16, 2, 0, 0, 8, 0, 0, 0, 0, 2, 0, 0]",up,64
45,376,"[64, 4, 2, 0, 16, 4, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0]",up,64
46,384,"[64, 8, 2, 0, 16, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0]",up,64
47,384,"[64, 0, 0, 0, 16, 0, 0, 0, 8, 8, 0, 2, 4, 2, 2, 0]",down,64
48,404,"[64, 0, 0, 2, 16, 0, 0, 0, 16, 2, 0, 0, 4, 4, 0, 0]",left,64
49,412,"[64, 2, 0, 0, 16, 0, 0, 0, 16, 2, 0, 0, 8, 0, 2, 0]",left,64
50,448,"[64, 4, 2, 0, 32, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 0]",up,64
51,452,"[64, 4, 4, 0, 32, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2]",up,64
52,460,"[64, 8, 0, 0, 32, 0, 0, 0, 8, 0, 0, 0, 2, 4, 0, 0]",left,64
53,460,"[64, 8, 0, 0, 32, 4, 0, 0, 8, 2, 0, 0, 2, 0, 0, 0]",up,64
54,460,"[64, 0, 0, 0, 32, 8, 0, 0, 8, 4, 0, 2, 2, 2, 0, 0]",down,64
55,464,"[64, 0, 0, 0, 32, 8, 0, 0, 8, 4, 2, 0, 4, 0, 2, 0]",left,64
56,468,"[64, 8, 4, 0, 32, 4, 0, 0, 8, 0, 0, 0, 4, 2, 0, 0]",up,64
57,468,"[64, 8, 4, 0, 32, 4, 0, 0, 8, 2, 2, 0, 4, 0, 0, 0]",up,64
58,472,"[64, 8, 4, 0, 32, 4, 0, 0, 8, 4, 0, 0, 4, 2, 0, 0]",left,64
59,480,"[64, 8, 4, 0, 32, 8, 0, 0, 8, 2, 0, 0, 4, 2, 0, 0]",up,64
60,500,"[64, 16, 4, 0, 32, 4, 2, 0, 8, 0, 0, 0, 4, 0, 0, 0]",up,64
61,500,"[64, 2, 0, 0, 32, 0, 0, 0, 8, 16, 4, 0, 4, 4, 2, 0]",down,64
62,508,"[64, 2, 0, 0, 32, 0, 0, 0, 8, 16, 4, 0, 8, 2, 0, 2]",left,64
63,524,"[64, 2, 4, 2, 32, 16, 0, 0, 16, 2, 2, 0, 0, 0, 0, 0]",up,64
64,528,"[64, 2, 4, 2, 32, 16, 2, 0, 16, 4, 0, 0, 0, 0, 0, 0]",left,64
65,528,"[64, 2, 4, 2, 0, 32, 16, 2, 0, 0, 16, 4, 0, 0, 2, 0]",right,64
66,564,"[64, 2, 4, 4, 0, 32, 32, 4, 0, 0, 2, 2, 0, 0, 0, 0]",up,64
67,640,"[64, 2, 8, 0, 64, 4, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0]",left,64
