Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up,2
2,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",left,2
3,2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0]",down,4
4,2,"[2, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",up,4
5,6,"[4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0]",left,4
6,14,"[8, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,8
7,18,"[8, 2, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
8,18,"[0, 4, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 2, 0, 4]",down,8
9,18,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 8, 0, 4, 2, 4]",right,8
10,22,"[0, 4, 4, 4, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0]",up,8
11,30,"[8, 4, 0, 0, 2, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2]",left,8
12,30,"[0, 0, 8, 4, 0, 0, 2, 8, 0, 2, 0, 4, 0, 0, 0, 2]",right,8
13,30,"[0, 0, 8, 4, 0, 0, 2, 8, 0, 0, 2, 4, 0, 0, 2, 2]",right,8
14,34,"[0, 0, 8, 4, 2, 0, 2, 8, 0, 0, 2, 4, 0, 0, 0, 4]",right,8
15,40,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 8, 8, 2, 0, 4, 8]",down,8
16,56,"[2, 0, 8, 2, 0, 0, 4, 4, 0, 0, 0, 16, 2, 0, 0, 0]",up,16
17,64,"[2, 8, 2, 0, 8, 0, 0, 0, 16, 0, 0, 0, 2, 0, 2, 0]",left,16
18,66,"[2, 0, 0, 0, 8, 0, 2, 0, 16, 0, 0, 0, 2, 8, 4, 0]",down,16
19,66,"[2, 0, 0, 0, 8, 2, 0, 0, 16, 0, 0, 0, 2, 8, 4, 2]",left,16
20,66,"[2, 0, 0, 0, 8, 0, 0, 2, 16, 2, 0, 0, 2, 8, 4, 2]",down,16
21,70,"[2, 2, 4, 4, 8, 8, 0, 0, 16, 0, 0, 0, 2, 2, 0, 0]",up,16
22,102,"[0, 0, 4, 8, 0, 0, 0, 16, 2, 0, 0, 16, 0, 0, 0, 4]",right,16
23,118,"[0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 32, 2, 0, 4, 4]",down,32
24,126,"[0, 0, 0, 0, 8, 0, 0, 2, 2, 32, 0, 0, 2, 8, 0, 0]",left,32
25,128,"[0, 0, 2, 0, 0, 0, 0, 0, 8, 32, 0, 0, 4, 8, 0, 2]",down,32
26,128,"[0, 0, 0, 0, 0, 2, 0, 0, 8, 32, 0, 0, 4, 8, 2, 2]",down,32
27,132,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 8, 32, 0, 4, 8, 4]",right,32
28,140,"[0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 32, 2, 4, 16, 4]",down,32
29,144,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 32, 2, 8, 16, 4]",down,32
30,148,"[0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 32, 2, 8, 16, 4]",right,32
31,152,"[4, 8, 16, 4, 0, 2, 0, 32, 0, 0, 0, 4, 0, 0, 0, 0]",up,32
32,152,"[4, 8, 16, 4, 0, 0, 2, 32, 0, 0, 0, 4, 0, 0, 0, 2]",right,32
33,152,"[0, 0, 2, 4, 0, 0, 0, 32, 0, 0, 16, 4, 4, 8, 2, 2]",down,32
34,156,"[0, 0, 2, 4, 0, 0, 0, 32, 0, 0, 16, 4, 2, 4, 8, 4]",right,32
35,160,"[2, 0, 0, 0, 0, 0, 2, 4, 0, 0, 16, 32, 2, 4, 8, 8]",down,32
36,176,"[0, 0, 0, 2, 0, 2, 2, 4, 0, 0, 16, 32, 0, 2, 4, 16]",right,32
37,180,"[2, 0, 0, 0, 4, 4, 0, 2, 16, 32, 0, 0, 2, 4, 16, 0]",left,32
38,188,"[2, 0, 0, 2, 0, 0, 8, 2, 0, 0, 16, 32, 0, 2, 4, 16]",right,32
39,192,"[2, 2, 8, 4, 0, 2, 16, 32, 0, 0, 4, 16, 0, 0, 0, 0]",up,32
40,196,"[2, 4, 8, 4, 0, 0, 16, 32, 0, 0, 4, 16, 0, 2, 0, 0]",up,32
41,196,"[2, 4, 8, 4, 16, 32, 2, 0, 4, 16, 0, 0, 2, 0, 0, 0]",left,32
42,196,"[2, 4, 8, 4, 0, 16, 32, 2, 0, 0, 4, 16, 2, 0, 0, 2]",right,32
43,200,"[4, 4, 8, 4, 0, 16, 32, 2, 0, 0, 4, 16, 0, 2, 0, 2]",up,32
44,212,"[0, 8, 8, 4, 2, 16, 32, 2, 0, 0, 4, 16, 0, 0, 0, 4]",right,32
45,228,"[16, 4, 0, 0, 2, 16, 32, 2, 4, 16, 0, 0, 4, 0, 0, 2]",left,32
46,250,"[0, 2, 0, 0, 16, 0, 0, 0, 2, 4, 0, 0, 8, 32, 32, 4]",down,32
47,314,"[0, 2, 0, 2, 0, 0, 0, 16, 0, 0, 2, 4, 0, 8, 64, 4]",right,64
48,318,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 2, 16, 0, 8, 64, 8]",down,64
49,322,"[0, 2, 4, 2, 0, 8, 64, 16, 0, 0, 0, 8, 2, 0, 0, 0]",up,64
50,322,"[2, 2, 4, 2, 0, 8, 64, 16, 0, 0, 0, 8, 0, 0, 0, 2]",right,64
51,326,"[4, 4, 2, 0, 8, 64, 16, 0, 8, 0, 0, 0, 2, 0, 0, 2]",left,64
52,342,"[4, 4, 2, 2, 16, 64, 16, 0, 2, 2, 0, 0, 0, 0, 0, 0]",up,64
53,358,"[0, 0, 8, 4, 2, 16, 64, 16, 0, 0, 0, 4, 0, 0, 0, 0]",right,64
54,358,"[0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 8, 16, 2, 16, 64, 4]",down,64
55,358,"[2, 0, 0, 0, 0, 0, 2, 4, 0, 0, 8, 16, 2, 16, 64, 4]",down,64
56,360,"[0, 0, 0, 0, 0, 0, 2, 4, 2, 0, 8, 16, 4, 16, 64, 4]",down,64
57,360,"[0, 0, 0, 0, 0, 2, 2, 4, 0, 2, 8, 16, 4, 16, 64, 4]",right,64
58,364,"[0, 0, 2, 0, 4, 4, 0, 0, 2, 8, 16, 0, 4, 16, 64, 4]",left,64
59,372,"[0, 0, 0, 2, 0, 2, 0, 8, 0, 2, 8, 16, 4, 16, 64, 4]",right,64
60,376,"[4, 4, 8, 2, 0, 16, 64, 8, 2, 0, 0, 16, 0, 0, 0, 4]",up,64
61,384,"[8, 8, 2, 2, 16, 64, 8, 0, 2, 16, 0, 0, 4, 0, 0, 0]",left,64
62,404,"[0, 0, 16, 4, 0, 16, 64, 8, 0, 2, 2, 16, 0, 0, 0, 4]",right,64
63,408,"[16, 4, 0, 0, 16, 64, 8, 2, 4, 16, 0, 0, 4, 0, 0, 0]",left,64
64,448,"[32, 4, 8, 2, 8, 64, 0, 0, 0, 16, 0, 2, 0, 0, 0, 0]",up,64
65,452,"[32, 4, 8, 4, 8, 64, 0, 0, 0, 16, 0, 2, 0, 0, 0, 0]",up,64
66,452,"[32, 4, 8, 4, 8, 64, 0, 2, 2, 16, 0, 0, 0, 0, 0, 0]",up,64
67,452,"[0, 0, 0, 0, 32, 4, 0, 2, 8, 64, 0, 4, 2, 16, 8, 2]",down,64
68,452,"[32, 4, 8, 2, 8, 64, 0, 4, 2, 16, 0, 2, 0, 0, 4, 0]",up,64
69,452,"[32, 4, 8, 2, 0, 8, 64, 4, 0, 2, 16, 2, 2, 0, 0, 4]",right,64
70,452,"[32, 4, 8, 2, 0, 8, 64, 4, 0, 2, 16, 2, 0, 2, 2, 4]",right,64
71,456,"[32, 4, 8, 2, 0, 8, 64, 4, 2, 4, 16, 2, 0, 0, 2, 4]",up,64
72,456,"[32, 4, 8, 2, 8, 64, 4, 0, 2, 4, 16, 2, 2, 4, 2, 0]",left,64
73,464,"[0, 4, 8, 0, 32, 4, 4, 0, 8, 64, 16, 0, 4, 8, 2, 4]",down,64
74,472,"[4, 8, 0, 0, 32, 8, 0, 4, 8, 64, 16, 0, 4, 8, 2, 4]",left,64
75,496,"[4, 16, 16, 8, 32, 64, 2, 0, 8, 8, 0, 0, 4, 0, 2, 0]",up,64
76,544,"[4, 32, 8, 0, 32, 64, 2, 0, 16, 0, 0, 0, 4, 2, 2, 0]",left,64
77,548,"[4, 32, 8, 0, 32, 64, 2, 0, 16, 2, 0, 0, 4, 4, 0, 0]",left,64
78,556,"[4, 32, 8, 0, 32, 64, 2, 0, 16, 2, 0, 0, 8, 2, 0, 0]",left,64
