Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",right,2
2,0,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",left,2
3,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0]",down,4
4,2,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0]",left,4
5,4,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 2, 2, 0]",down,4
6,12,"[8, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
7,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 8, 4, 2, 0]",down,8
8,18,"[8, 4, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",up,8
9,26,"[8, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",left,8
10,42,"[2, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]",right,16
11,44,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 16, 2, 0, 0, 4]",down,16
12,48,"[4, 0, 0, 16, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0]",up,16
13,48,"[0, 0, 4, 16, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2]",right,16
14,50,"[0, 0, 0, 0, 0, 2, 0, 16, 0, 0, 0, 4, 0, 0, 4, 4]",down,16
15,58,"[0, 0, 0, 0, 2, 16, 0, 2, 4, 0, 0, 0, 8, 0, 0, 0]",left,16
16,58,"[2, 16, 0, 2, 4, 0, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0]",up,16
17,60,"[0, 2, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 8, 16, 0, 4]",down,16
18,60,"[0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 4, 0, 8, 16, 4]",right,16
19,72,"[0, 8, 2, 4, 0, 2, 16, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
20,72,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 2, 4, 0, 2, 16, 8]",down,16
21,72,"[2, 0, 0, 0, 0, 0, 0, 0, 8, 2, 4, 2, 2, 16, 8, 0]",left,16
22,72,"[2, 2, 4, 2, 8, 16, 8, 4, 2, 0, 0, 0, 0, 0, 0, 0]",up,16
23,76,"[0, 4, 4, 2, 8, 16, 8, 4, 0, 0, 0, 2, 2, 0, 0, 0]",right,16
24,84,"[0, 0, 8, 2, 8, 16, 8, 4, 2, 0, 0, 2, 0, 0, 0, 2]",right,16
25,94,"[0, 0, 0, 0, 0, 2, 0, 2, 8, 0, 0, 4, 2, 16, 16, 4]",down,16
26,130,"[0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 8, 4, 0, 2, 32, 4]",right,32
27,142,"[0, 4, 8, 8, 0, 0, 32, 4, 0, 0, 0, 0, 0, 0, 2, 0]",up,32
28,158,"[4, 16, 0, 2, 32, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,32
29,158,"[4, 16, 2, 0, 32, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]",left,32
30,162,"[0, 4, 16, 2, 0, 0, 32, 4, 0, 0, 0, 4, 0, 0, 0, 4]",right,32
31,166,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 16, 4, 0, 4, 32, 8]",down,32
32,170,"[2, 0, 0, 0, 4, 0, 0, 0, 16, 4, 0, 0, 4, 32, 8, 0]",left,32
33,170,"[2, 4, 8, 0, 4, 32, 4, 0, 16, 0, 0, 0, 4, 0, 0, 0]",up,32
