Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]",down,4
2,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4]",right,4
3,0,"[0, 0, 2, 2, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0]",up,4
4,4,"[4, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",left,4
5,12,"[8, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
6,16,"[0, 0, 8, 2, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",right,8
7,16,"[8, 2, 0, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,8
8,16,"[8, 2, 2, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,8
9,20,"[8, 4, 0, 0, 2, 4, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,8
10,32,"[8, 8, 2, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
11,48,"[0, 0, 16, 2, 0, 0, 0, 4, 0, 2, 0, 2, 0, 0, 0, 0]",right,16
12,52,"[0, 0, 16, 2, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 2]",right,16
13,60,"[0, 0, 16, 2, 0, 0, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0]",up,16
14,64,"[16, 2, 0, 0, 8, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]",left,16
15,64,"[0, 0, 2, 0, 16, 0, 0, 0, 8, 0, 0, 0, 4, 2, 2, 0]",down,16
16,68,"[0, 0, 2, 2, 0, 0, 0, 16, 0, 0, 0, 8, 0, 0, 4, 4]",right,16
17,80,"[2, 0, 0, 4, 0, 0, 0, 16, 0, 0, 0, 8, 0, 0, 0, 8]",right,16
18,96,"[2, 0, 2, 4, 0, 0, 0, 16, 0, 0, 0, 16, 0, 0, 0, 0]",up,16
19,112,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 2, 32]",down,32
20,116,"[0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 4, 32]",right,32
21,116,"[2, 0, 0, 0, 2, 2, 0, 0, 4, 0, 0, 0, 4, 32, 0, 0]",left,32
22,122,"[0, 0, 0, 0, 0, 0, 4, 0, 4, 2, 0, 0, 8, 32, 0, 0]",down,32
23,122,"[4, 2, 4, 0, 8, 32, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,32
