Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",right
2,0,"[0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right
3,4,"[0, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",right
4,8,"[4, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
5,8,"[2, 0, 4, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",right
6,8,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 4, 4]",down
7,16,"[0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 8]",right
8,20,"[2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 8, 0, 0]",left
9,24,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 2, 8]",right
10,28,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 2, 8]",down
11,28,"[4, 0, 0, 0, 0, 0, 0, 2, 8, 0, 0, 0, 4, 2, 8, 0]",left
12,28,"[0, 2, 0, 4, 0, 0, 0, 2, 0, 0, 0, 8, 0, 4, 2, 8]",right
13,36,"[2, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 2, 0, 4, 2, 16]",down
14,36,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 0, 2, 2, 4, 2, 16]",down
15,36,"[2, 2, 2, 2, 0, 4, 0, 4, 2, 0, 0, 2, 0, 0, 0, 16]",up
16,40,"[4, 2, 2, 2, 0, 4, 0, 4, 0, 4, 0, 2, 0, 0, 0, 16]",up
17,48,"[4, 2, 2, 2, 0, 8, 0, 4, 0, 0, 0, 2, 2, 0, 0, 16]",up
18,52,"[0, 4, 2, 4, 0, 0, 8, 4, 0, 0, 0, 2, 0, 2, 2, 16]",right
19,56,"[0, 0, 0, 2, 0, 0, 2, 8, 0, 4, 8, 2, 0, 2, 2, 16]",down
20,60,"[0, 0, 0, 2, 0, 0, 2, 8, 0, 4, 8, 2, 4, 0, 4, 16]",right
21,68,"[0, 0, 2, 2, 0, 0, 2, 8, 0, 4, 8, 2, 0, 0, 8, 16]",right
22,78,"[0, 0, 0, 2, 0, 0, 0, 8, 0, 2, 4, 2, 0, 4, 16, 16]",down
23,110,"[0, 0, 0, 2, 0, 0, 0, 8, 0, 2, 4, 2, 0, 2, 4, 32]",right
24,110,"[2, 2, 0, 0, 8, 0, 0, 0, 2, 4, 2, 0, 2, 4, 32, 0]",left
25,114,"[0, 0, 0, 4, 0, 0, 0, 8, 2, 2, 4, 2, 0, 2, 4, 32]",right
26,118,"[0, 0, 0, 4, 2, 0, 0, 8, 0, 4, 4, 2, 0, 2, 4, 32]",right
27,126,"[4, 0, 2, 0, 2, 8, 0, 0, 8, 2, 0, 0, 2, 4, 32, 0]",left
28,126,"[4, 8, 2, 0, 2, 2, 32, 0, 8, 4, 0, 0, 2, 0, 0, 2]",up
29,126,"[4, 0, 0, 2, 2, 8, 0, 0, 8, 2, 2, 0, 2, 4, 32, 2]",down
30,130,"[2, 0, 4, 2, 0, 0, 2, 8, 0, 0, 8, 4, 2, 4, 32, 2]",right
31,134,"[4, 4, 4, 2, 0, 2, 2, 8, 0, 0, 8, 4, 0, 0, 32, 2]",up
32,146,"[8, 4, 2, 0, 4, 8, 0, 0, 8, 4, 0, 0, 32, 2, 2, 0]",left
33,150,"[0, 8, 4, 2, 0, 2, 4, 8, 0, 0, 8, 4, 0, 0, 32, 4]",right
34,158,"[2, 0, 0, 0, 0, 0, 8, 2, 0, 8, 8, 8, 0, 2, 32, 8]",down
35,174,"[2, 0, 2, 0, 8, 2, 0, 0, 16, 8, 0, 0, 2, 32, 8, 0]",left
36,178,"[0, 0, 0, 4, 0, 0, 8, 2, 2, 0, 16, 8, 0, 2, 32, 8]",right
37,178,"[4, 0, 0, 4, 8, 2, 0, 0, 2, 16, 8, 0, 2, 32, 8, 0]",left
38,198,"[4, 2, 16, 4, 8, 16, 0, 2, 4, 32, 0, 0, 0, 0, 0, 0]",up
39,198,"[4, 2, 16, 4, 8, 16, 2, 0, 4, 32, 2, 0, 0, 0, 0, 0]",left
40,200,"[0, 0, 0, 0, 4, 2, 0, 2, 8, 16, 16, 0, 4, 32, 4, 4]",down
41,200,"[4, 2, 16, 2, 8, 16, 4, 4, 4, 32, 0, 0, 0, 0, 2, 0]",up
42,208,"[4, 2, 16, 2, 8, 16, 8, 0, 4, 32, 0, 0, 2, 0, 2, 0]",left
43,208,"[4, 0, 0, 0, 8, 2, 16, 2, 4, 16, 8, 0, 2, 32, 2, 2]",down
44,212,"[4, 2, 16, 4, 8, 16, 8, 4, 4, 32, 2, 0, 2, 0, 0, 0]",up
45,220,"[4, 2, 16, 8, 8, 16, 8, 0, 4, 32, 2, 0, 2, 0, 0, 2]",up
46,224,"[4, 2, 16, 8, 2, 8, 16, 8, 0, 4, 32, 2, 0, 0, 0, 4]",right
47,240,"[0, 0, 2, 8, 0, 2, 0, 8, 4, 8, 32, 2, 2, 4, 32, 4]",down
48,240,"[2, 8, 0, 0, 2, 8, 0, 2, 4, 8, 32, 2, 2, 4, 32, 4]",left
49,324,"[4, 16, 64, 2, 4, 8, 0, 2, 2, 4, 0, 4, 0, 0, 0, 2]",up
50,332,"[4, 16, 64, 2, 4, 8, 2, 0, 2, 8, 0, 0, 2, 0, 2, 0]",left
51,336,"[4, 16, 64, 2, 4, 8, 2, 0, 2, 8, 0, 2, 4, 0, 0, 0]",left
52,348,"[0, 0, 0, 2, 8, 0, 0, 0, 2, 16, 64, 2, 4, 16, 2, 2]",down
53,352,"[0, 0, 0, 2, 2, 0, 0, 8, 2, 16, 64, 2, 0, 4, 16, 4]",right
54,352,"[2, 0, 0, 0, 2, 8, 2, 0, 2, 16, 64, 2, 4, 16, 4, 0]",left
55,370,"[0, 0, 0, 2, 2, 0, 2, 0, 4, 8, 64, 0, 4, 32, 4, 2]",down
56,374,"[0, 0, 0, 2, 0, 0, 2, 4, 0, 4, 8, 64, 4, 32, 4, 2]",right
57,374,"[4, 4, 2, 2, 2, 32, 8, 4, 0, 0, 4, 64, 0, 0, 0, 2]",up
58,374,"[2, 0, 0, 2, 0, 0, 2, 4, 4, 4, 8, 64, 2, 32, 4, 2]",down
59,386,"[4, 0, 0, 0, 2, 4, 2, 0, 8, 8, 64, 0, 2, 32, 4, 2]",left
60,402,"[4, 0, 2, 0, 2, 4, 2, 0, 16, 64, 0, 0, 2, 32, 4, 2]",left
61,402,"[0, 2, 4, 2, 0, 2, 4, 2, 0, 0, 16, 64, 2, 32, 4, 2]",right
62,404,"[0, 0, 4, 2, 2, 0, 4, 2, 0, 4, 16, 64, 2, 32, 4, 2]",down
63,404,"[4, 2, 0, 0, 2, 4, 2, 0, 4, 16, 64, 2, 2, 32, 4, 2]",left
64,406,"[4, 2, 4, 0, 2, 4, 2, 0, 4, 16, 64, 0, 2, 32, 4, 4]",down
65,406,"[4, 2, 4, 4, 2, 4, 2, 4, 4, 16, 64, 0, 2, 32, 4, 0]",up
66,414,"[0, 4, 2, 8, 2, 4, 2, 4, 0, 4, 16, 64, 2, 2, 32, 4]",right
67,418,"[0, 4, 2, 8, 2, 4, 2, 4, 2, 4, 16, 64, 0, 4, 32, 4]",right
68,418,"[4, 2, 8, 0, 2, 4, 2, 4, 2, 4, 16, 64, 4, 32, 4, 2]",left
69,430,"[4, 2, 8, 4, 4, 8, 2, 64, 4, 32, 16, 2, 0, 0, 4, 2]",up
70,436,"[0, 2, 8, 0, 0, 2, 2, 4, 4, 8, 16, 64, 8, 32, 4, 4]",down
71,448,"[0, 0, 2, 8, 2, 0, 4, 4, 4, 8, 16, 64, 0, 8, 32, 8]",right
72,456,"[2, 8, 0, 0, 2, 8, 2, 0, 4, 8, 16, 64, 8, 32, 8, 0]",left
73,466,"[0, 0, 4, 0, 4, 8, 2, 0, 4, 16, 16, 0, 8, 32, 8, 64]",down
74,498,"[4, 0, 0, 0, 4, 8, 2, 0, 4, 32, 0, 2, 8, 32, 8, 64]",left
75,570,"[8, 8, 2, 2, 4, 64, 8, 64, 8, 0, 0, 0, 0, 0, 2, 0]",up
76,590,"[0, 0, 16, 4, 4, 64, 8, 64, 0, 0, 0, 8, 0, 0, 2, 2]",right
77,590,"[0, 0, 0, 4, 0, 0, 16, 64, 0, 2, 8, 8, 4, 64, 2, 2]",down
78,610,"[4, 0, 0, 0, 16, 64, 0, 0, 2, 16, 2, 0, 4, 64, 4, 0]",left
79,610,"[0, 0, 0, 4, 0, 4, 16, 64, 0, 2, 16, 2, 0, 4, 64, 4]",right
80,610,"[4, 0, 2, 0, 4, 16, 64, 0, 2, 16, 2, 0, 4, 64, 4, 0]",left
81,630,"[0, 2, 2, 0, 8, 0, 64, 0, 2, 32, 2, 0, 4, 64, 4, 0]",down
82,630,"[8, 2, 2, 0, 2, 32, 64, 0, 4, 64, 2, 0, 2, 0, 4, 0]",up
