Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",right
2,0,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up
3,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 4]",down
4,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 4]",right
5,6,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 4]",right
6,6,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 4, 0, 0, 2, 4]",right
7,6,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 2, 4, 0, 2]",left
8,8,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 4, 4, 0, 2]",down
9,14,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 8, 4, 2]",down
10,14,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 4, 8, 4, 2]",right
11,14,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 4, 4, 8, 4, 2]",right
12,14,"[2, 0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 0, 4, 8, 4, 2]",left
13,20,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 8, 8, 4, 2]",down
14,36,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 4, 2, 0, 16, 4, 2]",right
15,36,"[2, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 2, 16, 4, 2, 0]",left
16,40,"[2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 4, 4, 0, 16, 4, 2]",right
17,52,"[4, 0, 0, 4, 2, 0, 0, 0, 8, 0, 0, 0, 16, 4, 2, 0]",left
18,60,"[0, 0, 0, 8, 0, 0, 0, 2, 0, 2, 0, 8, 0, 16, 4, 2]",right
19,60,"[2, 0, 0, 8, 0, 0, 0, 2, 0, 0, 2, 8, 0, 16, 4, 2]",right
20,60,"[0, 0, 2, 8, 0, 0, 0, 2, 0, 0, 2, 8, 2, 16, 4, 2]",down
21,62,"[2, 0, 0, 8, 0, 0, 0, 2, 0, 0, 4, 8, 2, 16, 4, 2]",down
22,74,"[4, 16, 8, 8, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 2, 2]",up
23,74,"[0, 2, 0, 8, 0, 0, 0, 2, 0, 0, 8, 8, 4, 16, 2, 2]",down
24,74,"[0, 0, 0, 8, 2, 0, 0, 2, 0, 2, 8, 8, 4, 16, 2, 2]",down
25,98,"[8, 0, 0, 2, 4, 0, 0, 0, 2, 16, 0, 0, 4, 16, 4, 0]",left
26,114,"[8, 0, 0, 0, 4, 0, 0, 0, 2, 0, 2, 0, 4, 32, 4, 2]",down
27,118,"[0, 2, 0, 8, 0, 0, 0, 4, 0, 0, 0, 4, 4, 32, 4, 2]",right
28,126,"[4, 2, 4, 8, 0, 32, 0, 8, 0, 0, 4, 2, 0, 0, 0, 0]",up
29,130,"[0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 2, 8, 4, 32, 8, 2]",down
30,134,"[0, 2, 0, 0, 8, 0, 0, 0, 4, 8, 0, 0, 4, 32, 8, 2]",left
31,134,"[2, 0, 0, 0, 8, 2, 0, 0, 4, 8, 0, 0, 4, 32, 8, 2]",left
32,134,"[0, 4, 0, 2, 0, 0, 8, 2, 0, 0, 4, 8, 4, 32, 8, 2]",right
33,138,"[4, 4, 8, 4, 0, 32, 4, 8, 0, 0, 8, 2, 0, 0, 0, 2]",up
34,146,"[0, 8, 8, 4, 0, 32, 4, 8, 0, 0, 8, 2, 2, 0, 0, 2]",right
35,148,"[0, 0, 0, 0, 2, 0, 8, 4, 0, 8, 4, 8, 2, 32, 8, 4]",down
36,148,"[0, 0, 0, 0, 2, 8, 4, 0, 8, 4, 8, 2, 2, 32, 8, 4]",left
37,156,"[0, 0, 0, 0, 2, 8, 2, 0, 8, 4, 4, 2, 2, 32, 16, 4]",down
38,164,"[0, 0, 0, 0, 2, 8, 2, 0, 8, 8, 2, 2, 2, 32, 16, 4]",left
39,184,"[0, 2, 0, 0, 0, 2, 8, 2, 0, 0, 16, 4, 2, 32, 16, 4]",right
40,184,"[2, 0, 0, 0, 2, 8, 2, 2, 16, 4, 0, 0, 2, 32, 16, 4]",left
41,188,"[4, 8, 2, 2, 16, 4, 16, 4, 2, 32, 0, 2, 0, 0, 0, 0]",up
42,188,"[0, 0, 4, 0, 4, 8, 0, 2, 16, 4, 2, 4, 2, 32, 16, 2]",down
43,188,"[4, 0, 0, 4, 4, 8, 2, 0, 16, 4, 2, 4, 2, 32, 16, 2]",left
44,196,"[8, 0, 0, 4, 4, 8, 2, 0, 16, 4, 2, 4, 2, 32, 16, 2]",left
45,196,"[2, 0, 8, 4, 0, 4, 8, 2, 16, 4, 2, 4, 2, 32, 16, 2]",right
46,208,"[2, 0, 0, 4, 2, 0, 16, 2, 16, 8, 2, 4, 2, 32, 16, 2]",down
47,208,"[2, 4, 0, 2, 2, 16, 2, 0, 16, 8, 2, 4, 2, 32, 16, 2]",left
48,216,"[4, 4, 4, 2, 16, 16, 16, 4, 2, 8, 0, 2, 0, 32, 2, 0]",up
49,256,"[8, 4, 2, 0, 32, 16, 4, 0, 2, 8, 2, 0, 32, 2, 2, 0]",left
50,260,"[8, 4, 2, 0, 32, 16, 4, 0, 2, 8, 4, 2, 32, 2, 0, 0]",up
51,268,"[8, 4, 2, 2, 32, 16, 8, 0, 2, 8, 0, 0, 32, 2, 0, 4]",up
52,272,"[0, 8, 4, 4, 0, 32, 16, 8, 0, 2, 2, 8, 0, 32, 2, 4]",right
53,284,"[0, 0, 8, 8, 0, 32, 16, 8, 0, 0, 4, 8, 2, 32, 2, 4]",right
