Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",down
2,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4]",right
3,4,"[0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0]",left
4,4,"[0, 0, 0, 0, 4, 0, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0]",left
5,4,"[4, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 2, 0, 0, 0, 4]",right
6,4,"[4, 0, 0, 4, 0, 0, 4, 2, 0, 0, 0, 2, 0, 0, 0, 4]",right
7,12,"[0, 0, 0, 8, 0, 0, 4, 2, 0, 2, 0, 2, 0, 0, 0, 4]",right
8,16,"[0, 0, 0, 8, 0, 0, 4, 2, 0, 2, 0, 4, 0, 0, 0, 4]",right
9,16,"[0, 4, 0, 8, 0, 0, 4, 2, 0, 0, 2, 4, 0, 0, 0, 4]",right
10,16,"[0, 0, 4, 8, 0, 0, 4, 2, 0, 0, 2, 4, 0, 0, 2, 4]",right
11,36,"[0, 0, 8, 8, 2, 0, 4, 2, 0, 0, 0, 8, 0, 0, 0, 0]",up
12,52,"[0, 0, 0, 16, 0, 2, 4, 2, 0, 0, 0, 8, 0, 0, 0, 2]",right
13,52,"[16, 0, 0, 0, 2, 4, 2, 0, 8, 0, 0, 0, 2, 0, 2, 0]",left
14,56,"[0, 0, 2, 16, 0, 2, 4, 2, 0, 0, 0, 8, 0, 0, 0, 4]",right
15,56,"[0, 0, 0, 16, 0, 0, 0, 2, 0, 2, 2, 8, 0, 2, 4, 4]",down
16,68,"[16, 4, 0, 0, 2, 0, 0, 0, 4, 8, 0, 0, 2, 8, 0, 0]",left
17,84,"[16, 4, 4, 0, 2, 16, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",up
18,84,"[16, 2, 0, 0, 2, 0, 0, 0, 4, 4, 0, 0, 2, 16, 4, 0]",down
19,92,"[16, 2, 0, 0, 2, 0, 0, 0, 8, 0, 0, 2, 2, 16, 4, 0]",left
20,92,"[16, 2, 4, 2, 2, 16, 0, 0, 8, 0, 0, 0, 2, 0, 0, 2]",up
21,96,"[16, 2, 4, 2, 0, 0, 2, 16, 0, 0, 0, 8, 0, 0, 2, 4]",right
22,100,"[16, 2, 4, 2, 2, 0, 4, 16, 0, 0, 0, 8, 0, 0, 0, 4]",up
23,100,"[16, 2, 4, 2, 0, 2, 4, 16, 0, 2, 0, 8, 0, 0, 0, 4]",right
24,100,"[16, 2, 4, 2, 2, 2, 4, 16, 0, 0, 2, 8, 0, 0, 0, 4]",right
25,112,"[16, 4, 8, 2, 2, 0, 2, 16, 4, 0, 0, 8, 0, 0, 0, 4]",up
26,116,"[16, 4, 8, 2, 0, 0, 4, 16, 0, 2, 4, 8, 0, 0, 0, 4]",right
