Move,Score,Matrix,Previous_Move
51,226,"[2, 2, 8, 2, 4, 8, 16, 4, 8, 2, 8, 32, 2, 4, 2, 8]",up,32
52,230,"[2, 4, 8, 2, 4, 8, 16, 4, 8, 2, 8, 32, 2, 4, 2, 8]",right,32
1,0,"[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,2
2,0,"[2, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
3,4,"[4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",left,4
4,4,"[0, 0, 0, 4, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 0]",right,4
5,12,"[2, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",up,8
6,16,"[2, 2, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
7,20,"[0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0]",right,8
8,20,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 8, 0, 0, 2, 4]",down,8
9,20,"[0, 0, 0, 0, 2, 0, 0, 0, 4, 8, 0, 2, 2, 4, 0, 0]",left,8
10,20,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 4, 8, 2, 0, 0, 2, 4]",right,8
11,20,"[2, 0, 0, 0, 2, 0, 0, 2, 4, 8, 2, 0, 2, 4, 0, 0]",left,8
12,24,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 4, 8, 2, 0, 2, 2, 4]",right,8
13,28,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 4, 8, 2, 0, 2, 4, 4]",right,8
14,36,"[2, 0, 0, 0, 4, 0, 0, 0, 4, 8, 2, 0, 2, 8, 2, 0]",left,8
15,50,"[0, 0, 0, 0, 2, 0, 0, 0, 8, 0, 2, 0, 2, 16, 4, 0]",down,16
16,50,"[2, 16, 2, 0, 8, 0, 4, 0, 2, 0, 0, 2, 0, 0, 0, 0]",up,16
17,50,"[0, 0, 2, 0, 2, 0, 0, 0, 8, 0, 2, 0, 2, 16, 4, 2]",down,16
18,52,"[0, 0, 0, 0, 2, 0, 0, 0, 8, 0, 4, 2, 2, 16, 4, 2]",down,16
19,58,"[0, 0, 0, 0, 2, 2, 0, 0, 8, 0, 0, 0, 2, 16, 8, 4]",down,16
20,58,"[2, 2, 8, 4, 8, 16, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]",up,16
21,58,"[2, 2, 8, 4, 8, 16, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2]",up,16
22,62,"[0, 4, 8, 4, 0, 8, 16, 2, 0, 0, 0, 2, 2, 0, 0, 2]",right,16
23,66,"[2, 4, 8, 4, 0, 8, 16, 4, 0, 0, 0, 2, 0, 0, 0, 2]",up,16
24,78,"[2, 4, 8, 8, 0, 8, 16, 4, 0, 0, 0, 0, 0, 0, 0, 2]",up,16
25,78,"[0, 0, 0, 0, 2, 0, 0, 8, 0, 4, 8, 4, 2, 8, 16, 2]",down,16
26,80,"[0, 0, 0, 0, 0, 4, 0, 8, 0, 4, 8, 4, 4, 8, 16, 2]",down,16
27,80,"[0, 0, 0, 0, 4, 8, 0, 0, 4, 8, 4, 2, 4, 8, 16, 2]",left,16
28,94,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 8, 4, 0, 8, 16, 16, 4]",down,16
29,126,"[2, 4, 0, 0, 0, 0, 0, 0, 4, 8, 4, 0, 8, 32, 4, 0]",left,32
30,130,"[2, 0, 0, 0, 2, 4, 0, 0, 4, 8, 0, 0, 8, 32, 8, 0]",down,32
31,132,"[0, 0, 0, 2, 4, 4, 0, 0, 4, 8, 0, 0, 8, 32, 8, 0]",down,32
32,140,"[0, 0, 0, 2, 0, 2, 0, 8, 0, 0, 4, 8, 0, 8, 32, 8]",right,32
33,140,"[2, 0, 0, 2, 0, 0, 2, 8, 0, 0, 4, 8, 0, 8, 32, 8]",right,32
34,144,"[4, 2, 0, 0, 2, 8, 0, 0, 4, 8, 0, 0, 8, 32, 8, 0]",left,32
35,160,"[4, 2, 8, 0, 2, 16, 0, 2, 4, 32, 0, 0, 8, 0, 0, 0]",up,32
36,160,"[4, 2, 8, 2, 2, 16, 2, 0, 4, 32, 0, 0, 8, 0, 0, 0]",left,32
37,160,"[4, 2, 8, 2, 2, 2, 16, 2, 0, 0, 4, 32, 0, 0, 0, 8]",right,32
38,164,"[4, 2, 8, 2, 4, 16, 2, 0, 4, 32, 0, 2, 8, 0, 0, 0]",left,32
39,164,"[4, 2, 8, 2, 0, 4, 16, 2, 2, 4, 32, 2, 0, 0, 0, 8]",right,32
40,170,"[0, 0, 0, 0, 0, 2, 8, 2, 4, 2, 16, 4, 2, 8, 32, 8]",down,32
41,174,"[4, 4, 8, 2, 2, 8, 16, 4, 0, 0, 32, 8, 0, 0, 2, 0]",up,32
42,182,"[8, 8, 2, 0, 2, 8, 16, 4, 32, 8, 2, 0, 2, 0, 0, 0]",left,32
43,198,"[16, 2, 0, 0, 2, 8, 16, 4, 32, 8, 2, 4, 2, 0, 0, 0]",left,32
44,210,"[16, 0, 0, 0, 2, 0, 0, 2, 32, 2, 16, 0, 2, 16, 2, 8]",down,32
45,210,"[16, 2, 16, 2, 2, 16, 2, 8, 32, 0, 0, 2, 2, 0, 0, 0]",up,32
46,210,"[16, 2, 16, 2, 2, 16, 2, 8, 32, 2, 0, 0, 2, 2, 0, 0]",left,32
47,214,"[16, 2, 16, 2, 2, 16, 2, 8, 32, 2, 0, 0, 4, 2, 0, 0]",left,32
48,216,"[16, 0, 2, 0, 2, 2, 0, 0, 32, 16, 16, 2, 4, 4, 2, 8]",down,32
49,260,"[2, 0, 16, 2, 0, 0, 0, 4, 0, 32, 32, 2, 0, 8, 2, 8]",right,32
50,324,"[2, 16, 2, 2, 4, 0, 0, 0, 64, 2, 0, 0, 8, 2, 8, 0]",left,64
