Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",right
2,0,"[2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",left
3,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 2]",down
4,2,"[4, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
5,4,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 2]",down
6,12,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0]",left
7,16,"[4, 2, 0, 0, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up
8,16,"[0, 0, 4, 2, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 2]",right
9,18,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 2, 0, 0, 8, 4]",down
10,18,"[0, 0, 0, 0, 2, 2, 0, 0, 4, 2, 0, 0, 8, 4, 0, 0]",left
11,22,"[0, 2, 0, 0, 4, 0, 0, 0, 4, 2, 0, 0, 8, 4, 0, 0]",left
12,28,"[0, 0, 2, 0, 0, 0, 0, 0, 8, 4, 0, 0, 8, 4, 0, 0]",down
13,28,"[0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 8, 4, 0, 0, 8, 4]",right
14,32,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 4, 0, 2, 8, 4]",right
15,44,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 2, 16, 8]",down
16,44,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 4, 2, 16, 8]",left
17,44,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 2, 4, 2, 16, 8]",right
18,48,"[4, 4, 4, 2, 0, 0, 16, 8, 2, 0, 0, 0, 0, 0, 0, 0]",up
19,48,"[4, 4, 4, 2, 2, 2, 16, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up
20,60,"[0, 4, 8, 2, 0, 4, 16, 8, 2, 0, 0, 0, 0, 0, 0, 0]",right
21,60,"[0, 4, 8, 2, 0, 4, 16, 8, 0, 0, 0, 2, 2, 0, 0, 0]",right
22,64,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 8, 8, 2, 8, 16, 2]",down
23,80,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 16, 2, 0, 2, 8, 16, 2]",left
24,80,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 16, 2, 2, 8, 16, 2]",right
25,98,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 2, 2, 8, 32, 4]",down
26,100,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 4, 8, 32, 4]",down
27,100,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 4, 8, 32, 4]",down
