Move,Score,Matrix,Previous_Move
50,228,"[2, 16, 2, 4, 4, 2, 16, 8, 2, 32, 4, 4, 4, 2, 8, 2]",up
51,236,"[2, 16, 2, 4, 4, 2, 16, 8, 2, 2, 32, 8, 4, 2, 8, 2]",right
52,240,"[2, 16, 2, 4, 4, 2, 16, 8, 4, 32, 8, 4, 4, 2, 8, 2]",left
53,264,"[2, 16, 2, 4, 8, 2, 16, 8, 4, 32, 16, 4, 0, 2, 2, 2]",up
54,268,"[2, 16, 2, 4, 8, 2, 16, 8, 4, 32, 16, 4, 0, 2, 2, 4]",right
55,272,"[2, 16, 2, 4, 8, 2, 16, 8, 4, 32, 16, 4, 4, 4, 0, 2]",left
56,292,"[0, 16, 0, 4, 2, 2, 2, 8, 8, 32, 2, 4, 8, 4, 32, 2]",down
57,302,"[0, 16, 0, 4, 0, 2, 2, 8, 2, 32, 4, 4, 16, 4, 32, 2]",down
58,314,"[0, 2, 16, 4, 0, 0, 4, 8, 0, 2, 32, 8, 16, 4, 32, 2]",right
59,314,"[2, 16, 4, 2, 4, 8, 0, 0, 2, 32, 8, 0, 16, 4, 32, 2]",left
60,314,"[2, 16, 4, 2, 2, 0, 4, 8, 0, 2, 32, 8, 16, 4, 32, 2]",right
61,314,"[2, 16, 4, 2, 2, 4, 8, 2, 2, 32, 8, 0, 16, 4, 32, 2]",left
62,338,"[4, 16, 4, 4, 2, 4, 16, 2, 16, 32, 32, 4, 0, 4, 0, 0]",up
63,338,"[0, 16, 0, 4, 4, 4, 4, 4, 2, 32, 16, 2, 16, 4, 32, 4]",down
64,354,"[0, 2, 16, 4, 0, 0, 8, 8, 2, 32, 16, 2, 16, 4, 32, 4]",right
65,354,"[0, 0, 16, 4, 2, 2, 8, 8, 2, 32, 16, 2, 16, 4, 32, 4]",down
66,374,"[2, 0, 16, 4, 0, 0, 4, 16, 2, 32, 16, 2, 16, 4, 32, 4]",right
67,378,"[4, 32, 16, 4, 16, 4, 4, 16, 2, 0, 16, 2, 0, 0, 32, 4]",up
68,386,"[4, 32, 16, 4, 0, 16, 8, 16, 2, 2, 16, 2, 0, 0, 32, 4]",right
69,390,"[4, 32, 16, 4, 16, 8, 16, 0, 4, 16, 2, 0, 32, 4, 0, 2]",left
70,422,"[4, 32, 32, 4, 16, 8, 2, 2, 4, 16, 0, 0, 32, 4, 2, 0]",up
71,426,"[4, 32, 32, 4, 16, 8, 4, 2, 4, 16, 2, 0, 32, 4, 0, 0]",up
72,490,"[0, 4, 64, 4, 16, 8, 4, 2, 0, 4, 16, 2, 2, 0, 32, 4]",right
73,494,"[16, 4, 64, 4, 2, 8, 4, 4, 0, 4, 16, 4, 2, 0, 32, 0]",up
74,500,"[0, 0, 64, 0, 0, 4, 4, 2, 16, 8, 16, 4, 4, 4, 32, 8]",down
75,500,"[16, 4, 64, 2, 4, 8, 4, 4, 0, 4, 16, 8, 0, 4, 32, 0]",up
76,508,"[16, 4, 64, 2, 4, 8, 4, 4, 0, 8, 16, 8, 0, 0, 32, 2]",up
77,516,"[2, 0, 64, 2, 0, 0, 4, 4, 16, 4, 16, 8, 4, 16, 32, 2]",down
78,524,"[2, 2, 64, 2, 0, 0, 0, 8, 16, 4, 16, 8, 4, 16, 32, 2]",right
79,540,"[2, 2, 64, 2, 16, 4, 16, 16, 4, 16, 32, 2, 0, 0, 0, 2]",up
80,544,"[2, 2, 64, 2, 16, 4, 16, 16, 4, 16, 32, 4, 0, 0, 2, 0]",up
81,544,"[0, 2, 64, 0, 2, 2, 16, 2, 16, 4, 32, 16, 4, 16, 2, 4]",down
82,546,"[2, 0, 64, 0, 2, 4, 16, 2, 16, 4, 32, 16, 4, 16, 2, 4]",down
83,546,"[2, 0, 2, 64, 2, 4, 16, 2, 16, 4, 32, 16, 4, 16, 2, 4]",right
84,552,"[2, 0, 2, 64, 4, 0, 16, 2, 16, 8, 32, 16, 4, 16, 2, 4]",down
85,552,"[2, 8, 2, 64, 4, 16, 16, 2, 16, 2, 32, 16, 4, 0, 2, 4]",up
86,584,"[2, 8, 2, 64, 2, 4, 32, 2, 16, 2, 32, 16, 0, 4, 2, 4]",right
87,652,"[4, 8, 2, 64, 16, 4, 64, 2, 2, 2, 2, 16, 0, 4, 0, 4]",up
88,652,"[0, 8, 2, 64, 4, 4, 2, 2, 16, 2, 64, 16, 2, 4, 2, 4]",down
89,664,"[4, 8, 2, 64, 0, 0, 8, 4, 16, 2, 64, 16, 2, 4, 2, 4]",right
90,664,"[4, 8, 2, 64, 8, 4, 0, 2, 16, 2, 64, 16, 2, 4, 2, 4]",left
91,664,"[4, 8, 2, 64, 8, 4, 2, 2, 16, 2, 64, 16, 2, 4, 2, 4]",left
92,668,"[4, 8, 4, 64, 8, 4, 64, 2, 16, 2, 2, 16, 2, 4, 2, 4]",up
93,672,"[4, 8, 4, 64, 8, 4, 64, 2, 16, 2, 4, 16, 2, 4, 2, 4]",up
