Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",down
2,0,"[0, 0, 2, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
3,8,"[0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 0, 0]",right
4,8,"[0, 0, 0, 2, 0, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 2]",right
5,8,"[2, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2]",left
6,10,"[2, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 2]",down
7,10,"[2, 0, 0, 0, 2, 0, 2, 0, 8, 0, 0, 0, 4, 2, 0, 0]",left
8,14,"[4, 2, 2, 2, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",up
9,18,"[0, 4, 2, 4, 0, 0, 0, 8, 2, 0, 0, 4, 0, 0, 0, 0]",right
10,18,"[2, 4, 2, 4, 0, 0, 0, 8, 2, 0, 0, 4, 0, 0, 0, 0]",up
11,20,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 8, 4, 4, 2, 4]",down
12,20,"[4, 4, 2, 2, 0, 0, 0, 4, 0, 0, 0, 8, 0, 2, 0, 4]",up
13,20,"[4, 4, 2, 2, 0, 2, 0, 4, 0, 0, 0, 8, 0, 4, 0, 4]",up
14,20,"[4, 4, 2, 2, 0, 2, 2, 4, 0, 4, 0, 8, 0, 0, 0, 4]",up
15,36,"[2, 0, 8, 4, 0, 0, 4, 4, 0, 0, 4, 8, 0, 0, 0, 4]",right
16,44,"[2, 0, 8, 4, 0, 0, 8, 4, 0, 0, 0, 8, 2, 0, 0, 4]",up
17,46,"[0, 2, 0, 4, 0, 0, 0, 4, 0, 0, 8, 8, 4, 0, 8, 4]",down
18,70,"[4, 2, 16, 8, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0]",up
19,78,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 16, 2, 2, 16, 4]",down
20,78,"[0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 2, 16, 2, 2, 16, 4]",down
21,82,"[0, 2, 0, 0, 2, 0, 0, 0, 4, 2, 16, 0, 4, 16, 4, 0]",left
22,82,"[2, 0, 0, 0, 2, 0, 2, 0, 4, 2, 16, 0, 4, 16, 4, 0]",left
23,94,"[4, 2, 2, 0, 8, 16, 16, 0, 0, 0, 4, 0, 0, 0, 2, 0]",up
24,130,"[4, 4, 0, 0, 8, 32, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0]",left
25,130,"[4, 0, 0, 0, 8, 4, 0, 0, 4, 32, 2, 0, 2, 2, 0, 0]",down
26,134,"[0, 0, 0, 4, 0, 0, 8, 4, 0, 4, 32, 2, 0, 0, 2, 4]",right
27,134,"[4, 0, 2, 0, 8, 4, 0, 0, 4, 32, 2, 0, 2, 4, 0, 0]",left
28,134,"[4, 2, 2, 0, 8, 4, 0, 0, 4, 32, 2, 0, 2, 4, 0, 0]",left
29,138,"[0, 0, 4, 4, 0, 0, 8, 4, 2, 4, 32, 2, 0, 0, 2, 4]",right
30,146,"[2, 4, 4, 8, 0, 4, 8, 2, 0, 0, 32, 4, 0, 0, 2, 0]",up
31,154,"[2, 2, 8, 8, 0, 4, 8, 2, 0, 0, 32, 4, 0, 0, 0, 2]",right
32,162,"[0, 2, 0, 8, 0, 0, 0, 2, 0, 2, 16, 4, 2, 4, 32, 2]",down
33,162,"[2, 0, 2, 8, 0, 0, 0, 2, 0, 2, 16, 4, 2, 4, 32, 2]",right
34,164,"[0, 2, 0, 8, 0, 0, 2, 2, 0, 2, 16, 4, 4, 4, 32, 2]",down
35,176,"[2, 8, 0, 0, 4, 0, 0, 2, 2, 16, 4, 0, 8, 32, 2, 0]",left
36,176,"[2, 8, 4, 2, 4, 16, 2, 0, 2, 32, 0, 0, 8, 4, 0, 0]",up
37,176,"[2, 8, 4, 2, 0, 4, 16, 2, 0, 2, 2, 32, 0, 0, 8, 4]",right
38,178,"[0, 2, 4, 0, 0, 8, 16, 4, 0, 4, 2, 32, 2, 2, 8, 4]",down
39,178,"[2, 2, 4, 4, 0, 8, 16, 32, 0, 4, 2, 4, 0, 2, 8, 2]",up
40,178,"[2, 2, 4, 4, 0, 8, 16, 32, 0, 4, 2, 4, 2, 2, 8, 2]",down
41,194,"[4, 8, 0, 2, 8, 16, 32, 0, 4, 2, 4, 0, 4, 8, 2, 0]",left
42,198,"[0, 8, 0, 2, 4, 16, 32, 0, 8, 2, 4, 0, 8, 8, 2, 2]",down
43,218,"[8, 2, 0, 0, 4, 16, 32, 0, 8, 2, 4, 0, 16, 4, 2, 0]",left
44,218,"[8, 2, 32, 2, 4, 16, 4, 0, 8, 2, 2, 0, 16, 4, 0, 0]",up
45,218,"[8, 2, 2, 0, 4, 16, 32, 0, 8, 2, 4, 0, 16, 4, 2, 2]",down
46,226,"[8, 4, 0, 0, 4, 16, 32, 0, 8, 2, 4, 2, 16, 4, 4, 0]",left
47,234,"[8, 4, 2, 0, 4, 16, 32, 0, 8, 2, 4, 2, 16, 8, 0, 0]",left
48,234,"[8, 4, 0, 0, 4, 16, 2, 2, 8, 2, 32, 0, 16, 8, 4, 2]",down
49,238,"[8, 4, 2, 0, 4, 16, 4, 0, 8, 2, 32, 0, 16, 8, 4, 2]",left
50,238,"[0, 8, 4, 2, 0, 4, 16, 4, 2, 8, 2, 32, 16, 8, 4, 2]",right
51,238,"[8, 4, 2, 0, 4, 16, 4, 2, 2, 8, 2, 32, 16, 8, 4, 2]",left
