Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",right
2,4,"[0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
3,4,"[4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",left
4,4,"[0, 0, 0, 4, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2]",right
5,4,"[0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 2]",right
6,8,"[0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2]",up
7,20,"[0, 0, 2, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0]",up
8,20,"[2, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]",left
9,20,"[0, 0, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0, 2, 8, 0, 2]",down
10,20,"[2, 2, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 2, 8, 2, 0]",left
11,22,"[0, 0, 0, 0, 4, 0, 0, 0, 4, 2, 0, 0, 2, 8, 2, 2]",down
12,30,"[8, 2, 2, 2, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up
13,34,"[8, 2, 2, 4, 2, 8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",up
14,38,"[8, 4, 4, 0, 2, 8, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",left
15,42,"[8, 4, 4, 0, 4, 8, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]",up
16,42,"[8, 4, 4, 0, 4, 8, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0]",up
17,54,"[4, 0, 8, 8, 0, 4, 8, 2, 0, 0, 0, 4, 0, 0, 0, 0]",right
18,70,"[4, 16, 0, 0, 4, 8, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0]",left
19,74,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 16, 0, 0, 8, 8, 2, 2]",down
20,94,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 16, 0, 0, 16, 4, 2, 0]",left
21,94,"[2, 16, 2, 0, 4, 4, 0, 0, 16, 0, 0, 0, 0, 2, 0, 0]",up
22,94,"[2, 16, 2, 0, 4, 4, 0, 0, 16, 2, 2, 0, 0, 0, 0, 0]",up
23,106,"[2, 16, 2, 0, 8, 0, 0, 0, 16, 4, 0, 2, 0, 0, 0, 0]",left
24,106,"[2, 16, 2, 0, 8, 0, 0, 0, 16, 4, 2, 2, 0, 0, 0, 0]",left
25,110,"[2, 16, 4, 2, 8, 4, 0, 0, 16, 0, 0, 0, 0, 0, 2, 0]",up
26,110,"[2, 16, 4, 2, 8, 4, 0, 0, 16, 2, 0, 0, 2, 0, 0, 0]",left
27,110,"[2, 0, 0, 0, 8, 16, 0, 0, 16, 4, 0, 2, 2, 2, 4, 2]",down
28,114,"[2, 16, 4, 4, 8, 4, 2, 0, 16, 2, 0, 0, 2, 0, 0, 0]",up
29,122,"[2, 16, 8, 2, 8, 4, 2, 0, 16, 2, 0, 0, 2, 0, 0, 0]",left
30,122,"[2, 16, 8, 2, 0, 8, 4, 2, 2, 0, 16, 2, 0, 0, 0, 2]",right
31,122,"[2, 16, 8, 2, 2, 8, 4, 2, 0, 2, 16, 2, 0, 0, 0, 2]",right
32,134,"[4, 16, 8, 4, 2, 8, 4, 4, 0, 2, 16, 0, 0, 0, 0, 0]",up
33,142,"[4, 16, 8, 4, 2, 8, 8, 0, 2, 16, 0, 2, 0, 0, 0, 0]",left
34,158,"[4, 16, 8, 4, 2, 0, 2, 16, 0, 2, 16, 2, 0, 0, 0, 0]",right
35,158,"[0, 0, 0, 0, 0, 2, 8, 4, 4, 16, 2, 16, 2, 2, 16, 2]",down
36,162,"[0, 0, 0, 0, 2, 8, 4, 2, 4, 16, 2, 16, 4, 16, 2, 0]",left
37,206,"[2, 8, 4, 2, 8, 32, 4, 16, 0, 0, 0, 4, 0, 0, 0, 0]",up
38,206,"[2, 8, 4, 2, 8, 32, 4, 16, 4, 0, 0, 0, 0, 0, 0, 2]",left
39,210,"[0, 0, 0, 0, 2, 0, 2, 2, 8, 8, 0, 16, 4, 32, 8, 2]",down
40,210,"[2, 8, 2, 2, 8, 32, 8, 16, 4, 0, 0, 2, 0, 2, 0, 0]",up
41,210,"[2, 8, 2, 2, 8, 32, 8, 16, 4, 2, 0, 2, 2, 0, 0, 0]",up
42,218,"[2, 8, 4, 0, 8, 32, 8, 16, 4, 4, 0, 0, 2, 0, 0, 2]",left
43,230,"[0, 2, 8, 4, 8, 32, 8, 16, 0, 0, 0, 8, 2, 0, 0, 4]",right
44,230,"[2, 8, 4, 2, 8, 32, 8, 16, 8, 0, 0, 0, 2, 4, 0, 0]",left
45,238,"[0, 0, 0, 2, 2, 8, 0, 0, 16, 32, 4, 2, 2, 4, 8, 16]",down
46,238,"[0, 0, 0, 2, 0, 2, 2, 8, 16, 32, 4, 2, 2, 4, 8, 16]",right
47,238,"[16, 2, 2, 2, 2, 32, 4, 8, 0, 4, 8, 2, 0, 0, 2, 16]",up
