Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2]",down
2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 2]",right
3,0,"[0, 0, 4, 4, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up
4,12,"[0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0]",right
5,12,"[4, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2]",right
6,12,"[4, 8, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left
7,20,"[0, 0, 4, 8, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2]",right
8,20,"[4, 8, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0]",left
9,24,"[4, 8, 2, 0, 8, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",up
10,24,"[0, 4, 8, 2, 0, 0, 8, 4, 0, 0, 2, 4, 0, 0, 0, 0]",right
11,48,"[0, 4, 16, 2, 0, 0, 2, 8, 0, 0, 0, 0, 0, 0, 2, 0]",up
12,52,"[0, 4, 16, 2, 0, 0, 4, 8, 4, 0, 0, 0, 0, 0, 0, 0]",up
13,52,"[4, 4, 16, 2, 0, 0, 4, 8, 0, 0, 4, 0, 0, 0, 0, 0]",up
14,60,"[8, 16, 2, 0, 4, 8, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0]",left
15,68,"[8, 16, 2, 2, 8, 8, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",up
16,88,"[8, 16, 4, 0, 16, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left
17,88,"[0, 8, 16, 4, 2, 0, 0, 16, 0, 0, 0, 4, 0, 0, 0, 2]",right
18,88,"[0, 0, 0, 4, 0, 0, 2, 16, 0, 0, 0, 4, 2, 8, 16, 2]",down
19,88,"[2, 8, 2, 4, 0, 0, 16, 16, 0, 0, 0, 4, 2, 0, 0, 2]",up
20,124,"[2, 8, 2, 4, 32, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 0]",left
21,132,"[2, 8, 2, 4, 32, 0, 0, 2, 8, 0, 0, 0, 0, 2, 0, 0]",up
22,132,"[2, 8, 2, 4, 2, 0, 32, 2, 0, 0, 0, 8, 0, 0, 0, 2]",right
23,136,"[4, 8, 2, 4, 0, 2, 32, 2, 0, 0, 0, 8, 0, 0, 0, 2]",up
24,136,"[4, 8, 2, 4, 2, 32, 2, 0, 8, 0, 0, 0, 2, 0, 0, 2]",left
25,138,"[4, 0, 0, 0, 2, 4, 0, 0, 8, 8, 0, 4, 2, 32, 4, 2]",down
26,154,"[4, 0, 0, 0, 2, 4, 0, 0, 16, 4, 0, 2, 2, 32, 4, 2]",left
27,160,"[4, 0, 4, 0, 2, 0, 0, 0, 16, 8, 0, 0, 2, 32, 4, 4]",down
28,176,"[8, 0, 0, 2, 2, 0, 0, 0, 16, 8, 0, 0, 2, 32, 8, 0]",left
29,176,"[8, 8, 8, 2, 2, 32, 0, 0, 16, 0, 0, 0, 2, 0, 0, 2]",up
30,180,"[8, 8, 8, 4, 2, 32, 0, 0, 16, 0, 0, 0, 2, 0, 0, 2]",up
31,180,"[8, 0, 0, 0, 2, 2, 0, 0, 16, 8, 0, 4, 2, 32, 8, 2]",down
32,180,"[8, 2, 8, 4, 2, 8, 0, 2, 16, 32, 0, 0, 2, 0, 2, 0]",up
33,180,"[8, 2, 8, 4, 2, 8, 2, 2, 16, 32, 2, 0, 2, 0, 0, 0]",up
34,184,"[8, 2, 8, 4, 2, 8, 4, 0, 16, 32, 2, 0, 2, 0, 2, 0]",left
35,188,"[8, 2, 8, 4, 2, 8, 4, 0, 16, 32, 2, 2, 4, 0, 0, 0]",left
36,192,"[8, 2, 8, 4, 0, 2, 8, 4, 2, 16, 32, 4, 0, 0, 0, 4]",right
37,198,"[0, 0, 4, 0, 0, 0, 8, 4, 8, 4, 8, 4, 2, 16, 32, 8]",down
38,198,"[0, 0, 2, 4, 0, 0, 8, 4, 8, 4, 8, 4, 2, 16, 32, 8]",right
39,210,"[0, 2, 0, 0, 0, 0, 2, 4, 8, 4, 16, 8, 2, 16, 32, 8]",down
40,210,"[2, 0, 0, 0, 2, 4, 0, 2, 8, 4, 16, 8, 2, 16, 32, 8]",left
41,210,"[0, 2, 0, 2, 0, 2, 4, 2, 8, 4, 16, 8, 2, 16, 32, 8]",right
42,214,"[4, 0, 2, 0, 2, 4, 2, 0, 8, 4, 16, 8, 2, 16, 32, 8]",left
43,228,"[4, 0, 0, 0, 2, 2, 4, 0, 8, 8, 16, 0, 2, 16, 32, 16]",down
44,228,"[4, 2, 4, 16, 2, 8, 16, 0, 8, 16, 32, 0, 2, 2, 0, 0]",up
45,232,"[4, 2, 4, 16, 2, 8, 16, 0, 8, 16, 32, 4, 4, 0, 0, 0]",left
46,232,"[4, 2, 4, 16, 2, 8, 16, 4, 8, 16, 32, 0, 4, 0, 2, 0]",up
47,232,"[4, 0, 4, 4, 2, 2, 16, 0, 8, 8, 32, 16, 4, 16, 2, 4]",down
48,232,"[4, 2, 4, 4, 2, 8, 16, 16, 8, 16, 32, 4, 4, 2, 2, 0]",up
49,232,"[4, 2, 4, 2, 2, 8, 16, 4, 8, 16, 32, 16, 4, 2, 2, 4]",down
50,236,"[4, 2, 4, 2, 2, 8, 16, 4, 8, 16, 32, 16, 4, 4, 4, 2]",left
51,244,"[4, 2, 4, 2, 2, 8, 16, 4, 8, 16, 32, 16, 8, 4, 2, 2]",left
52,248,"[4, 2, 4, 2, 2, 8, 16, 4, 8, 16, 32, 16, 2, 8, 4, 4]",right
53,256,"[4, 2, 4, 2, 2, 8, 16, 4, 8, 16, 32, 16, 2, 8, 8, 4]",left
54,272,"[4, 2, 4, 2, 2, 8, 16, 4, 8, 16, 32, 16, 2, 2, 16, 4]",right
55,276,"[4, 2, 4, 2, 2, 8, 16, 4, 8, 16, 32, 16, 4, 16, 4, 2]",left
56,292,"[4, 2, 4, 2, 2, 2, 16, 4, 8, 8, 32, 16, 4, 32, 4, 2]",down
57,312,"[4, 2, 4, 2, 4, 16, 4, 0, 16, 32, 16, 2, 4, 32, 4, 2]",left
58,348,"[0, 0, 4, 2, 8, 2, 4, 2, 16, 16, 16, 2, 4, 64, 4, 2]",down
59,380,"[4, 2, 0, 2, 8, 2, 4, 2, 32, 16, 2, 0, 4, 64, 4, 2]",left
60,384,"[4, 0, 0, 2, 8, 4, 4, 0, 32, 16, 2, 2, 4, 64, 4, 4]",down
61,388,"[4, 4, 4, 4, 8, 16, 2, 4, 32, 64, 4, 0, 4, 0, 2, 0]",up
62,392,"[4, 0, 4, 0, 8, 4, 2, 0, 32, 16, 4, 4, 4, 64, 2, 8]",down
63,392,"[4, 4, 4, 4, 8, 16, 2, 8, 32, 64, 4, 2, 4, 0, 2, 0]",up
64,392,"[4, 2, 4, 0, 8, 4, 2, 4, 32, 16, 4, 8, 4, 64, 2, 2]",down
65,396,"[4, 2, 4, 0, 8, 4, 2, 4, 32, 16, 4, 8, 4, 64, 4, 2]",left
66,404,"[4, 2, 4, 4, 8, 4, 2, 8, 32, 16, 8, 2, 4, 64, 0, 2]",up
67,412,"[4, 2, 8, 2, 8, 4, 2, 8, 32, 16, 8, 2, 4, 64, 2, 0]",left
68,412,"[4, 2, 8, 2, 8, 4, 2, 8, 32, 16, 8, 2, 4, 4, 64, 2]",right
69,420,"[4, 2, 8, 2, 8, 4, 2, 8, 32, 16, 8, 2, 2, 8, 64, 2]",right
70,424,"[4, 2, 8, 2, 8, 4, 2, 8, 32, 16, 8, 4, 2, 8, 64, 2]",up
