Move,Score,Matrix,Previous_Move
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up
2,4,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up
3,4,"[0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",down
4,4,"[4, 0, 4, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]",up
5,4,"[4, 4, 4, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up
6,4,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 4, 0, 2, 4, 2, 0]",down
7,4,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 2, 4, 0, 2, 4, 2]",right
8,4,"[0, 2, 0, 0, 2, 0, 0, 0, 4, 2, 4, 0, 2, 4, 2, 0]",left
9,4,"[2, 0, 0, 0, 2, 0, 0, 0, 4, 2, 4, 0, 2, 4, 2, 4]",left
10,8,"[4, 2, 4, 4, 4, 4, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0]",up
11,20,"[8, 2, 4, 4, 4, 4, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up
12,36,"[0, 8, 2, 8, 2, 0, 8, 2, 0, 0, 0, 2, 0, 0, 0, 0]",right
13,38,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 8, 2, 8, 8, 4]",down
14,40,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 2, 8, 8, 4]",down
15,56,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 8, 0, 0, 2, 16, 4, 2]",left
16,56,"[2, 8, 4, 2, 4, 16, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",up
17,60,"[2, 8, 4, 2, 4, 16, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2]",left
18,60,"[2, 8, 4, 2, 0, 0, 4, 16, 0, 2, 0, 4, 0, 0, 0, 2]",right
19,68,"[2, 8, 8, 2, 0, 2, 0, 16, 0, 0, 0, 4, 0, 2, 0, 2]",up
20,70,"[2, 0, 0, 2, 0, 0, 0, 16, 0, 8, 0, 4, 2, 4, 8, 2]",down
21,74,"[4, 8, 8, 2, 0, 4, 0, 16, 0, 2, 0, 4, 0, 0, 0, 2]",up
22,74,"[2, 0, 0, 2, 0, 8, 0, 16, 0, 4, 0, 4, 4, 2, 8, 2]",down
23,74,"[2, 8, 8, 2, 4, 4, 0, 16, 0, 2, 2, 4, 0, 0, 0, 2]",up
24,94,"[2, 16, 2, 0, 4, 4, 16, 2, 4, 4, 0, 0, 2, 0, 0, 0]",left
25,110,"[0, 2, 16, 2, 0, 8, 16, 2, 0, 0, 0, 8, 2, 0, 0, 2]",right
26,114,"[0, 2, 16, 2, 2, 8, 16, 2, 0, 0, 0, 8, 0, 0, 0, 4]",right
27,114,"[2, 16, 2, 0, 2, 8, 16, 2, 8, 0, 2, 0, 4, 0, 0, 0]",left
28,116,"[0, 2, 0, 0, 4, 0, 2, 0, 8, 16, 16, 0, 4, 8, 2, 2]",down
29,116,"[0, 0, 2, 0, 4, 2, 2, 0, 8, 16, 16, 0, 4, 8, 2, 2]",down
30,120,"[4, 2, 4, 2, 8, 16, 16, 0, 4, 8, 2, 0, 2, 0, 0, 0]",up
31,152,"[4, 2, 4, 2, 8, 32, 0, 0, 4, 8, 2, 0, 2, 2, 0, 0]",left
32,152,"[4, 2, 2, 0, 8, 32, 0, 0, 4, 8, 4, 0, 2, 2, 2, 2]",down
33,164,"[4, 4, 0, 0, 8, 32, 0, 0, 4, 8, 4, 0, 4, 4, 2, 0]",left
34,172,"[4, 4, 4, 0, 8, 32, 2, 0, 8, 8, 0, 0, 2, 4, 0, 0]",up
35,188,"[4, 4, 4, 0, 16, 32, 2, 0, 2, 8, 0, 2, 0, 4, 0, 0]",up
36,188,"[4, 4, 4, 2, 16, 32, 2, 0, 2, 8, 0, 0, 0, 4, 2, 0]",up
37,196,"[8, 4, 2, 0, 16, 32, 2, 2, 2, 8, 0, 0, 4, 2, 0, 0]",left
38,200,"[8, 4, 4, 2, 16, 32, 0, 0, 2, 8, 0, 4, 4, 2, 0, 0]",up
39,200,"[8, 4, 0, 0, 16, 32, 2, 0, 2, 8, 0, 2, 4, 2, 4, 4]",down
40,208,"[8, 4, 0, 0, 16, 32, 2, 0, 2, 8, 2, 2, 4, 2, 8, 0]",left
41,212,"[8, 4, 4, 2, 16, 32, 8, 0, 2, 8, 0, 2, 4, 2, 0, 0]",up
42,214,"[8, 4, 0, 0, 16, 32, 0, 0, 2, 8, 4, 2, 4, 2, 8, 4]",down
43,214,"[0, 0, 8, 4, 0, 2, 16, 32, 2, 8, 4, 2, 4, 2, 8, 4]",right
44,214,"[2, 2, 8, 4, 4, 8, 16, 32, 0, 2, 4, 2, 2, 0, 8, 4]",up
45,214,"[2, 2, 8, 4, 4, 8, 16, 32, 2, 2, 4, 2, 2, 0, 8, 4]",up
46,218,"[2, 2, 8, 4, 4, 8, 16, 32, 4, 2, 4, 2, 0, 2, 8, 4]",up
47,222,"[4, 4, 8, 4, 4, 8, 16, 32, 4, 2, 4, 2, 0, 2, 8, 4]",right
48,230,"[8, 8, 4, 0, 4, 8, 16, 32, 4, 2, 4, 2, 2, 8, 4, 2]",left
49,250,"[8, 8, 4, 32, 8, 8, 16, 4, 2, 2, 8, 0, 2, 8, 0, 0]",up
50,286,"[16, 16, 4, 32, 4, 2, 16, 4, 0, 8, 8, 0, 0, 2, 0, 0]",up
51,334,"[0, 32, 4, 32, 4, 2, 16, 4, 0, 0, 0, 16, 0, 0, 2, 2]",right
52,338,"[32, 4, 32, 0, 4, 2, 16, 4, 16, 0, 0, 0, 4, 0, 0, 2]",left
53,338,"[32, 0, 0, 0, 4, 0, 0, 2, 16, 4, 32, 4, 4, 2, 16, 2]",down
54,338,"[32, 0, 0, 0, 4, 2, 0, 2, 16, 4, 32, 4, 4, 2, 16, 2]",left
55,342,"[32, 0, 0, 0, 4, 4, 4, 0, 16, 4, 32, 4, 4, 2, 16, 2]",left
56,350,"[32, 0, 0, 0, 8, 4, 2, 0, 16, 4, 32, 4, 4, 2, 16, 2]",left
57,354,"[32, 0, 0, 2, 8, 0, 2, 0, 16, 8, 32, 4, 4, 2, 16, 2]",down
58,354,"[32, 2, 0, 0, 8, 2, 0, 2, 16, 8, 32, 4, 4, 2, 16, 2]",left
59,358,"[32, 2, 0, 2, 8, 4, 0, 0, 16, 8, 32, 4, 4, 2, 16, 2]",left
60,362,"[0, 0, 32, 4, 0, 2, 8, 4, 16, 8, 32, 4, 4, 2, 16, 2]",right
61,366,"[0, 0, 32, 2, 0, 2, 8, 4, 16, 8, 32, 8, 4, 2, 16, 2]",down
62,366,"[16, 2, 32, 2, 4, 8, 8, 4, 2, 2, 32, 8, 0, 0, 16, 2]",up
63,382,"[16, 2, 32, 2, 4, 16, 4, 0, 2, 2, 32, 8, 16, 2, 0, 2]",left
64,390,"[16, 2, 32, 2, 0, 4, 16, 4, 0, 4, 32, 8, 0, 2, 16, 4]",right
65,390,"[16, 2, 32, 2, 4, 16, 4, 0, 4, 32, 8, 2, 2, 16, 4, 0]",left
66,390,"[16, 2, 32, 2, 2, 4, 16, 4, 4, 32, 8, 2, 0, 2, 16, 4]",right
67,390,"[2, 2, 32, 2, 16, 4, 16, 4, 2, 32, 8, 2, 4, 2, 16, 4]",down
68,394,"[2, 4, 32, 2, 16, 4, 16, 4, 2, 32, 8, 2, 4, 2, 16, 4]",right
69,398,"[2, 2, 32, 2, 16, 8, 16, 4, 2, 32, 8, 2, 4, 2, 16, 4]",down
70,402,"[4, 32, 2, 2, 16, 8, 16, 4, 2, 32, 8, 2, 4, 2, 16, 4]",left
71,406,"[4, 32, 4, 2, 16, 8, 16, 4, 2, 32, 8, 2, 4, 2, 16, 4]",left
