Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",right
2,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]",right
3,0,"[2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",left
4,4,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]",right
5,8,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 4]",right
6,8,"[4, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0]",left
7,10,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 4, 4, 0, 2]",down
8,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 0, 0, 8, 2]",right
9,18,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 0, 8, 2, 0, 0]",left
10,22,"[4, 4, 2, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up
11,30,"[0, 0, 8, 2, 0, 0, 8, 2, 0, 0, 2, 2, 0, 0, 0, 0]",right
12,34,"[0, 0, 8, 2, 0, 2, 8, 2, 0, 0, 0, 4, 0, 0, 0, 0]",right
13,54,"[0, 2, 16, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0]",up
14,54,"[2, 16, 4, 2, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left
15,54,"[2, 16, 4, 2, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",up
16,54,"[2, 16, 4, 2, 0, 0, 4, 2, 0, 0, 0, 2, 0, 2, 0, 0]",right
17,54,"[2, 16, 4, 2, 4, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2]",left
18,58,"[2, 16, 4, 2, 0, 0, 4, 2, 0, 0, 0, 2, 0, 2, 0, 4]",right
19,58,"[2, 16, 4, 2, 0, 0, 4, 2, 2, 0, 0, 2, 0, 0, 2, 4]",right
20,62,"[2, 0, 0, 0, 0, 0, 4, 2, 0, 0, 4, 4, 4, 16, 2, 4]",down
21,78,"[2, 16, 8, 2, 4, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0, 0]",up
22,78,"[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 8, 8, 4, 16, 2, 2]",down
