Move,Score,Matrix,Previous_Move
1,0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",down
2,0,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left
3,4,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up
4,4,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 2, 2, 0]",down
5,6,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 4, 2, 0]",down
6,8,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0]",down
7,16,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 4, 0, 0]",left
8,16,"[4, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 8, 4, 0, 0]",left
9,16,"[4, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 8, 4, 0, 0]",left
10,16,"[0, 0, 4, 2, 0, 4, 0, 2, 0, 0, 0, 2, 0, 0, 8, 4]",right
11,16,"[4, 2, 2, 0, 4, 2, 0, 0, 2, 0, 0, 0, 8, 4, 0, 0]",left
12,28,"[8, 4, 2, 2, 2, 4, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0]",up
13,32,"[8, 4, 4, 0, 2, 4, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0]",left
14,40,"[8, 8, 4, 2, 2, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0]",up
15,40,"[0, 0, 0, 0, 8, 0, 0, 0, 2, 0, 4, 2, 8, 8, 2, 2]",down
16,60,"[0, 0, 0, 0, 0, 0, 0, 8, 2, 2, 4, 2, 0, 0, 16, 4]",right
17,60,"[0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 4, 2, 2, 2, 16, 4]",down
18,64,"[0, 2, 0, 0, 0, 0, 0, 8, 0, 2, 4, 2, 0, 4, 16, 4]",right
19,64,"[2, 0, 0, 0, 8, 0, 0, 0, 2, 4, 2, 4, 4, 16, 4, 0]",left
20,64,"[0, 2, 0, 2, 0, 0, 0, 8, 2, 4, 2, 4, 0, 4, 16, 4]",right
21,68,"[0, 2, 0, 2, 0, 0, 0, 8, 0, 2, 2, 4, 2, 8, 16, 4]",down
22,80,"[2, 4, 2, 2, 0, 8, 16, 8, 0, 0, 0, 8, 4, 0, 0, 0]",up
23,96,"[2, 4, 2, 2, 4, 8, 16, 16, 0, 0, 0, 0, 0, 0, 0, 2]",up
24,132,"[0, 2, 4, 4, 0, 4, 8, 32, 0, 0, 0, 0, 0, 0, 2, 2]",right
25,144,"[2, 8, 0, 0, 4, 8, 32, 0, 0, 0, 0, 2, 4, 0, 0, 0]",left
26,156,"[0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 8, 16, 32, 2]",down
27,156,"[0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 8, 16, 32, 2]",left
28,160,"[4, 16, 2, 2, 8, 0, 32, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up
29,164,"[4, 16, 4, 0, 8, 32, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]",left
30,168,"[4, 16, 4, 0, 8, 32, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0]",left
31,168,"[0, 4, 16, 4, 2, 8, 32, 2, 0, 0, 0, 0, 0, 0, 0, 4]",right
32,168,"[2, 4, 16, 4, 0, 8, 32, 2, 0, 2, 0, 4, 0, 0, 0, 0]",up
33,168,"[2, 4, 16, 4, 8, 32, 2, 4, 2, 4, 0, 0, 0, 0, 0, 0]",left
34,172,"[0, 0, 0, 0, 2, 4, 2, 0, 8, 32, 16, 0, 2, 4, 2, 8]",down
35,172,"[2, 4, 2, 8, 8, 32, 16, 0, 2, 4, 2, 0, 0, 0, 2, 0]",up
36,172,"[2, 4, 2, 8, 0, 8, 32, 16, 0, 2, 4, 2, 0, 0, 2, 2]",right
37,176,"[2, 4, 2, 8, 2, 8, 32, 16, 0, 2, 4, 4, 0, 0, 2, 0]",up
38,184,"[2, 4, 2, 8, 2, 8, 32, 16, 0, 0, 2, 8, 0, 0, 2, 2]",right
39,192,"[4, 4, 2, 8, 0, 8, 32, 16, 0, 0, 4, 8, 0, 2, 0, 2]",up
40,204,"[0, 8, 2, 8, 0, 8, 32, 16, 0, 0, 4, 8, 2, 0, 0, 4]",right
41,204,"[8, 2, 8, 0, 8, 32, 16, 0, 4, 8, 0, 2, 2, 4, 0, 0]",left
42,212,"[0, 2, 0, 0, 16, 32, 2, 0, 4, 8, 8, 0, 2, 4, 16, 2]",down
43,212,"[16, 2, 2, 2, 4, 32, 8, 0, 2, 8, 16, 0, 0, 4, 0, 2]",up
44,216,"[0, 16, 2, 4, 2, 4, 32, 8, 0, 2, 8, 16, 0, 0, 4, 2]",right
45,216,"[0, 0, 2, 4, 4, 16, 32, 8, 0, 4, 8, 16, 2, 2, 4, 2]",down
46,220,"[2, 4, 2, 0, 4, 16, 32, 8, 4, 8, 16, 0, 4, 4, 2, 0]",left
47,224,"[2, 4, 2, 0, 2, 16, 32, 0, 4, 8, 16, 0, 8, 4, 2, 8]",down
48,226,"[2, 4, 2, 0, 4, 16, 32, 0, 4, 8, 16, 0, 8, 4, 2, 8]",down
49,226,"[0, 2, 4, 2, 0, 4, 16, 32, 2, 4, 8, 16, 8, 4, 2, 8]",right
50,226,"[2, 4, 2, 2, 4, 16, 32, 0, 2, 4, 8, 16, 8, 4, 2, 8]",left
51,234,"[2, 4, 2, 2, 4, 16, 32, 16, 2, 8, 8, 8, 8, 2, 2, 0]",up
52,254,"[2, 4, 4, 2, 4, 16, 32, 16, 2, 16, 8, 0, 8, 2, 2, 0]",left
53,286,"[2, 4, 4, 2, 4, 32, 32, 16, 2, 2, 8, 0, 8, 0, 2, 4]",up
54,286,"[2, 4, 4, 2, 4, 32, 32, 16, 2, 2, 8, 4, 8, 0, 2, 2]",up
