Move,Score,Matrix,Previous_Move
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",down
2,0,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left
3,4,"[0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",right
4,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 2, 0, 2]",down
5,4,"[0, 2, 2, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up
6,12,"[0, 0, 4, 4, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0]",right
7,20,"[2, 0, 4, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
8,20,"[2, 4, 8, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
9,24,"[4, 4, 8, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
10,24,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 2, 8, 2]",down
11,24,"[4, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 4, 2, 8, 2]",left
12,24,"[4, 0, 0, 2, 2, 0, 0, 0, 4, 0, 0, 0, 4, 2, 8, 2]",left
13,24,"[0, 0, 4, 2, 0, 0, 0, 2, 2, 0, 0, 4, 4, 2, 8, 2]",right
14,24,"[4, 2, 0, 0, 2, 0, 0, 0, 2, 4, 0, 2, 4, 2, 8, 2]",left
15,32,"[4, 2, 8, 4, 4, 4, 0, 0, 4, 2, 0, 2, 0, 0, 0, 0]",up
16,44,"[4, 2, 8, 4, 8, 0, 0, 0, 4, 4, 0, 0, 0, 4, 0, 0]",left
17,52,"[4, 2, 8, 4, 8, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0]",left
18,52,"[4, 2, 8, 4, 0, 0, 8, 2, 0, 0, 0, 8, 0, 0, 2, 4]",right
19,68,"[4, 2, 16, 4, 0, 0, 2, 2, 0, 0, 0, 8, 2, 0, 0, 4]",up
