Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",left
2,0,"[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2]",right
3,4,"[0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up
4,4,"[0, 0, 2, 4, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]",right
5,8,"[0, 0, 2, 4, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0]",right
6,8,"[2, 4, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0]",left
7,20,"[4, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up
8,20,"[0, 0, 4, 8, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2]",right
9,24,"[0, 2, 4, 8, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0]",up
10,24,"[2, 4, 8, 0, 4, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0]",left
11,28,"[0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0, 2, 8, 8, 0]",down
12,28,"[2, 2, 8, 0, 4, 8, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]",up
13,32,"[0, 2, 4, 8, 0, 0, 4, 8, 0, 0, 0, 2, 0, 0, 0, 2]",right
14,38,"[0, 0, 0, 0, 2, 0, 0, 8, 0, 0, 0, 8, 0, 2, 8, 4]",down
15,46,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 2, 8, 4]",down
16,46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 16, 2, 2, 8, 4]",down
17,54,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 16, 0, 4, 8, 4]",right
18,54,"[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 16, 0, 4, 8, 4]",down
19,54,"[0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 4, 16, 2, 4, 8, 4]",down
20,54,"[2, 4, 2, 2, 0, 2, 4, 16, 0, 0, 8, 4, 0, 0, 0, 0]",up
21,58,"[2, 2, 4, 4, 0, 2, 4, 16, 0, 0, 8, 4, 0, 0, 0, 0]",right
22,70,"[4, 8, 0, 0, 2, 4, 16, 0, 8, 4, 0, 0, 0, 2, 0, 0]",left
23,70,"[4, 8, 0, 0, 2, 4, 16, 0, 8, 4, 0, 0, 2, 2, 0, 0]",left
