Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",right
2,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2]",right
3,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4]",down
4,6,"[0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up
5,6,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4]",down
6,14,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8, 0, 0]",left
7,18,"[4, 8, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up
8,18,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 2, 2]",down
9,18,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 8, 2, 2]",down
10,18,"[2, 2, 2, 2, 4, 8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",up
11,26,"[4, 4, 0, 0, 4, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2]",left
12,34,"[8, 4, 0, 2, 2, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up
13,34,"[8, 4, 2, 0, 2, 8, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]",left
14,34,"[8, 4, 2, 0, 2, 8, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0]",left
15,38,"[8, 4, 2, 2, 4, 8, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",up
16,42,"[8, 4, 4, 0, 4, 8, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0]",left
17,46,"[8, 4, 4, 0, 4, 8, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0]",up
18,54,"[8, 4, 8, 2, 4, 8, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",up
19,54,"[0, 0, 0, 0, 8, 4, 2, 0, 4, 8, 0, 0, 2, 2, 8, 2]",down
20,54,"[8, 4, 2, 2, 4, 8, 8, 0, 2, 2, 0, 0, 0, 0, 2, 0]",up
21,54,"[0, 2, 0, 0, 8, 4, 2, 0, 4, 8, 8, 0, 2, 2, 2, 2]",down
22,54,"[8, 2, 2, 2, 4, 4, 8, 0, 2, 8, 2, 0, 0, 2, 2, 0]",up
23,62,"[8, 4, 2, 0, 4, 4, 8, 0, 2, 8, 2, 0, 4, 2, 0, 0]",left
24,70,"[8, 4, 2, 0, 8, 8, 0, 0, 2, 8, 2, 0, 4, 2, 0, 2]",left
25,86,"[0, 0, 0, 2, 16, 4, 0, 0, 2, 16, 2, 0, 4, 2, 2, 2]",down
26,94,"[16, 4, 4, 4, 2, 16, 0, 0, 4, 2, 0, 0, 0, 0, 0, 2]",up
27,102,"[16, 8, 4, 0, 2, 16, 0, 0, 4, 2, 0, 2, 2, 0, 0, 0]",left
28,102,"[16, 8, 4, 2, 2, 16, 0, 0, 4, 2, 2, 0, 2, 0, 0, 0]",up
29,106,"[16, 8, 4, 2, 2, 16, 4, 0, 4, 4, 0, 0, 2, 0, 0, 0]",left
30,114,"[16, 8, 4, 2, 2, 16, 4, 0, 8, 0, 2, 0, 2, 0, 0, 0]",left
31,114,"[16, 8, 4, 2, 2, 16, 4, 0, 8, 2, 0, 2, 2, 0, 0, 0]",left
32,126,"[16, 8, 8, 4, 2, 16, 0, 0, 8, 2, 2, 0, 2, 0, 0, 0]",up
33,126,"[16, 8, 8, 4, 2, 16, 2, 2, 8, 2, 0, 0, 2, 0, 0, 0]",up
34,146,"[0, 16, 16, 4, 0, 2, 16, 4, 0, 0, 8, 2, 0, 0, 2, 2]",right
35,182,"[0, 0, 32, 4, 0, 2, 16, 4, 0, 0, 8, 2, 0, 2, 0, 4]",right
36,182,"[0, 0, 32, 4, 0, 2, 16, 4, 0, 0, 8, 2, 2, 0, 2, 4]",right
37,186,"[32, 4, 2, 0, 2, 16, 4, 0, 8, 2, 0, 0, 4, 4, 0, 0]",left
38,186,"[32, 4, 2, 0, 2, 16, 0, 0, 8, 2, 2, 0, 4, 4, 4, 0]",down
39,188,"[32, 4, 0, 0, 2, 16, 0, 2, 8, 2, 4, 0, 4, 4, 4, 0]",down
40,196,"[32, 4, 8, 2, 2, 16, 0, 2, 8, 2, 0, 0, 4, 4, 0, 0]",up
41,204,"[32, 4, 8, 2, 2, 16, 2, 0, 8, 2, 0, 4, 8, 0, 0, 0]",left
42,204,"[32, 4, 8, 2, 2, 16, 2, 0, 8, 2, 4, 2, 8, 0, 0, 0]",left
43,204,"[32, 4, 8, 2, 0, 2, 16, 2, 8, 2, 4, 2, 2, 0, 0, 8]",right
44,204,"[32, 4, 8, 2, 2, 16, 2, 0, 8, 2, 4, 2, 2, 8, 2, 0]",left
45,204,"[32, 4, 8, 2, 0, 2, 16, 2, 8, 2, 4, 2, 2, 2, 8, 2]",right
46,208,"[32, 4, 8, 2, 2, 16, 2, 0, 8, 2, 4, 2, 4, 8, 2, 2]",left
47,212,"[32, 4, 8, 2, 2, 16, 2, 0, 8, 2, 4, 2, 4, 8, 4, 2]",left
48,218,"[32, 4, 0, 2, 2, 16, 8, 0, 8, 2, 2, 2, 4, 8, 8, 4]",down
49,238,"[0, 32, 4, 2, 2, 2, 16, 8, 0, 8, 2, 4, 0, 4, 16, 4]",right
50,242,"[0, 32, 4, 2, 4, 4, 16, 8, 0, 8, 2, 4, 0, 4, 16, 4]",right
51,250,"[4, 32, 4, 2, 0, 4, 16, 8, 0, 8, 2, 8, 0, 4, 16, 2]",up
52,266,"[4, 32, 4, 2, 0, 4, 16, 16, 0, 8, 2, 2, 0, 4, 16, 2]",up
53,268,"[0, 32, 4, 0, 2, 4, 16, 2, 0, 8, 2, 16, 4, 4, 16, 4]",down
54,276,"[32, 4, 0, 0, 2, 4, 16, 2, 8, 2, 16, 0, 8, 16, 4, 2]",left
55,304,"[32, 8, 16, 4, 2, 2, 16, 0, 16, 16, 4, 0, 0, 2, 0, 0]",up
56,340,"[32, 8, 16, 4, 0, 0, 4, 16, 0, 0, 32, 4, 2, 0, 0, 2]",right
57,340,"[0, 0, 0, 4, 2, 0, 16, 16, 32, 0, 4, 4, 2, 8, 32, 2]",down
58,340,"[2, 8, 16, 4, 32, 0, 4, 16, 2, 0, 32, 4, 0, 0, 2, 2]",up
59,344,"[2, 8, 16, 4, 32, 4, 16, 0, 2, 32, 4, 0, 4, 2, 0, 0]",left
60,376,"[2, 8, 32, 4, 32, 4, 4, 0, 2, 32, 0, 0, 4, 2, 4, 0]",up
61,384,"[2, 8, 32, 4, 32, 4, 8, 0, 2, 32, 0, 2, 4, 2, 0, 0]",up
62,384,"[2, 8, 32, 4, 32, 4, 8, 2, 2, 32, 2, 0, 4, 2, 0, 0]",left
63,384,"[2, 8, 32, 4, 32, 4, 8, 2, 2, 2, 32, 2, 0, 0, 4, 2]",right
64,386,"[0, 2, 32, 0, 2, 8, 8, 4, 32, 4, 32, 2, 2, 2, 4, 4]",down
65,410,"[2, 32, 2, 0, 2, 16, 4, 0, 32, 4, 32, 2, 2, 2, 8, 0]",left
66,414,"[0, 2, 32, 2, 0, 2, 16, 4, 32, 4, 32, 2, 2, 0, 4, 8]",right
67,414,"[2, 32, 2, 0, 2, 16, 4, 2, 32, 4, 32, 2, 2, 4, 8, 0]",left
68,422,"[0, 2, 2, 0, 4, 32, 4, 0, 32, 16, 32, 0, 2, 8, 8, 4]",down
69,442,"[4, 0, 0, 0, 4, 32, 4, 0, 32, 16, 32, 0, 2, 16, 4, 2]",left
70,442,"[0, 0, 0, 4, 0, 4, 32, 4, 2, 32, 16, 32, 2, 16, 4, 2]",right
71,448,"[0, 0, 0, 2, 0, 4, 32, 8, 0, 32, 16, 32, 4, 16, 4, 2]",down
72,448,"[2, 0, 0, 0, 4, 32, 8, 0, 32, 16, 32, 2, 4, 16, 4, 2]",left
73,484,"[2, 32, 8, 4, 4, 32, 32, 0, 32, 0, 4, 2, 4, 0, 0, 0]",up
74,548,"[2, 64, 8, 4, 4, 2, 32, 2, 32, 0, 4, 0, 4, 0, 0, 0]",up
75,548,"[2, 64, 8, 4, 4, 2, 32, 2, 32, 4, 0, 0, 4, 2, 0, 0]",left
76,548,"[2, 64, 0, 0, 4, 2, 2, 0, 32, 4, 8, 4, 4, 2, 32, 2]",down
77,548,"[2, 64, 2, 4, 4, 2, 8, 2, 32, 4, 32, 0, 4, 2, 2, 0]",up
78,552,"[2, 64, 2, 4, 4, 2, 8, 2, 32, 4, 32, 0, 4, 4, 0, 2]",left
79,560,"[2, 64, 2, 4, 4, 2, 8, 2, 0, 32, 4, 32, 0, 2, 8, 2]",right
80,560,"[2, 64, 2, 4, 0, 2, 8, 2, 2, 32, 4, 32, 4, 2, 8, 2]",down
