Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]",left,2
2,0,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]",down,2
3,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]",down,2
4,4,"[2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0]",left,4
5,4,"[0, 0, 2, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 2]",right,4
6,4,"[2, 4, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0]",left,4
7,6,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 4, 2, 2, 2]",down,4
8,14,"[8, 4, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
9,18,"[8, 4, 4, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2]",left,8
10,22,"[8, 4, 4, 2, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
11,30,"[8, 8, 2, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",left,8
12,46,"[0, 0, 16, 2, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 2, 2]",right,16
13,50,"[16, 2, 0, 0, 4, 2, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0]",left,16
14,56,"[0, 2, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 8, 4, 2, 0]",down,16
15,56,"[16, 2, 2, 2, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
16,60,"[0, 16, 2, 4, 0, 0, 8, 4, 0, 0, 0, 0, 2, 0, 0, 0]",right,16
17,64,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 16, 8, 8]",down,16
18,66,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 4, 16, 8, 8]",down,16
19,82,"[0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 4, 16, 16, 0]",left,16
20,114,"[0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 4, 32]",right,32
21,118,"[0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 2, 2, 0, 4, 32]",right,32
22,118,"[2, 2, 4, 2, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 32]",up,32
23,122,"[4, 4, 2, 0, 4, 0, 2, 0, 2, 0, 0, 0, 32, 0, 0, 0]",left,32
