Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,2
2,0,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",down,2
3,4,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0]",left,4
4,4,"[2, 0, 2, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
5,4,"[2, 0, 2, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
6,8,"[4, 2, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",left,4
7,8,"[0, 0, 4, 2, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 2, 2]",right,4
8,12,"[4, 2, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0]",left,4
9,18,"[0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 8, 4, 2, 0]",down,8
10,18,"[4, 4, 4, 0, 8, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,8
11,18,"[4, 4, 4, 0, 8, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,8
12,30,"[8, 4, 0, 0, 8, 4, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]",left,8
13,30,"[0, 0, 8, 4, 0, 0, 8, 4, 0, 2, 0, 2, 0, 0, 0, 2]",right,8
14,58,"[0, 2, 16, 8, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
15,58,"[2, 2, 16, 8, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
16,58,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 16, 8, 2, 2, 2, 4]",down,16
17,62,"[4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 16, 8, 0, 2, 4, 4]",right,16
18,70,"[0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 16, 8, 0, 0, 2, 8]",right,16
19,74,"[0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 16, 8, 4, 0, 2, 8]",right,16
20,98,"[4, 2, 16, 8, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
21,98,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 16, 8, 4, 2, 2, 16]",down,16
22,102,"[0, 0, 0, 0, 2, 0, 0, 2, 16, 8, 0, 0, 4, 4, 16, 0]",left,16
23,114,"[0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 16, 8, 0, 0, 8, 16]",right,16
24,114,"[2, 0, 0, 2, 0, 0, 0, 4, 0, 0, 16, 8, 0, 0, 8, 16]",right,16
25,118,"[4, 0, 0, 0, 4, 0, 0, 0, 16, 8, 0, 0, 8, 16, 0, 2]",left,16
