Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
2,0,"[0, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
3,0,"[2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,4
4,2,"[0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 4, 4, 0, 0]",down,4
5,10,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 2]",left,8
6,12,"[0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 2]",down,8
7,12,"[4, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 8, 2, 0, 0]",left,8
8,16,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 0, 8, 2, 2, 0]",down,8
9,36,"[16, 2, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,16
10,36,"[16, 2, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",left,16
11,40,"[16, 4, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
12,52,"[0, 0, 16, 8, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0]",right,16
13,52,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 2, 0, 16, 4]",down,16
14,52,"[2, 0, 16, 2, 0, 0, 0, 8, 0, 0, 0, 4, 0, 2, 0, 0]",up,16
15,52,"[2, 2, 16, 2, 0, 0, 0, 8, 0, 2, 0, 4, 0, 0, 0, 0]",up,16
16,56,"[2, 4, 16, 2, 0, 0, 0, 8, 2, 0, 0, 4, 0, 0, 0, 0]",up,16
17,60,"[4, 4, 16, 2, 0, 0, 0, 8, 0, 2, 0, 4, 0, 0, 0, 0]",up,16
18,68,"[8, 16, 2, 0, 8, 0, 0, 2, 2, 4, 0, 0, 0, 0, 0, 0]",left,16
19,84,"[16, 16, 2, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,16
20,120,"[32, 4, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]",left,32
21,124,"[0, 0, 32, 4, 0, 0, 2, 4, 0, 2, 0, 0, 0, 0, 0, 4]",right,32
22,132,"[0, 2, 32, 8, 0, 0, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0]",up,32
23,136,"[0, 2, 32, 8, 0, 2, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,32
24,144,"[2, 32, 8, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",left,32
25,148,"[4, 32, 8, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0]",up,32
26,148,"[4, 32, 8, 2, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]",up,32
27,148,"[4, 32, 8, 2, 8, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",left,32
28,152,"[4, 32, 8, 2, 0, 0, 8, 2, 2, 0, 0, 4, 0, 0, 0, 0]",right,32
29,160,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 2, 2, 2, 32, 16, 4]",down,32
30,162,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 2, 4, 2, 32, 16, 4]",down,32
31,166,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 2, 32, 16, 8]",down,32
32,170,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 2, 2, 32, 16, 8]",left,32
33,178,"[0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 8, 2, 2, 32, 16, 8]",right,32
34,182,"[2, 2, 8, 4, 0, 32, 16, 8, 0, 0, 0, 0, 0, 0, 2, 0]",up,32
